sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,2,127,822,-18,-8,-9
1,108,130,499,-32,8,-11
2,112,-55,347,-53,1,2
3,-94,-158,324,34,20,-7
4,-72,21,756,-34,8,-1
5,12,78,580,-1,3,-9
6,-187,-74,682,-4,12,11
7,162,136,839,-28,-33,-28
8,-21,80,735,14,17,8
9,175,77,210,-25,-18,-9
10,66,118,430,-27,16,5
11,-47,130,500,-34,33,14
12,47,-109,743,3,3,-5
13,-117,105,506,1,-12,-8
14,-136,-4,781,-23,-5,13
15,195,94,795,-4,-18,-33
16,-10,46,568,-11,8,6
17,152,141,403,-20,-13,-3
18,198,50,350,-5,33,-3
19,-59,176,756,-13,8,11
20,44,-71,578,-16,-5,-4
21,-191,7,516,9,5,-1
22,16,82,857,-2,-13,-2
23,101,39,721,-26,-6,-16
24,55,10,388,2,-5,-8
25,195,170,580,-31,11,2
26,104,54,388,-2,18,-1
27,-37,42,777,8,5,4
28,-13,57,484,-10,-2,-9
29,-220,-59,619,-7,10,11
30,135,122,865,9,-23,-24
31,28,6,700,-16,12,6
32,144,2,211,5,-14,-9
33,134,164,563,-31,30,4
34,-27,136,526,-40,9,8
35,-8,-95,783,4,-3,-1
36,-81,114,462,-15,-3,-10
37,-179,-36,772,-5,5,14
38,214,32,799,-8,-24,-33
39,9,-21,605,-42,5,8
40,96,231,338,-5,-15,-10
41,102,-137,475,-27,31,-8
42,-139,176,603,-32,20,4
43,47,-118,650,12,-10,-5
44,-163,29,585,-38,-13,-3
45,-57,61,836,6,-15,2
46,92,32,776,-19,1,-17
47,95,119,532,-15,1,-5
48,149,-3,485,-2,2,4
49,-47,-197,447,-31,8,1
50,-101,125,657,-2,5,2
51,13,37,637,-14,8,-7
52,-204,-40,639,-14,8,8
53,107,137,846,17,-29,-22
54,-10,172,731,-57,-1,2
55,150,14,239,-8,-12,-18
56,62,-67,365,11,23,-3
57,-156,119,403,-55,15,0
58,-10,-62,726,36,5,-7
59,-50,119,484,23,6,-10
60,-139,3,736,-30,-5,15
61,231,33,766,29,-22,-34
62,45,-46,472,-33,8,14
63,154,-9,265,-12,-10,-8
64,115,-48,449,-57,23,-6
65,-77,197,507,-27,11,6
66,58,-104,640,9,-4,-6
67,-153,49,444,-29,-3,-7
68,0,35,830,9,-12,4
69,137,-72,644,-18,-12,-20
70,64,-11,356,2,-3,-4
71,136,196,534,-5,11,5
72,89,-22,428,-66,9,4
73,-78,74,740,12,-2,0
74,7,11,520,-20,-3,-6
75,-202,-67,606,-8,5,7
76,77,84,788,21,-24,-21
77,39,-2,772,-58,11,0
78,202,4,219,31,2,-13
79,55,-130,554,-2,20,2
80,-154,76,492,-39,2,7
81,-25,-42,737,-7,1,-2
82,-40,114,592,-8,11,-10
83,-181,26,775,-2,0,16
84,218,0,769,4,-32,-33
85,3,183,554,-53,16,9
86,156,48,198,12,0,-11
87,-21,-139,392,-28,13,-12
88,-129,249,396,-19,12,5
89,47,-109,706,8,-1,-5
90,-139,61,470,-31,-4,-6
91,7,93,772,-9,-16,5
92,147,-75,587,-15,-19,-18
93,38,-35,307,-21,-1,-4
94,214,152,431,-14,11,-5
95,78,-31,366,-39,18,-8
96,-27,111,639,30,7,-4
97,19,14,512,-12,-7,-6
98,-199,-53,580,-43,-7,5
99,116,80,813,43,-17,-22
100,58,-44,655,-47,8,7
101,160,12,128,13,-12,-11
102,66,130,550,-33,24,8
103,-62,137,510,-46,11,7
104,-24,-117,751,35,1,-7
105,-61,122,498,-42,-4,-7
106,-207,-87,744,-3,1,16
107,203,39,783,-4,-32,-35
108,14,108,643,-51,17,10
109,220,46,280,47,2,-6
110,-2,-292,547,-57,5,-7
111,-165,249,446,-36,8,9
112,48,-136,685,-7,8,-5
113,-141,66,646,-19,3,-6
114,-64,83,785,8,-12,5
115,111,73,677,-6,-16,-19
116,43,183,479,-10,4,0
117,128,131,297,-55,10,-1
118,-88,-194,297,-57,18,-1
119,-57,190,537,46,5,-5
120,40,6,628,-21,-3,-6
121,-181,-33,522,-3,10,6
122,123,173,786,24,-16,-17
123,66,111,672,-73,0,2
124,131,-57,250,43,-9,-16
125,5,-92,226,-9,17,-2
126,-129,125,281,-43,27,-1
127,30,-7,696,47,11,-5
128,-19,132,448,-51,-16,-9
129,-157,-12,655,0,-8,16
130,228,98,803,-6,-28,-34
131,75,3,552,-59,23,9
132,119,-31,128,43,-5,-4
133,-34,-135,331,-26,7,-12
134,-85,239,435,-17,17,12
135,95,-65,686,8,12,-6
136,-120,78,355,-31,2,-6
137,-14,134,739,16,-21,8
138,146,25,653,-37,-22,-27
139,98,20,484,-24,17,0
140,61,-33,293,19,11,3
141,-100,-125,260,-44,12,-13
142,57,224,520,38,17,7
143,47,8,557,-32,-2,-8
144,-166,-48,428,-14,7,4
145,115,232,767,37,-25,-13
146,80,145,715,-59,-12,0
147,146,-9,273,-13,-7,-17
148,12,-46,194,-62,17,6
149,-126,-44,231,-37,1,-8
150,51,61,676,23,3,-5
151,3,132,456,-56,-13,-8
152,-161,-61,597,15,8,14
153,234,138,812,-26,-38,-33
154,6,288,703,-18,21,10
155,206,120,82,13,-2,-5
156,-19,-137,309,-49,-7,1
157,-179,62,435,-17,30,15
158,52,-115,629,-26,7,-8
159,-60,86,525,4,-3,-9
160,-44,45,743,2,-16,12
161,168,114,732,-20,-33,-27
162,-49,157,593,-13,19,4
163,216,87,325,-57,6,1
164,57,-120,255,12,0,-3
165,-128,143,643,-24,21,7
166,41,-57,445,-21,3,-9
167,-153,-55,585,32,9,1
168,67,178,758,-26,-35,-6
169,72,152,679,-31,-18,-8
170,98,-56,391,-28,10,-10
171,183,122,456,-57,21,7
172,125,76,411,10,14,-9
173,75,62,917,-60,0,0
174,-31,93,294,13,0,-11
175,-207,-111,520,-7,9,13
176,208,253,755,-25,-40,-26
177,16,83,680,-8,4,6
178,164,-40,118,-41,-1,-8
179,40,-133,307,13,14,-12
180,-27,29,340,-53,14,6
181,98,-45,719,-12,3,-9
182,-94,108,288,34,1,-7
183,-112,42,624,-69,-17,16
184,212,140,763,13,-28,-33
185,-111,162,543,-7,9,9
186,208,117,326,-61,-20,-7
187,103,-19,131,-5,30,5
188,-73,183,643,-17,15,14
189,3,-120,592,8,-13,-10
190,-153,17,497,1,-1,-5
191,26,128,707,-10,-12,2
192,95,42,594,-26,-6,-22
193,41,14,596,-29,-4,-1
194,165,4,288,-4,7,0
195,7,-195,350,-47,30,-15
196,221,200,558,18,10,2
197,2,13,535,-1,-1,-7
198,-193,-84,384,-49,-4,9
199,127,154,817,38,-22,-19
200,-40,191,743,-57,11,-5
201,106,5,372,-5,1,-7
202,145,136,259,30,9,-5
203,62,95,431,-1,32,6
204,0,-14,894,36,14,-9
205,-24,114,460,-12,6,-7
206,-196,-54,644,-15,-4,14
207,225,126,658,22,-35,-33
208,-52,168,751,-33,25,7
209,223,36,111,5,8,-3
210,14,-143,329,0,-5,-6
211,-41,-17,363,-48,27,16
212,69,-109,652,11,9,-12
213,-99,75,506,-10,-1,-5
214,-46,80,738,-23,-16,12
215,164,37,655,8,-23,-29
216,-11,108,712,-17,19,6
217,130,212,286,-27,-11,0
218,80,3,569,-8,9,0
219,138,303,701,-40,20,9
220,54,15,570,9,-1,-12
221,-177,-12,456,-25,-13,0
222,88,185,789,-9,-25,-4
223,13,135,642,-3,-4,-12
224,43,95,564,-38,2,-3
225,183,93,280,-8,-5,0
226,4,-108,251,-33,28,5
227,-101,45,752,20,28,0
228,-15,49,565,26,6,-9
229,-197,-80,575,-54,-13,10
230,181,195,737,37,-20,-24
231,-36,53,751,-59,6,3
232,154,-13,376,-35,-13,-7
233,111,-155,409,43,21,-9
234,44,-33,330,-98,12,7
235,157,4,737,54,11,-10
236,-70,103,416,-8,3,-8
237,-136,14,687,-47,-11,16
238,214,114,842,26,-22,-32
239,-86,149,692,-69,12,4
240,102,1,294,0,-1,-2
241,149,71,265,-14,12,-11
242,-6,141,770,-65,5,10
243,30,-65,716,36,7,-11
244,-159,62,523,-14,4,-3
245,-11,129,745,-15,-19,4
246,110,85,633,15,-17,-21
247,40,93,665,-22,8,2
248,149,75,218,-59,13,-1
249,-53,-265,387,-14,9,0
250,136,162,537,8,7,6
251,57,-1,645,-51,-5,-10
252,-185,-40,532,20,11,7
253,106,187,784,-29,-36,-12
254,-6,164,806,-39,-3,-5
255,86,2,472,14,7,-4
256,138,203,288,-39,0,2
257,50,13,362,1,25,5
258,-38,9,834,5,10,-5
259,-15,79,541,-9,-9,-11
260,-179,-22,684,-1,-2,12
261,214,180,751,-15,-31,-30
262,-28,57,730,-23,25,5
263,161,-10,302,10,-12,-9
264,49,4,569,-13,24,-3
265,69,197,555,1,30,10
266,144,-11,714,-3,3,-7
267,-116,90,345,-2,-1,-8
268,-65,78,729,-2,-7,10
269,198,93,729,-34,-23,-28
270,-8,179,644,10,12,3
271,173,109,178,-30,-15,-2
272,-66,-289,461,-24,31,-4
273,-135,109,593,-1,12,13
274,47,-56,689,-38,-18,-8
275,-149,-4,532,-1,-2,0
276,82,104,801,10,-11,-8
277,52,98,768,-15,3,-10
278,52,40,500,21,-8,-7
279,143,213,399,-38,-2,6
280,39,-4,208,-51,23,9
281,-59,19,803,18,13,4
282,9,64,547,-10,-15,-11
283,-211,-58,620,-29,-9,14
284,159,191,829,30,-16,-25
285,-2,63,656,-70,10,3
286,129,-63,214,-27,-19,-10
287,215,142,507,5,11,-8
288,103,151,522,-76,8,0
289,55,-70,815,12,12,-3
