sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-31,92,990,16,58,0
1,-382,53,923,-34,47,0
2,-415,-9,897,-28,-18,2
3,-62,-63,1039,-18,-73,-4
4,349,-137,1081,-2,-61,1
5,402,-87,985,13,-7,11
6,156,83,1005,57,46,11
7,-208,128,1009,-9,59,2
8,-457,-20,835,-74,23,1
9,-267,-23,980,20,-52,0
10,175,-58,1118,-18,-80,-4
11,417,-150,999,-15,-31,9
12,306,-2,1014,47,24,14
13,-40,106,995,16,60,3
14,-381,17,899,-52,45,0
15,-406,-10,890,-8,-20,2
16,-47,-29,1077,-3,-74,-3
17,351,-136,1047,-20,-61,2
18,391,-52,1016,35,-2,14
19,135,91,1008,34,46,7
20,-207,73,947,-31,60,-3
21,-450,3,880,-38,20,1
22,-254,-13,998,-3,-52,1
23,179,-107,1074,-27,-76,-3
24,405,-123,1017,13,-30,9
25,294,22,1015,42,24,17
26,-52,87,986,4,59,2
27,-377,29,904,-38,44,-3
28,-386,5,913,-14,-21,2
29,-24,-49,1059,-18,-73,-3
30,350,-129,1047,-10,-56,1
31,382,-40,1023,32,3,16
32,111,80,1003,22,49,10
33,-229,59,942,-33,57,-3
34,-442,4,879,-31,14,0
35,-231,-29,1003,-13,-54,-1
36,209,-123,1061,-23,-74,-2
37,417,-103,1032,21,-27,7
38,283,29,1015,35,29,14
39,-77,87,979,-1,64,3
40,-401,38,902,-35,42,-1
41,-389,0,916,-20,-25,2
42,-7,-76,1051,-23,-76,-4
43,371,-135,1049,-2,-57,1
44,396,-38,1035,33,2,14
45,106,70,995,22,52,10
46,-256,70,941,-24,61,-1
47,-465,21,886,-30,11,0
48,-238,-36,996,-18,-58,-3
49,217,-119,1063,-15,-77,-4
50,433,-94,1041,21,-29,9
51,289,26,1007,27,30,16
52,-78,94,980,6,65,2
53,-411,48,909,-36,42,0
54,-392,-9,906,-27,-23,2
55,-12,-69,1053,-15,-77,-4
56,376,-128,1054,-2,-57,1
57,397,-48,1021,27,2,16
58,103,78,999,30,53,11
59,-253,73,949,-27,60,2
60,-459,3,882,-33,12,2
61,-235,-41,997,-14,-58,-2
62,227,-112,1063,-10,-77,-4
63,430,-98,1033,16,-27,9
64,282,28,1003,36,31,15
65,-80,99,988,5,64,3
66,-410,40,906,-41,42,1
67,-387,-14,917,-23,-25,0
68,2,-73,1053,-14,-78,-4
69,378,-127,1051,-1,-55,2
70,392,-43,1014,27,3,16
71,96,83,1002,30,54,10
72,-262,69,950,-29,59,0
73,-457,2,881,-32,11,3
74,-229,-28,1007,-10,-60,-2
75,238,-117,1064,-20,-77,-3
76,430,-102,1027,16,-25,10
77,271,38,1000,38,32,13
78,-90,94,988,-2,63,1
79,-419,33,895,-38,41,0
80,-381,-9,925,-20,-27,1
81,14,-74,1062,-17,-78,-5
82,385,-134,1044,-4,-54,2
83,387,-37,1016,33,5,15
84,91,86,1004,25,55,8
85,-275,68,940,-30,58,-1
86,-460,10,887,-29,9,1
87,-215,-35,1014,-16,-60,-1
88,246,-124,1060,-20,-76,-3
89,431,-96,1029,21,-24,9
90,270,41,1008,36,32,15
91,-103,90,980,-5,64,3
92,-421,35,887,-39,40,0
93,-375,-5,933,-18,-29,2
94,26,-81,1055,-22,-79,-3
95,393,-134,1047,0,-55,3
96,388,-27,1021,33,6,15
97,84,80,996,21,56,9
98,-283,65,938,-25,58,-2
99,-455,14,890,-28,8,2
100,-206,-43,1013,-20,-61,-1
101,255,-125,1057,-13,-76,-3
102,431,-89,1035,24,-23,9
103,263,37,1003,31,35,14
104,-115,90,980,-3,64,1
105,-428,40,889,-35,39,0
106,-369,-12,933,-21,-31,0
107,32,-89,1053,-19,-78,-3
108,394,-126,1057,4,-52,3
109,383,-25,1020,30,7,17
110,75,77,992,21,56,8
111,-295,74,938,-23,58,-1
112,-455,9,889,-33,6,3
113,-198,-51,1013,-19,-63,-2
114,263,-121,1058,-10,-74,-3
115,436,-87,1039,21,-22,11
116,251,36,1002,31,36,15
117,-119,92,977,-2,64,1
118,-434,39,896,-35,38,1
119,-361,-19,928,-25,-32,1
120,44,-89,1056,-14,-78,-4
121,402,-124,1065,5,-52,2
122,381,-31,1009,27,9,15
123,66,86,1000,25,56,6
124,-300,72,933,-26,57,-1
125,-455,3,884,-34,4,3
126,-192,-49,1010,-15,-64,-2
127,271,-113,1071,-10,-75,-4
128,436,-94,1032,16,-22,10
129,248,38,997,36,38,14
130,-126,98,984,-1,64,2
131,-440,31,880,-41,38,0
132,-356,-19,932,-18,-34,-1
133,55,-82,1064,-10,-80,-4
134,405,-127,1059,-2,-49,3
135,374,-30,1008,30,10,15
136,61,93,1008,27,56,7
137,-311,67,923,-33,58,-1
138,-458,3,886,-30,4,0
139,-184,-43,1010,-13,-66,-3
140,283,-124,1075,-14,-73,-3
141,434,-97,1023,20,-20,11
142,241,51,1011,42,37,13
143,-135,94,978,-10,63,1
144,-447,27,872,-36,37,1
145,-353,-6,945,-17,-37,1
146,63,-86,1062,-18,-80,-4
147,410,-131,1054,0,-50,4
148,374,-16,1014,36,11,17
149,59,90,1006,18,57,6
150,-321,57,919,-34,58,-2
151,-456,7,892,-23,1,2
152,-173,-43,1017,-15,-66,-2
153,291,-134,1063,-16,-72,-3
154,434,-85,1029,26,-18,11
155,222,18,1078,33,38,14
156,-145,0,796,-25,65,8
157,-412,115,973,61,37,-5
158,-325,77,965,-45,-38,1
159,73,-106,1074,-36,-78,2
160,387,-146,955,4,-41,-3
161,362,40,1116,41,1,14
162,67,2,919,-31,57,13
163,-323,56,934,1,60,-6
164,-444,1,946,-31,-3,-3
165,-161,-74,966,-17,-63,4
166,267,-98,1057,8,-69,1
167,434,-63,1058,26,-23,11
168,218,33,980,17,37,13
169,-132,102,993,15,61,-7
170,-410,45,901,-45,33,-2
171,-334,-19,912,-28,-33,6
172,60,-47,1114,-3,-74,-5
173,395,-122,999,-24,-44,2
174,348,-41,1023,26,12,18
175,36,55,995,18,57,6
176,-320,38,920,-25,55,-1
177,-441,8,893,-21,-2,1
178,-141,-15,1037,-6,-68,-3
179,300,-104,1056,-17,-68,0
180,415,-81,1057,16,-15,12
181,206,-75,932,-6,46,9
182,-156,125,1017,81,57,-2
183,-447,137,881,-47,33,5
184,-320,9,976,-37,-42,0
185,84,-99,1020,-36,-74,-5
186,416,-80,1103,15,-45,7
187,362,-61,998,-17,14,19
188,27,39,968,26,63,6
189,-358,40,943,-28,54,2
190,-459,-37,864,-33,-7,2
191,-147,-55,1019,6,-72,-4
192,325,-100,1075,5,-74,-2
193,438,-59,1039,25,-16,13
194,213,78,1004,38,41,11
195,-142,138,985,-6,61,-3
196,-451,33,874,-60,35,1
197,-329,-21,939,-24,-39,3
198,91,-109,1071,-27,-77,-4
199,413,-165,1036,-5,-43,4
200,356,-38,1010,39,16,17
201,18,83,1006,25,57,8
202,-358,51,910,-28,52,2
203,-444,11,897,-18,-11,0
204,-126,-26,1030,-6,-72,-4
205,334,-113,1065,-16,-71,-1
206,435,-64,1028,24,-12,12
207,208,73,1022,28,45,12
208,-168,80,966,-26,64,0
209,-470,14,866,-39,31,1
210,-328,-23,955,-16,-44,0
211,106,-122,1059,-23,-79,-5
212,425,-138,1042,16,-44,4
213,358,1,1026,42,17,16
214,22,98,999,16,58,6
215,-356,70,915,-28,54,-2
216,-446,29,902,-25,-8,1
217,-128,-44,1023,-25,-70,-1
218,323,-136,1055,-16,-68,-1
219,431,-73,1032,27,-11,12
220,200,45,1017,22,44,14
221,-177,72,956,-14,63,1
