sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-316,-34,938,-6,-4,3
1,-314,-34,938,-5,-5,4
2,-313,-35,939,-4,-5,3
3,-316,-35,937,-3,-6,3
4,-313,-36,936,-5,-6,4
5,-314,-35,938,-9,-7,5
6,-314,-32,940,-3,-8,6
7,-312,-35,940,-8,-8,4
8,-312,-34,938,-5,-8,5
9,-311,-35,940,-5,-11,5
10,-313,-34,939,-8,-9,4
11,-312,-33,939,-5,-10,4
12,-312,-33,939,-8,-10,5
13,-309,-33,940,-3,-10,5
14,-310,-32,940,-8,-11,3
15,-310,-35,941,-3,-11,4
16,-310,-35,942,-6,-9,3
17,-310,-36,941,-3,-10,4
18,-309,-35,941,-7,-8,5
19,-309,-35,940,-5,-9,5
20,-310,-35,941,-7,-9,5
21,-310,-35,941,-4,-8,5
22,-310,-35,941,-5,-9,5
23,-309,-34,940,-5,-8,5
24,-310,-34,941,-6,-7,4
25,-308,-33,942,-6,-7,4
26,-307,-34,942,-4,-8,4
27,-309,-34,940,-6,-7,4
28,-307,-34,939,-4,-6,5
29,-311,-34,939,-6,-5,4
30,-311,-35,940,-4,-5,4
31,-309,-34,941,-5,-6,4
32,-310,-34,941,-5,-4,5
33,-310,-34,940,-6,-6,3
34,-311,-34,940,-4,-5,3
35,-311,-34,939,-5,-5,4
36,-311,-33,939,-5,-6,5
37,-311,-34,941,-4,-6,5
38,-310,-35,941,-5,-6,5
39,-311,-36,940,-5,-6,3
40,-311,-35,942,-5,-7,5
41,-312,-33,941,-5,-6,5
42,-311,-36,939,-5,-6,4
43,-311,-34,940,-5,-6,5
44,-312,-35,940,-5,-6,6
45,-314,-36,941,-5,-7,5
46,-312,-35,941,-5,-6,5
47,-312,-34,939,-5,-8,5
48,-313,-34,940,-4,-7,6
49,-312,-34,939,-5,-7,5
50,-311,-35,939,-6,-7,6
51,-312,-36,939,-6,-8,4
52,-311,-36,938,-5,-7,5
53,-309,-35,941,-6,-7,6
54,-309,-34,941,-5,-7,6
55,-309,-35,942,-7,-7,5
56,-307,-34,942,-4,-5,5
57,-307,-34,943,-4,-6,4
58,-307,-36,942,-3,-5,5
59,-308,-36,942,-5,-4,5
60,-305,-36,943,-4,-4,5
61,-306,-35,942,-4,-4,5
62,-308,-36,943,-4,-1,6
63,-306,-33,941,-5,-2,5
64,-310,-36,943,-4,-1,5
65,-310,-33,942,-4,1,5
66,-309,-36,942,-4,0,5
67,-309,-36,940,-4,1,4
68,-308,-34,941,-3,1,5
69,-310,-34,941,-4,1,5
70,-310,-33,940,-4,2,6
71,-311,-34,941,-6,1,5
72,-313,-35,939,-4,0,5
73,-312,-34,938,-5,1,5
74,-315,-36,938,-5,-1,5
75,-314,-34,938,-5,-1,5
76,-313,-34,936,-4,-2,4
77,-316,-32,937,-3,-2,5
78,-316,-34,936,-6,-2,6
79,-317,-33,938,-4,-4,6
80,-315,-34,939,-5,-6,4
81,-315,-34,937,-4,-5,5
82,-314,-34,937,-6,-7,6
83,-311,-34,937,-3,-8,6
84,-312,-35,940,-6,-8,5
85,-310,-36,940,-3,-9,5
86,-309,-35,941,-5,-9,5
87,-307,-35,942,-4,-7,6
88,-306,-35,943,-7,-7,6
89,-306,-34,943,-6,-7,5
90,-306,-34,944,-3,-6,6
91,-305,-35,943,-4,-6,6
92,-305,-35,942,-3,-3,7
93,-306,-35,943,-6,-3,6
94,-306,-35,941,-2,-2,5
95,-305,-35,943,-6,-2,6
96,-305,-35,943,-1,0,7
97,-307,-34,942,-4,0,6
98,-306,-34,943,-3,1,5
99,-305,-34,942,-5,2,6
100,-307,-34,941,-3,3,6
101,-307,-35,941,-2,4,6
102,-307,-35,941,-4,5,5
103,-309,-36,941,-2,5,6
104,-309,-32,942,-5,6,6
105,-309,-33,941,-1,6,6
106,-309,-35,941,-4,5,5
107,-309,-34,939,-2,7,6
108,-308,-35,941,-5,7,7
109,-310,-33,940,-2,6,6
110,-312,-34,939,-3,7,7
111,-309,-33,940,-4,7,6
112,-311,-34,939,-3,7,7
113,-312,-34,939,-6,7,6
114,-314,-35,938,-1,7,6
115,-313,-36,938,-3,5,6
116,-315,-32,937,-4,6,6
117,-316,-33,937,-5,3,5
118,-317,-33,937,-3,3,5
119,-320,-33,937,-4,3,5
120,-320,-35,936,-4,1,4
121,-320,-35,936,-5,0,4
122,-320,-35,936,-5,-2,5
123,-320,-34,935,-3,-5,5
124,-318,-33,935,-4,-6,5
125,-320,-32,936,-4,-6,5
126,-319,-32,935,-6,-10,5
127,-321,-34,937,-4,-11,5
128,-318,-33,936,-7,-11,5
129,-317,-35,936,-7,-13,5
130,-318,-35,937,-6,-15,3
131,-315,-35,937,-7,-17,4
132,-316,-34,937,-5,-17,4
133,-313,-33,938,-7,-18,4
134,-314,-35,939,-5,-18,4
135,-312,-34,941,-6,-19,4
136,-312,-36,940,-5,-19,3
137,-310,-35,942,-7,-20,5
138,-307,-32,941,-5,-19,4
139,-307,-33,942,-4,-18,5
140,-305,-35,942,-6,-19,5
141,-304,-35,943,-7,-17,5
142,-303,-34,943,-6,-17,4
143,-302,-33,945,-6,-14,4
144,-304,-35,944,-6,-12,5
145,-301,-35,944,-6,-12,6
146,-303,-35,945,-6,-10,5
147,-303,-35,945,-5,-7,6
148,-302,-36,946,-6,-6,5
149,-302,-35,944,-5,-5,6
150,-302,-36,944,-6,-2,5
151,-302,-36,944,-4,-2,4
152,-302,-35,943,-5,0,5
153,-303,-35,942,-4,0,6
154,-303,-37,943,-6,2,6
155,-306,-35,942,-4,3,6
156,-307,-34,942,-5,3,5
157,-308,-33,943,-3,4,6
158,-309,-34,941,-4,5,6
159,-308,-36,942,-3,6,7
160,-309,-37,941,-4,6,7
161,-310,-35,941,-5,6,7
162,-311,-35,941,-3,6,6
163,-309,-35,942,-4,6,7
164,-310,-34,940,-2,6,6
165,-310,-35,941,-5,7,7
166,-310,-35,941,-3,7,6
167,-311,-33,939,-5,6,5
168,-312,-35,940,-4,6,6
169,-310,-36,938,-2,7,7
170,-312,-33,939,-3,6,6
171,-314,-34,938,-3,6,7
172,-311,-35,939,-2,5,7
173,-314,-34,938,-2,4,6
174,-314,-33,939,-1,4,5
175,-314,-33,939,-3,4,6
176,-314,-33,939,-2,3,6
177,-315,-33,938,-4,2,6
178,-317,-34,938,-3,2,6
179,-315,-33,938,-4,1,6
180,-314,-35,937,-3,0,5
181,-312,-32,938,-5,-1,6
182,-313,-33,938,-4,-2,6
183,-313,-34,938,-5,-2,5
184,-315,-32,937,-5,-3,5
185,-315,-34,937,-4,-3,6
186,-314,-33,938,-5,-4,4
187,-315,-33,938,-6,-4,6
188,-315,-35,939,-5,-5,6
189,-314,-35,938,-4,-4,6
190,-311,-34,939,-5,-6,6
191,-310,-33,939,-4,-6,6
192,-309,-33,939,-5,-7,7
193,-309,-34,940,-4,-6,6
194,-312,-34,941,-4,-6,6
195,-311,-34,941,-5,-7,5
196,-309,-35,939,-4,-8,4
197,-310,-35,939,-6,-7,5
198,-309,-34,939,-3,-7,5
199,-311,-34,941,-7,-7,5
200,-312,-34,940,-3,-6,6
201,-311,-35,940,-3,-8,5
202,-310,-34,939,-4,-6,6
203,-311,-33,940,-5,-7,5
204,-311,-34,941,-4,-7,6
205,-310,-35,941,-5,-7,5
206,-310,-36,941,-5,-6,4
207,-311,-37,939,-5,-6,6
208,-310,-37,939,-6,-5,5
209,-309,-35,941,-3,-5,4
210,-309,-36,940,-6,-5,5
211,-308,-32,940,-4,-6,4
212,-309,-32,942,-4,-5,4
213,-312,-33,941,-5,-6,4
214,-312,-35,941,-6,-4,6
215,-312,-34,941,-6,-5,4
216,-312,-33,939,-4,-5,6
