sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-183,-84,1004,-22,-84,-10
1,338,-169,1072,-4,-97,-6
2,501,-123,1019,15,-23,10
3,299,20,1034,24,54,11
4,-140,93,982,-8,87,13
5,-507,106,902,-15,51,12
6,-485,15,900,-35,-33,1
7,-45,-120,1027,-21,-95,-9
8,444,-173,1063,-1,-81,-2
9,490,-86,1028,24,0,11
10,189,51,1038,11,70,10
11,-278,112,957,1,81,14
12,-569,97,870,-28,31,11
13,-371,-25,939,-25,-58,-5
14,139,-147,1060,-14,-104,-9
15,499,-161,1050,6,-57,4
16,430,-36,1030,24,21,13
17,30,66,1005,3,82,11
18,-374,117,934,-6,74,15
19,-549,66,879,-33,2,8
20,-253,-70,977,-22,-75,-8
21,275,-157,1076,-9,-100,-7
22,505,-142,1024,13,-37,7
23,359,6,1037,20,46,11
24,-76,94,996,2,86,12
25,-488,114,908,-18,59,14
26,-519,31,888,-28,-20,2
27,-111,-108,1023,-20,-95,-10
28,418,-165,1065,0,-86,-3
29,505,-101,1030,21,-12,9
30,233,38,1031,17,64,9
31,-230,107,966,-3,86,13
32,-540,96,890,-23,38,13
33,-415,-8,916,-27,-45,-4
34,60,-126,1055,-13,-101,-10
35,471,-166,1057,4,-69,1
36,453,-62,1018,21,16,11
37,104,64,1029,14,76,10
38,-319,114,942,-10,77,14
39,-567,75,874,-24,17,9
40,-314,-52,953,-28,-70,-8
41,213,-157,1061,-9,-101,-9
42,517,-156,1047,11,-47,5
43,392,-9,1034,23,37,12
44,-37,90,998,6,86,12
45,-449,113,915,-15,62,15
46,-539,47,878,-26,-8,4
47,-162,-88,1014,-24,-88,-9
48,361,-164,1073,-4,-94,-5
49,501,-118,1021,15,-20,9
50,283,27,1031,20,55,11
51,-165,99,976,-1,87,13
52,-510,101,902,-18,48,13
53,-470,15,907,-27,-38,0
54,-17,-115,1035,-16,-98,-11
55,452,-171,1062,3,-78,0
56,484,-78,1025,18,4,11
57,173,56,1039,15,73,11
58,-289,108,955,-7,81,15
59,-571,89,867,-23,29,10
60,-359,-33,941,-28,-61,-4
61,157,-150,1062,-12,-102,-9
62,506,-161,1052,11,-54,4
63,419,-27,1032,21,24,12
64,13,76,1001,6,84,11
65,-397,113,929,-11,70,15
66,-548,62,883,-29,0,7
67,-227,-72,991,-22,-78,-8
68,299,-163,1074,-5,-99,-6
69,503,-138,1021,12,-31,9
70,338,9,1040,22,49,11
71,-102,90,989,0,85,12
72,-496,114,904,-15,56,15
73,-509,27,892,-28,-25,1
74,-85,-114,1020,-21,-94,-10
75,430,-168,1069,3,-85,-3
76,504,-89,1029,18,-8,11
77,219,45,1037,16,66,10
78,-249,108,963,-6,84,14
79,-555,93,878,-24,35,13
80,-398,-18,929,-28,-50,-3
81,94,-133,1054,-12,-103,-10
82,482,-164,1057,4,-66,3
83,443,-49,1023,23,18,10
84,76,68,1017,11,78,9
85,-344,118,944,-11,78,15
86,-559,75,871,-26,10,9
87,-298,-56,964,-28,-73,-5
88,236,-159,1070,-8,-100,-9
89,517,-149,1040,10,-44,7
90,382,-5,1037,22,41,11
91,-50,88,997,3,86,12
92,-469,114,915,-16,64,15
93,-537,35,877,-28,-13,3
94,-143,-94,1016,-21,-92,-10
95,385,-166,1071,-3,-92,-3
96,505,-116,1025,16,-17,9
97,264,30,1035,18,57,9
98,-189,95,965,-2,87,12
99,-523,100,903,-18,44,14
100,-452,6,910,-29,-41,0
101,4,-121,1036,-17,-99,-10
102,460,-170,1067,5,-77,1
103,474,-74,1020,20,9,11
104,153,58,1036,14,74,10
105,-300,116,952,-10,80,14
106,-575,80,864,-24,26,10
107,-350,-34,947,-25,-64,-6
108,177,-149,1060,-13,-101,-9
109,516,-158,1056,9,-53,5
110,413,-20,1030,22,28,10
111,0,77,998,7,86,10
112,-414,111,928,-12,69,15
113,-546,55,873,-28,0,6
114,-208,-75,996,-24,-81,-8
115,312,-161,1079,-6,-98,-6
116,502,-132,1021,13,-27,8
117,321,18,1038,23,49,9
118,-112,92,986,-3,84,13
119,-494,107,901,-16,55,16
120,-501,24,892,-27,-28,1
121,-76,-112,1020,-19,-95,-9
122,431,-166,1078,3,-83,-2
123,496,-87,1030,18,-7,10
124,214,47,1033,15,69,12
125,-258,100,963,-8,84,15
126,-556,89,871,-24,34,12
127,-392,-21,923,-25,-51,-3
128,102,-138,1063,-13,-104,-9
