sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-69,-72,1013,-41,-2,1
1,-31,-145,997,-17,-11,-3
2,58,-111,978,9,-9,-10
3,89,-16,999,24,2,-7
4,91,80,1019,21,12,-7
5,20,129,1006,27,25,-4
6,-83,126,983,3,23,2
7,-120,60,1002,-21,7,-1
8,-113,6,980,-31,-10,-3
9,-20,19,988,-26,-26,-4
10,69,34,1012,-34,-27,-7
11,113,63,1024,-35,-12,-3
12,90,48,991,-34,3,-1
13,-17,3,994,-42,13,4
14,-110,-30,983,-36,8,3
15,-115,-50,980,-25,-4,0
16,-31,-47,995,-13,-17,-7
17,65,-9,1000,-5,-18,-8
18,152,49,1004,-5,-8,-7
19,100,71,1006,-11,10,-2
20,-5,65,1010,-14,21,3
21,-110,32,985,-22,19,3
22,-152,2,986,-21,4,0
23,-80,-26,982,-19,-16,-6
24,51,-17,1003,-15,-24,-10
25,148,14,1009,-9,-16,-8
26,140,29,1007,-10,5,-5
27,50,42,1005,-11,22,-1
28,-90,41,986,-13,26,5
29,-155,18,989,-17,12,0
30,-134,0,988,-17,-9,-3
31,10,6,1004,-16,-24,-7
32,124,13,1006,-17,-21,-10
33,160,21,1000,-15,-3,-6
34,89,29,996,-15,16,0
35,-54,30,1003,-16,27,6
36,-151,5,993,-12,16,1
37,-153,10,968,-10,-1,-2
38,-27,14,1003,-12,-20,-7
39,86,22,1015,-15,-22,-9
40,167,31,1011,-16,-10,-7
41,116,33,1001,-16,12,-2
42,-18,17,1005,-17,26,4
43,-133,0,978,-14,21,2
44,-160,2,979,-11,5,0
45,-72,3,1000,-9,-16,-6
46,59,23,1007,-10,-22,-9
47,160,40,1005,-15,-12,-8
48,135,44,1005,-18,10,-3
49,21,24,1005,-19,23,3
50,-113,10,985,-18,24,4
51,-158,-8,992,-15,8,0
52,-108,-9,983,-10,-13,-5
53,37,18,998,-10,-23,-8
54,152,38,1014,-11,-18,-9
55,145,41,1008,-17,1,-3
56,67,40,1000,-18,19,0
57,-82,25,991,-21,26,5
58,-155,-2,987,-19,13,2
59,-140,-11,982,-14,-7,-3
60,2,6,1005,-11,-23,-8
61,121,20,1017,-12,-21,-10
62,169,37,1000,-13,-3,-4
63,100,43,993,-17,17,-1
64,-49,32,1002,-18,26,4
65,-153,0,995,-17,17,2
66,-158,0,968,-15,-2,-1
67,-35,-2,1000,-13,-21,-7
68,88,15,1014,-11,-23,-10
69,173,36,1004,-13,-10,-7
70,124,41,1003,-16,11,-2
71,-11,26,1016,-17,26,4
72,-131,9,975,-16,22,3
73,-166,4,972,-13,4,1
74,-87,0,999,-13,-18,-6
75,55,14,1010,-12,-25,-10
76,164,33,1006,-14,-15,-8
77,140,41,1001,-14,7,-2
78,34,28,1010,-16,24,2
79,-107,-70,751,15,39,7
80,-275,602,926,53,73,23
81,-212,130,1603,-148,-58,10
82,-94,67,798,-122,-66,-7
83,287,-307,666,-135,-72,-29
84,154,-387,954,-63,-16,16
85,360,-158,1223,23,10,-14
86,170,-312,886,12,47,-9
87,-102,28,790,100,76,32
88,-199,289,1334,75,48,0
89,-344,328,948,20,22,3
90,-149,373,826,-28,-26,-5
91,87,109,1174,-93,-40,-3
92,159,-12,1083,-96,-29,-7
93,141,-156,895,-93,-19,5
94,40,-279,921,-46,7,17
95,12,-256,1009,12,24,2
96,7,-266,985,51,27,-17
97,-59,-26,967,95,28,-13
98,11,237,1079,86,11,-10
