sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,80,-10,1012,-13,17,-3
1,-32,-4,1005,-14,27,-1
2,-147,-4,975,-17,18,0
3,-144,-21,989,-13,-2,-5
4,-66,-36,998,-19,-22,-10
5,77,-30,1006,-14,-24,-12
6,145,-27,1003,-13,-11,-11
7,99,-17,1002,-11,10,-5
8,-7,-5,1002,-11,24,-1
9,-126,-6,989,-18,22,2
10,-155,-18,989,-18,4,-5
11,-88,-32,986,-16,-18,-9
12,56,-27,1006,-15,-26,-12
13,128,-36,1013,-13,-15,-12
14,124,-19,1011,-11,7,-6
15,17,-7,990,-14,24,-1
16,-109,-3,991,-15,25,2
17,-159,-16,990,-19,7,-2
18,-112,-26,988,-19,-13,-6
19,31,-34,1011,-18,-26,-11
20,112,-34,1008,-14,-17,-11
21,138,-15,1006,-11,2,-8
22,42,-3,1007,-14,22,-1
23,-88,-6,999,-18,27,2
24,-159,-13,977,-18,11,-2
25,-122,-24,979,-20,-12,-5
26,-7,-43,1009,-15,-26,-9
27,111,-36,1009,-13,-20,-11
28,148,-23,1008,-13,0,-8
29,60,-7,1004,-11,20,-4
30,-62,-1,1005,-13,25,-1
31,-153,-4,973,-18,15,0
32,-134,-13,993,-18,-5,-4
33,-34,-38,1001,-19,-22,-10
34,94,-33,1001,-15,-23,-11
35,147,-30,1007,-11,-6,-9
36,77,-12,1009,-15,17,-4
37,-38,-2,1007,-14,27,0
38,-145,-3,973,-19,18,0
39,-141,-19,994,-19,-4,-5
40,-60,-43,993,-17,-21,-11
41,79,-29,1006,-14,-22,-12
42,136,-28,1006,-12,-9,-10
43,94,-13,1002,-11,12,-4
44,-6,-7,1001,-16,24,-1
45,-123,-6,987,-17,22,-1
46,-146,-25,992,-17,2,-3
47,-85,-26,988,-15,-17,-7
48,51,-24,1007,-13,-24,-10
49,126,-27,1011,-14,-13,-10
50,118,-18,1012,-12,8,-6
51,13,-9,992,-16,22,-1
52,-105,-21,984,-18,22,1
53,-154,-22,990,-16,6,-3
54,-100,-14,988,-17,-13,-5
55,30,-23,1010,-15,-23,-11
56,115,-25,1013,-15,-15,-10
57,133,-15,1007,-14,2,-6
58,35,-14,999,-17,22,-2
59,-94,-16,1001,-16,25,2
60,-151,-20,973,-19,9,-2
61,-113,-23,987,-16,-12,-4
62,9,-30,1010,-15,-25,-9
63,107,-27,1011,-12,-17,-10
64,137,-17,1005,-13,2,-8
65,37,-11,1004,-14,21,-1
66,-67,-10,998,-15,24,-1
67,-147,-12,975,-18,13,-2
68,-120,-11,992,-17,-8,-6
69,-19,-35,1000,-17,-23,-10
70,99,-30,1003,-13,-22,-10
71,134,-27,1001,-13,-4,-8
72,66,-12,1010,-13,18,-4
73,-52,-8,1000,-16,25,0
74,-139,-1,976,-18,14,-1
75,-125,-25,997,-18,-4,-4
76,-43,-38,996,-19,-20,-7
77,89,-38,1004,-14,-21,-9
78,130,-32,1006,-11,-6,-8
79,81,-14,995,-12,14,-3
80,-25,-5,1003,-13,23,-3
81,-132,1,981,-18,19,1
82,-133,-16,1000,-17,1,-4
83,-64,-28,989,-18,-19,-8
84,68,-30,1005,-15,-24,-11
85,122,-33,1015,-14,-9,-9
86,99,-21,1009,-13,10,-4
87,-1,-10,989,-14,23,-2
88,-114,-13,989,-15,22,1
89,-139,-18,983,-17,4,-3
90,-85,-13,994,-15,-14,-6
91,43,-19,1009,-15,-23,-10
92,106,-32,1010,-15,-11,-9
93,123,-14,1006,-13,4,-6
94,15,-13,1000,-16,21,-2
95,-91,-9,997,-17,23,0
96,-146,-24,977,-20,8,-1
97,-96,-22,984,-17,-13,-7
98,14,-35,1010,-15,-23,-10
99,105,-30,1007,-15,-16,-10
100,121,-16,1007,-13,3,-6
101,31,-4,1000,-13,19,-2
102,-78,-6,1005,-19,22,-1
103,-139,-15,972,-19,10,-2
104,-100,-29,1000,-18,-8,-5
105,-7,-43,996,-15,-22,-9
106,94,-31,1006,-12,-17,-9
107,121,-16,1004,-11,-2,-7
108,43,0,1008,-14,19,-2
109,-52,0,1001,-16,23,-1
110,-137,-9,976,-20,12,0
111,-112,-27,996,-19,-8,-4
112,-31,-47,998,-18,-19,-8
113,88,-39,1005,-13,-18,-10
114,116,-25,1003,-11,-4,-8
115,69,-11,1005,-11,14,-4
116,-29,-5,994,-15,22,-2
117,-124,-2,986,-17,18,0
118,-125,-20,997,-20,-2,-4
119,-55,-34,988,-18,-19,-8
120,65,-28,1004,-13,-23,-10
121,114,-29,1015,-14,-8,-9
122,88,-14,1009,-13,13,-4
123,-11,-3,984,-15,23,-2
124,-115,-1,992,-19,18,1
125,-133,-25,992,-20,2,-3
126,-67,-35,988,-17,-15,-7
127,53,-35,1011,-14,-22,-10
128,101,-34,1007,-12,-11,-9
129,102,-7,1007,-9,6,-5
130,6,-3,997,-14,22,-2
131,-103,-1,996,-18,21,0
132,-134,-15,979,-20,3,-4
133,-86,-24,991,-19,-15,-5
134,32,-45,1006,-16,-23,-10
135,100,-41,1010,-14,-13,-9
136,113,-13,1006,-11,5,-4
137,18,-2,1003,-13,21,-1
138,-80,2,1001,-16,20,1
139,-135,-7,975,-19,7,-1
140,-93,-22,997,-20,-10,-5
141,1,-44,1002,-17,-20,-9
142,104,-40,999,-12,-17,-9
143,112,-26,1006,-11,-1,-6
144,36,-11,1008,-14,18,-1
145,-64,-1,1001,-15,22,0
146,-132,-2,976,-18,10,0
147,-103,-20,999,-19,-8,-4
148,-18,-37,1000,-19,-21,-8
149,89,-36,1007,-15,-16,-10
150,111,-29,999,-12,0,-8
151,50,-9,1001,-13,15,-3
152,-43,-3,997,-14,21,-2
153,-127,0,985,-20,14,0
154,-105,-23,1003,-21,-4,-4
155,-44,-41,989,-19,-17,-9
156,76,-35,1005,-15,-20,-10
157,108,-31,1013,-12,-5,-8
158,72,-13,1004,-12,14,-3
159,-18,0,986,-15,22,-2
160,-115,1,988,-19,18,1
161,-121,-24,996,-19,-2,-4
162,-51,-29,995,-18,-16,-7
163,58,-40,1007,-15,-19,-10
164,100,-37,1006,-13,-9,-9
165,85,-13,1006,-10,6,-3
166,-4,-5,993,-14,19,-2
167,-101,1,995,-17,17,0
168,-125,-11,986,-19,2,-4
169,-67,-26,986,-20,-15,-7
170,37,-41,1011,-16,-21,-9
171,94,-37,1004,-15,-9,-7
172,99,-22,1008,-12,5,-6
173,4,-7,997,-13,19,-3
174,-79,-1,999,-15,17,-2
175,-125,-9,979,-19,4,-3
176,-84,-23,994,-19,-10,-8
177,15,-39,1005,-17,-19,-10
178,89,-37,1000,-14,-14,-10
179,110,-21,1002,-11,1,-8
180,25,-9,1007,-15,19,-2
181,-61,-4,1000,-16,22,-1
182,-123,-5,980,-19,10,-1
183,-100,-18,995,-17,-7,-4
184,-11,-38,1000,-18,-19,-8
185,89,-34,1003,-15,-16,-9
186,110,-25,1003,-14,0,-7
187,44,-14,1002,-13,18,-3
188,-50,-3,998,-16,21,-1
189,-123,-3,982,-18,12,-1
190,-105,-28,1004,-20,-5,-5
191,-35,-38,994,-17,-17,-9
192,81,-34,1006,-16,-18,-10
193,106,-32,1011,-12,-4,-8
194,59,-6,997,-11,12,-4
195,-30,0,993,-16,20,-3
196,-118,4,986,-18,14,-1
197,-115,-21,999,-22,-2,-6
198,-46,-42,990,-18,-17,-9
199,65,-40,1003,-14,-18,-11
200,100,-38,1010,-12,-4,-10
201,78,-9,1004,-10,11,-4
202,-10,6,991,-14,20,-3
203,-105,0,993,-20,17,-2
204,-121,-18,991,-20,1,-5
205,-58,-31,990,-20,-13,-8
206,46,-43,1013,-16,-22,-11
207,95,-38,1003,-13,-9,-8
208,93,-9,1006,-13,7,-6
209,7,-1,1001,-16,19,-3
210,-89,4,998,-17,18,1
211,-125,-13,983,-22,3,-3
212,-80,-25,989,-21,-13,-7
213,18,-51,1006,-18,-20,-11
214,94,-42,999,-14,-13,-8
215,106,-15,1007,-11,2,-7
216,26,7,1001,-13,18,-2
217,-65,3,1000,-19,20,-1
218,-126,-8,980,-22,10,-2
219,-100,-35,993,-23,-7,-5
220,-8,-61,998,-17,-20,-11
221,82,-45,999,-12,-16,-11
222,113,-22,1001,-9,-1,-9
223,36,4,1007,-9,17,-3
224,-48,16,1002,-15,19,-2
225,-127,6,980,-21,10,-2
226,-105,-24,1001,-23,-7,-5
227,-30,-51,994,-22,-19,-9
228,79,-49,1004,-16,-18,-12
229,109,-40,1000,-12,-5,-10
230,58,-9,1000,-11,11,-4
231,-28,8,995,-13,18,-3
232,-120,8,992,-18,15,-1
233,-113,-21,1000,-23,-2,-5
234,-51,-42,990,-21,-16,-9
235,72,-42,1004,-16,-21,-10
236,98,-38,1010,-13,-5,-10
237,78,-17,1007,-10,10,-6
238,-13,4,986,-12,19,-2
239,-105,7,990,-16,14,-1
240,-120,-15,998,-20,-1,-4
241,-64,-27,986,-22,-15,-9
242,43,-42,1012,-18,-19,-12
243,92,-43,1002,-13,-10,-12
244,90,-21,1001,-9,5,-7
245,8,-6,1000,-11,18,-4
246,-90,4,998,-17,18,0
247,-123,-12,979,-18,4,-4
248,-79,-19,988,-19,-12,-6
249,25,-36,1012,-18,-20,-11
250,87,-38,1005,-16,-12,-10
251,104,-21,1000,-13,3,-6
252,20,0,1003,-12,17,-3
253,-71,-2,997,-16,17,-2
254,-116,-7,984,-19,7,-6
255,-95,-29,991,-20,-9,-6
256,-1,-43,1000,-18,-20,-10
257,93,-43,1001,-15,-16,-9
258,110,-26,1003,-10,-1,-6
259,52,-23,1004,-13,15,0
260,-1,-25,996,-9,16,13
261,-135,80,1006,-11,19,1
262,-165,-65,982,-29,1,-8
263,-70,0,997,-17,-22,-7
264,75,-63,1000,-22,-23,-14
265,141,-25,1002,-13,-8,-12
266,114,-23,1008,-14,9,-3
267,-35,0,992,-14,25,-1
268,-137,-2,990,-20,18,1
269,-146,-20,1000,-20,-1,-5
270,-67,-36,981,-18,-20,-9
271,85,-24,1014,-14,-25,-13
272,134,-34,1013,-13,-10,-12
273,97,-11,995,-12,14,-5
274,-23,-8,1001,-16,26,-2
275,-133,-7,981,-17,20,2
276,-138,-23,998,-18,-2,-4
277,-65,-30,992,-17,-20,-10
278,74,-29,1007,-14,-25,-11
279,117,-32,1009,-15,-9,-9
280,96,-13,1004,-13,9,-3
281,-7,-9,993,-16,21,-1
282,-120,-5,988,-18,19,3
283,-136,-24,989,-19,2,-2
284,-65,-31,990,-16,-15,-7
285,50,-34,1012,-14,-23,-10
286,108,-28,1008,-12,-11,-10
287,107,-14,1001,-11,8,-5
288,-1,-6,1001,-15,22,1
289,-96,-7,997,-17,20,2
290,-133,-21,985,-18,5,-2
291,-77,-22,983,-17,-13,-6
292,31,-38,1014,-14,-20,-9
293,101,-31,1001,-13,-11,-8
294,108,-11,1006,-12,5,-3
295,6,-5,1005,-13,20,-1
296,-83,-4,996,-17,20,0
297,-125,-13,977,-18,6,-1
298,-86,-23,1002,-18,-10,-4
299,14,-41,1000,-17,-22,-9
300,95,-36,1000,-13,-13,-8
301,101,-15,1002,-10,3,-6
302,17,-7,1005,-13,17,-2
303,-64,0,998,-16,19,-1
304,-121,-5,980,-19,8,1
305,-84,-24,1006,-19,-9,-3
306,-11,-43,995,-18,-17,-7
307,88,-32,1005,-13,-13,-7
308,101,-26,1006,-10,0,-6
309,36,-8,992,-11,15,0
310,-43,6,998,-14,17,-1
311,-116,4,990,-19,12,1
312,-92,-21,1004,-21,-5,-3
313,-30,-43,992,-20,-15,-6
314,74,-42,1000,-15,-15,-7
315,94,-35,1011,-13,-2,-6
316,58,-19,1006,-12,13,-2
317,-24,-2,983,-12,19,-1
318,-109,1,992,-16,13,1
319,-108,-18,994,-19,-1,-3
320,-48,-34,995,-19,-13,-5
321,54,-39,1008,-16,-18,-8
322,91,-41,1001,-12,-6,-8
323,81,-11,1007,-10,9,-2
324,-11,-4,991,-14,18,-1
325,-91,1,1000,-17,16,2
326,-119,-14,983,-18,3,1
327,-68,-22,989,-18,-12,-4
328,26,-43,1012,-17,-19,-8
329,84,-44,1006,-16,-11,-8
330,107,-27,1001,-13,4,-6
331,8,-11,999,-12,19,-2
332,-81,2,1001,-15,16,0
333,-124,-3,980,-19,5,-2
334,-91,-12,1000,-20,-9,-4
335,6,-42,1003,-20,-18,-9
336,91,-45,997,-15,-15,-11
337,103,-23,1004,-13,0,-7
338,24,-6,1006,-15,18,-4
339,-67,0,1003,-17,19,-2
340,-125,-4,975,-21,8,-3
341,-88,-23,1001,-19,-9,-8
342,-5,-45,997,-17,-20,-12
343,82,-26,1006,-12,-14,-9
344,101,-16,1003,-11,0,-9
345,33,-9,1000,-16,15,-4
346,-46,-2,998,-17,17,-3
347,-120,-7,988,-8,6,-5
348,-93,-27,1001,-22,-5,-6
349,-29,-47,993,-18,-16,-11
350,80,-27,1005,-14,-18,-12
351,96,-34,1006,-14,-3,-11
352,57,-14,1003,-13,12,-7
353,-14,-9,988,-14,18,-8
354,-103,-3,989,-16,15,-4
355,-115,-9,1006,-18,-2,-6
356,-61,-23,985,-20,-15,-6
357,60,-34,1007,-16,-20,-11
358,98,-43,1014,-15,-6,-11
359,91,-27,996,-13,8,-7
360,6,-18,997,-11,18,-5
361,-103,-4,986,-16,19,0
362,-128,-7,993,-16,4,-3
363,-77,-19,989,-19,-13,-6
