sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,242,-166,1146,0,-78,-5
1,391,-94,1123,23,-35,-1
2,190,44,1010,15,33,8
3,-180,111,871,-10,65,15
4,-431,63,828,-28,38,10
5,-236,-96,960,-38,-38,-2
6,188,-165,1128,2,-81,-6
7,392,-108,1127,11,-44,-1
8,244,25,1018,29,25,7
9,-138,112,909,-8,63,14
10,-420,64,827,-35,42,10
11,-274,-83,934,-24,-30,-2
12,127,-163,1107,-5,-76,-6
13,382,-132,1108,19,-49,-2
14,288,24,1048,26,14,5
15,-87,107,901,-5,61,13
16,-393,81,854,-27,49,11
17,-317,-57,920,-33,-20,1
18,76,-167,1069,-9,-74,-4
19,374,-126,1137,15,-56,-5
20,316,-12,1035,20,6,4
21,-37,97,908,7,59,13
22,-366,98,868,-26,55,14
23,-363,-53,902,-35,-10,3
24,24,-158,1080,-4,-71,-7
25,353,-129,1148,12,-63,-4
26,342,-33,1036,23,-4,4
27,27,105,938,8,54,13
28,-342,113,848,-25,60,14
29,-391,-33,882,-38,1,3
30,-37,-145,1081,-16,-65,-5
31,324,-154,1149,12,-67,-2
32,363,-63,1059,20,-13,4
33,65,99,942,12,48,12
34,-296,101,833,-20,63,13
35,-404,-6,864,-37,11,5
36,-103,-128,1051,-13,-59,-5
37,300,-162,1162,8,-73,-3
38,383,-70,1084,20,-21,1
39,114,79,961,17,43,10
40,-248,114,842,-20,64,16
41,-419,12,833,-37,21,7
42,-162,-117,1026,-16,-51,-6
43,261,-154,1157,2,-75,-5
44,393,-107,1093,20,-31,0
45,163,69,1005,23,34,8
46,-207,118,856,-17,65,15
47,-418,34,816,-33,30,8
48,-215,-78,991,-21,-42,-5
49,225,-176,1137,-1,-77,-5
50,394,-102,1128,19,-37,0
51,209,40,1014,21,29,8
52,-163,99,884,-9,65,16
53,-429,59,822,-33,40,10
54,-251,-81,942,-21,-36,-2
55,167,-166,1126,-3,-77,-5
56,388,-110,1125,16,-46,-2
57,266,19,1030,23,19,6
58,-122,117,910,-6,64,13
59,-418,63,831,-33,47,12
60,-292,-75,927,-32,-26,1
61,102,-159,1095,-6,-75,-5
62,382,-134,1126,18,-54,-4
63,302,-2,1026,22,11,6
64,-66,110,912,2,60,14
65,-386,89,860,-24,52,12
66,-338,-58,903,-37,-16,1
67,54,-159,1080,-6,-73,-7
68,367,-133,1146,15,-60,-4
69,330,-16,1034,23,1,4
70,-10,105,919,6,58,12
71,-357,102,859,-28,56,12
72,-370,-40,898,-32,-5,4
73,4,-156,1082,-12,-69,-3
74,338,-146,1147,10,-64,-3
75,351,-41,1054,28,-8,2
76,38,97,932,4,52,11
77,-329,112,841,-18,60,15
78,-392,-11,887,-38,3,5
79,-61,-156,1059,-18,-64,-6
80,318,-156,1160,17,-72,-3
81,373,-63,1082,20,-15,3
82,79,83,937,16,46,10
83,-284,128,839,-16,62,15
84,-411,8,849,-40,14,6
85,-121,-129,1044,-17,-57,-4
86,291,-155,1160,3,-74,-4
87,395,-89,1094,17,-24,1
88,129,67,977,20,42,9
89,-239,118,840,-18,66,14
90,-426,18,818,-35,24,8
91,-182,-101,1021,-18,-49,-4
92,250,-173,1137,3,-77,-6
93,405,-93,1122,24,-34,1
94,179,56,1002,18,34,9
95,-186,113,863,-9,65,15
96,-427,48,831,-35,35,9
97,-231,-93,962,-25,-41,-4
98,201,-164,1133,3,-79,-5
99,388,-110,1129,16,-41,-1
100,233,36,1025,23,24,6
101,-146,110,893,-7,63,15
102,-419,56,828,-35,42,10
103,-269,-80,938,-22,-31,-2
104,144,-163,1115,-8,-77,-5
105,382,-119,1118,18,-48,-2
106,274,13,1036,27,16,5
107,-95,120,915,-7,61,15
108,-405,77,833,-30,49,12
109,-309,-64,928,-33,-24,-2
110,95,-164,1089,-7,-75,-5
111,379,-145,1126,16,-56,-1
112,304,0,1036,23,9,4
113,-45,115,913,5,58,14
114,-380,88,855,-30,53,14
115,-355,-32,912,-33,-14,0
116,46,-168,1082,-12,-74,-3
117,363,-141,1139,14,-61,-2
118,336,-8,1047,26,0,2
119,10,83,918,-1,55,13
120,-356,112,854,-19,60,13
121,-386,-32,891,-36,-3,3
122,-15,-159,1083,-14,-69,-4
123,328,-141,1149,13,-68,-4
124,364,-50,1058,22,-12,3
125,57,96,938,9,50,12
126,-317,116,842,-18,62,13
127,-402,-19,869,-40,7,5
128,-90,-133,1057,-17,-61,-3
129,306,-155,1165,9,-74,-4
130,382,-72,1082,18,-20,2
131,100,75,947,16,44,9
132,-260,119,848,-17,63,16
133,-415,6,830,-41,17,7
134,-145,-125,1034,-13,-55,-5
135,271,-155,1163,5,-77,-6
136,394,-93,1099,19,-29,1
137,147,67,989,18,36,9
138,-220,123,850,-15,63,15
139,-419,23,816,-34,27,9
140,-193,-96,1006,-23,-47,-4
141,236,-162,1143,4,-78,-5
142,392,-103,1125,19,-36,-1
143,189,42,1010,18,29,8
144,-178,114,872,-8,63,16
145,-427,50,832,-36,35,10
146,-235,-98,953,-26,-41,-2
147,181,-150,1122,3,-77,-5
148,389,-112,1129,12,-44,-2
149,247,26,1025,26,21,6
150,-136,121,902,-8,62,14
151,-418,56,828,-39,42,12
152,-281,-72,930,-23,-30,-2
153,130,-162,1106,-9,-77,-5
154,384,-133,1115,18,-50,-1
155,288,4,1039,22,12,6
156,-87,110,903,-2,61,14
157,-392,77,855,-28,48,13
158,-329,-51,918,-30,-21,-1
159,79,-154,1081,-9,-76,-5
160,370,-139,1137,13,-59,-3
161,322,-5,1043,23,3,4
162,-23,110,915,4,57,14
163,-372,87,843,-33,55,12
164,-363,-33,916,-32,-11,1
165,19,-159,1083,-12,-71,-4
166,350,-154,1139,8,-64,-2
167,336,-26,1050,30,-6,3
168,28,98,930,5,51,11
169,-336,103,843,-23,58,14
170,-391,-12,885,-36,-1,3
171,-39,-149,1069,-19,-68,-7
172,325,-153,1161,14,-72,-3
173,365,-53,1068,21,-15,4
174,65,93,945,10,47,9
175,-299,107,830,-20,62,14
176,-407,0,860,-41,8,7
177,-102,-130,1046,-15,-62,-6
178,300,-162,1158,6,-75,-5
179,384,-81,1085,19,-22,0
180,120,67,972,17,41,9
181,-252,119,837,-17,64,14
182,-418,22,822,-36,20,7
183,-161,-112,1020,-20,-52,-4
184,260,-159,1155,0,-78,-4
185,399,-93,1113,20,-33,1
186,162,47,998,15,35,8
187,-204,115,861,-14,64,13
188,-427,32,817,-35,29,9
189,-210,-101,979,-24,-44,-3
190,215,-160,1133,3,-78,-5
191,391,-112,1119,17,-41,-1
192,218,40,1021,23,26,7
193,-156,123,888,-5,64,15
194,-421,60,825,-39,38,10
195,-252,-88,948,-25,-34,-1
196,156,-161,1115,-3,-77,-5
197,387,-128,1120,10,-47,0
198,263,13,1028,28,18,7
199,-115,120,908,-6,61,12
200,-404,63,827,-30,46,12
201,-291,-67,931,-28,-25,1
202,101,-158,1091,-8,-75,-6
203,385,-133,1137,15,-55,-2
204,302,2,1030,23,12,6
205,-63,120,905,-3,60,15
206,-379,73,839,-30,51,13
207,-347,-51,915,-31,-15,0
208,56,-168,1083,-8,-75,-6
209,367,-142,1145,14,-61,0
210,327,-19,1036,26,0,3
211,-3,106,912,11,56,12
212,-355,110,858,-28,57,15
213,-372,-29,892,-31,-4,4
214,0,-145,1088,-15,-69,-5
215,338,-153,1152,8,-65,-3
216,351,-52,1053,25,-8,3
217,49,94,933,7,51,13
218,-317,108,835,-18,62,13
219,-397,-7,880,-33,6,3
220,-57,-134,1063,-16,-64,-4
221,307,-156,1159,10,-70,-2
222,377,-61,1084,18,-17,2
223,81,85,947,14,46,12
224,-275,112,836,-18,64,14
225,-410,5,843,-39,16,5
226,-134,-136,1036,-16,-55,-5
227,279,-171,1155,5,-74,-5
228,390,-87,1098,21,-25,3
229,127,67,981,20,40,7
230,-233,119,843,-16,65,13
231,-416,32,828,-33,23,9
232,-182,-103,1010,-23,-48,-4
233,248,-172,1136,1,-75,-5
234,389,-98,1124,21,-32,1
235,183,43,1006,15,33,8
236,-191,112,868,-9,65,13
237,-427,43,820,-34,33,9
238,-228,-94,965,-21,-40,-2
239,194,-171,1134,5,-79,-5
240,400,-107,1123,19,-43,-1
241,242,36,1027,23,24,8
242,-137,124,893,-5,64,14
243,-413,75,827,-36,42,11
244,-274,-75,946,-27,-29,0
245,138,-163,1110,-8,-75,-6
246,376,-132,1123,14,-50,-1
247,289,0,1032,24,14,7
248,-95,113,898,-4,62,14
249,-401,77,840,-24,50,9
250,-312,-53,927,-32,-21,2
251,75,-159,1089,-10,-72,-5
252,386,-143,1131,16,-58,-4
253,309,2,1042,24,8,4
254,-35,100,907,-1,58,13
255,-366,91,849,-26,55,13
256,-369,-41,901,-35,-9,3
257,25,-176,1080,-10,-70,-5
258,348,-133,1160,15,-64,-4
259,339,-49,1040,23,-4,4
260,21,99,930,13,53,12
261,-344,126,847,-20,60,13
262,-385,-28,874,-38,2,3
263,-36,-141,1080,-17,-66,-5
264,327,-146,1165,15,-68,-4
265,358,-67,1066,20,-11,1
266,65,87,941,11,49,11
267,-296,117,840,-15,63,15
268,-408,-5,851,-41,12,4
269,-97,-132,1049,-12,-59,-5
270,302,-155,1166,7,-73,-3
271,383,-87,1083,18,-21,0
272,118,80,973,23,42,10
273,-254,126,841,-17,65,15
274,-415,17,825,-37,21,6
275,-154,-109,1021,-19,-53,-4
276,261,-156,1152,1,-75,-4
277,400,-100,1107,20,-30,1
278,164,48,998,17,38,10
279,-204,115,861,-12,65,15
280,-422,40,825,-32,30,9
281,-219,-98,978,-23,-42,-4
282,219,-182,1132,3,-76,-4
283,383,-97,1127,21,-36,-1
284,217,39,1013,19,27,7
285,-155,118,892,-4,64,17
286,-427,64,823,-35,39,10
287,-250,-77,954,-27,-34,-1
288,155,-177,1123,-4,-77,-6
289,379,-117,1119,17,-46,-2
290,266,5,1027,23,19,7
291,-116,113,897,-4,63,12
292,-412,77,836,-27,47,9
293,-296,-74,933,-32,-26,1
294,104,-160,1098,-5,-75,-5
