sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,107,-32,1011,-11,-19,-12
1,152,-10,1000,-11,-8,-9
2,56,5,1005,-11,16,-3
3,-62,-5,1000,-16,27,0
4,-161,-12,972,-21,17,1
5,-136,-28,998,-19,-5,-5
6,-33,-40,998,-12,-25,-13
7,102,-27,1000,-22,-16,-8
8,146,-15,1011,-10,-2,-6
9,76,3,1009,-15,14,-3
10,-40,-5,997,-14,27,-1
11,-154,-2,974,-18,23,2
12,-146,-28,990,-22,-1,-4
13,-59,-38,998,-14,-21,-11
14,86,-28,1008,-12,-26,-14
15,147,-15,1007,-10,-13,-12
16,97,-4,1006,-9,11,-4
17,-18,0,997,-15,27,0
18,-143,0,985,-18,25,3
19,-156,-27,989,-18,6,-3
20,-83,-37,989,-18,-17,-9
21,72,-30,1009,-12,-28,-13
22,138,-23,1008,-11,-16,-12
23,113,-7,1011,-11,8,-5
24,3,7,995,-14,26,-1
25,-129,-1,985,-21,28,3
26,-160,-26,992,-18,7,-2
27,-101,-32,978,-18,-15,-7
28,50,-31,1007,-12,-28,-13
29,127,-26,1014,-12,-18,-12
30,128,-7,1010,-9,3,-7
31,26,0,998,-13,23,0
32,-116,0,998,-16,27,4
33,-164,-19,978,-19,12,-1
34,-113,-29,988,-18,-9,-5
35,23,-31,1005,-15,-27,-11
36,119,-32,1006,-10,-21,-14
37,146,-6,1005,-8,-3,-9
38,38,4,1004,-15,22,-2
39,-88,-6,1004,-15,29,1
40,-164,-16,971,-19,15,0
41,-123,-24,984,-19,-9,-5
42,-2,-37,1008,-13,-26,-13
43,108,-30,1008,-11,-22,-13
44,151,-10,1005,-10,-4,-10
45,57,0,1006,-12,18,-3
46,-72,-2,999,-17,28,1
47,-158,-13,974,-20,20,0
48,-139,-25,996,-19,-3,-4
49,-28,-37,995,-15,-23,-12
50,104,-31,1005,-13,-26,-13
51,150,-14,1004,-9,-9,-10
52,76,0,1008,-11,17,-4
53,-41,-5,1002,-15,29,0
54,-159,-4,969,-19,22,2
55,-143,-24,995,-19,1,-4
56,-57,-39,999,-16,-21,-10
57,88,-28,1006,-10,-27,-13
58,152,-18,1006,-10,-12,-12
59,93,-5,1007,-10,11,-4
60,-18,0,996,-16,26,0
61,-147,-3,983,-20,25,3
62,-156,-27,992,-16,4,-4
63,-84,-36,986,-16,-17,-10
64,71,-28,1012,-11,-28,-14
65,146,-17,1012,-9,-16,-12
66,110,-10,1006,-11,7,-5
67,3,5,994,-15,26,-1
68,-130,-4,988,-19,28,2
69,-161,-23,988,-19,8,-2
70,-98,-34,983,-17,-15,-8
71,54,-26,1004,-11,-29,-12
72,132,-24,1013,-11,-18,-13
73,126,-8,1012,-10,4,-7
74,19,4,995,-15,23,-2
75,-112,-5,994,-17,28,2
76,-165,-22,981,-19,13,0
77,-108,-28,986,-18,-11,-7
78,31,-34,1005,-13,-27,-13
79,116,-31,1008,-10,-20,-13
80,145,-2,1004,-9,-1,-9
81,37,0,1007,-15,22,-1
82,-92,-4,998,-17,29,3
83,-166,-17,977,-19,15,0
84,-120,-26,981,-18,-10,-5
85,2,-37,1008,-13,-26,-10
86,111,-29,1008,-12,-22,-12
87,150,-10,1005,-11,-5,-9
88,57,0,1005,-11,19,-2
89,-74,-6,1000,-17,29,2
90,-158,-11,972,-20,18,-1
91,-136,-24,996,-17,-4,-5
92,-25,-39,999,-14,-23,-11
93,104,-26,1004,-12,-24,-14
94,153,-12,1007,-10,-8,-11
95,71,3,1009,-13,15,-3
96,-47,-3,998,-18,29,1
97,-158,-6,973,-19,22,1
98,-145,-25,992,-18,-2,-3
99,-53,-38,998,-16,-22,-11
100,91,-27,1006,-11,-26,-14
101,149,-17,1006,-10,-13,-11
102,91,0,1006,-12,12,-4
103,-27,-2,999,-15,26,-1
104,-148,-1,976,-20,25,2
105,-157,-28,991,-18,4,-2
106,-75,-36,992,-17,-19,-9
107,76,-30,1009,-12,-27,-13
108,144,-17,1013,-9,-14,-12
109,108,-10,1005,-10,7,-4
