sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-9,-20,997,-13,0,-6
1,-8,-18,997,-10,-1,-7
2,-8,-19,997,-15,4,-4
3,-8,-18,999,-15,1,-6
4,-6,-19,996,-15,-1,-7
5,-7,-19,998,-15,2,-4
6,-6,-20,1000,-14,-1,-7
7,-6,-20,1000,-12,0,-6
8,-7,-17,999,-15,-4,-7
9,-7,-19,1000,-17,-3,-8
10,-7,-18,999,-17,1,-7
11,-8,-18,998,-13,1,-7
12,-7,-20,998,-14,1,-6
13,-7,-17,998,-12,0,-5
14,-7,-18,1000,-14,1,-5
15,-6,-18,998,-14,0,-6
16,-8,-19,998,-15,0,-6
17,-6,-18,999,-16,1,-6
18,-7,-18,997,-15,1,-6
19,-7,-19,998,-16,0,-6
20,-8,-20,995,-13,1,-6
21,-7,-19,996,-15,2,-6
22,-6,-20,997,-16,2,-6
23,-9,-20,1000,-15,2,-6
24,-7,-19,997,-13,2,-6
25,-8,-20,998,-13,2,-7
26,-9,-18,998,-13,2,-6
27,-8,-19,997,-14,2,-6
28,-6,-18,997,-14,0,-5
29,-6,-19,998,-13,0,-7
30,-7,-19,997,-15,-1,-7
31,-8,-18,997,-12,1,-6
32,-7,-19,998,-16,2,-4
33,-9,-19,997,-14,2,-6
34,-8,-20,998,-15,0,-6
35,-6,-21,998,-13,0,-7
36,-7,-21,999,-15,1,-6
37,-7,-19,997,-15,-1,-6
38,-8,-19,997,-14,0,-6
39,-7,-19,999,-14,2,-7
40,-7,-19,997,-13,2,-6
41,-6,-20,997,-15,0,-6
42,-5,-19,997,-13,0,-8
43,-8,-18,998,-14,1,-5
44,-7,-20,998,-14,1,-6
45,-8,-21,997,-13,1,-5
46,-8,-19,996,-14,1,-6
47,-7,-20,997,-15,1,-6
48,-10,-20,997,-14,0,-6
49,-8,-20,997,-13,1,-6
50,-8,-17,997,-14,-1,-6
51,-9,-17,998,-14,1,-7
52,-8,-17,996,-12,0,-7
53,-8,-18,999,-16,1,-5
54,-8,-16,997,-12,1,-6
55,-8,-17,997,-13,0,-6
56,-6,-18,997,-17,0,-6
57,-6,-19,996,-13,1,-6
58,-8,-18,997,-15,3,-6
59,-8,-19,997,-12,2,-6
60,-7,-20,998,-12,2,-6
61,-5,-20,998,-15,1,-6
62,-6,-20,999,-13,1,-5
63,-7,-20,999,-12,0,-6
64,-9,-19,998,-15,1,-5
65,-7,-19,997,-14,1,-7
66,-9,-20,998,-14,1,-6
67,-7,-19,999,-14,2,-6
68,-8,-20,997,-13,1,-6
69,-8,-19,998,-15,1,-6
70,-9,-19,997,-14,1,-6
71,-7,-18,997,-15,1,-7
72,-5,-20,998,-14,1,-6
73,-6,-19,998,-14,2,-6
74,-7,-19,999,-15,1,-5
75,-7,-17,998,-14,1,-5
76,-8,-19,999,-13,1,-8
77,-6,-21,997,-15,1,-7
78,-6,-20,997,-15,1,-7
79,-7,-19,999,-14,1,-7
80,-8,-19,998,-14,1,-6
81,-8,-20,997,-13,1,-5
82,-7,-18,998,-14,2,-6
83,-6,-19,997,-13,0,-6
84,-5,-20,997,-13,1,-5
85,-8,-20,997,-16,2,-6
86,-8,-18,997,-13,1,-6
87,-6,-18,998,-13,0,-6
88,-8,-19,996,-14,1,-5
89,-7,-18,996,-13,1,-5
90,-9,-18,997,-14,2,-6
91,-7,-20,998,-14,2,-7
92,-7,-19,998,-14,1,-6
93,-8,-19,998,-14,1,-6
94,-6,-19,998,-14,1,-6
95,-6,-20,995,-13,0,-6
96,-6,-19,999,-14,1,-6
97,-7,-20,1000,-15,0,-6
98,-6,-20,998,-15,2,-6
99,-7,-18,997,-15,1,-6
100,-7,-19,998,-14,1,-7
101,-7,-19,998,-13,2,-5
102,-7,-20,998,-15,0,-6
103,-8,-19,997,-14,2,-5
104,-7,-18,996,-16,0,-7
105,-7,-20,999,-15,1,-6
106,-6,-19,998,-15,2,-5
107,-9,-20,997,-14,1,-6
108,-6,-20,999,-13,2,-6
109,-8,-19,997,-15,2,-5
110,-7,-19,996,-13,1,-6
111,-7,-19,998,-12,1,-6
112,-7,-19,998,-14,1,-7
113,-7,-19,997,-15,1,-6
114,-5,-20,996,-14,1,-6
115,-6,-19,997,-15,1,-6
116,-5,-20,998,-13,1,-5
117,-6,-19,998,-14,0,-6
118,-8,-19,997,-15,1,-5
119,-7,-22,997,-14,0,-6
120,-8,-19,997,-14,0,-7
121,-7,-19,996,-14,1,-6
122,-7,-19,996,-13,1,-6
123,-6,-19,998,-13,1,-6
124,-8,-19,997,-14,1,-7
125,-9,-19,997,-15,1,-6
126,-8,-19,998,-14,1,-7
127,-8,-19,998,-14,1,-6
128,-9,-17,998,-14,2,-6
129,-8,-19,997,-13,0,-6
130,-8,-19,998,-13,1,-5
131,-7,-19,999,-14,0,-5
132,-7,-18,998,-15,0,-6
133,-6,-19,997,-14,1,-6
134,-7,-19,998,-15,2,-7
135,-7,-18,996,-15,1,-6
136,-8,-19,999,-16,1,-6
137,-6,-19,998,-15,1,-6
138,-6,-18,998,-16,2,-7
139,-8,-20,998,-13,1,-6
140,-7,-19,998,-14,1,-6
141,-8,-18,997,-15,0,-6
142,-8,-20,997,-13,1,-6
143,-7,-19,997,-14,0,-6
144,-7,-21,1000,-14,0,-7
145,-8,-18,999,-15,1,-7
146,-7,-18,998,-14,2,-6
147,-8,-18,998,-15,1,-6
148,-7,-17,997,-15,2,-5
149,-7,-19,997,-15,2,-5
150,-7,-18,998,-15,1,-6
151,-8,-19,997,-14,2,-5
152,-8,-19,996,-14,1,-6
153,-8,-18,998,-14,2,-7
154,-7,-18,998,-13,1,-6
155,-10,-19,997,-14,1,-5
156,-8,-19,997,-15,1,-6
157,-7,-18,998,-13,1,-7
158,-7,-20,997,-13,2,-6
159,-7,-18,997,-13,3,-6
160,-9,-20,997,-14,3,-6
161,-5,-22,998,-14,2,-6
162,-6,-20,997,-12,1,-6
163,-8,-18,998,-14,1,-6
164,-8,-18,996,-15,1,-6
165,-7,-18,997,-15,0,-6
166,-7,-19,998,-15,1,-6
167,-8,-20,997,-13,2,-6
168,-7,-19,999,-14,1,-6
169,-7,-18,997,-15,0,-7
170,-8,-17,998,-14,0,-5
171,-8,-18,997,-15,3,-7
172,-8,-18,998,-14,0,-6
173,-7,-18,997,-16,0,-5
174,-6,-18,998,-13,1,-7
175,-8,-19,998,-14,0,-7
176,-6,-21,997,-14,0,-6
177,-6,-17,997,-14,1,-6
178,-7,-20,998,-13,1,-6
179,-8,-17,997,-14,1,-6
180,-4,-19,996,-15,0,-6
181,-8,-20,998,-14,0,-6
182,-8,-20,996,-13,1,-6
183,-6,-18,996,-15,1,-6
184,-9,-19,998,-15,1,-6
185,-8,-19,998,-13,1,-7
186,-10,-21,998,-15,1,-7
187,-7,-20,998,-13,1,-6
188,-7,-19,997,-14,1,-7
189,-6,-19,997,-14,1,-8
190,-6,-19,998,-13,1,-7
191,-6,-18,999,-14,0,-6
192,-8,-19,998,-12,0,-6
193,-7,-19,998,-14,1,-6
194,-8,-20,998,-14,2,-6
195,-8,-19,997,-14,1,-6
196,-6,-19,1000,-13,1,-5
197,-8,-19,997,-16,-1,-5
198,-8,-19,998,-14,0,-6
199,-5,-20,998,-14,1,-7
200,-7,-19,997,-12,1,-7
201,-8,-19,998,-16,1,-6
202,-7,-19,999,-13,1,-7
203,-8,-17,998,-15,2,-6
204,-6,-19,999,-14,1,-6
205,-7,-19,998,-15,1,-6
206,-7,-19,999,-14,1,-5
207,-6,-20,997,-14,2,-5
208,-7,-18,997,-13,2,-6
209,-8,-19,996,-14,1,-6
210,-8,-18,997,-14,0,-7
211,-7,-19,998,-14,1,-6
212,-6,-19,998,-13,1,-6
213,-7,-19,998,-14,0,-6
214,-7,-19,998,-15,1,-5
215,-8,-18,998,-14,2,-6
216,-7,-19,999,-13,2,-6
217,-8,-18,997,-14,2,-6
218,-8,-18,998,-13,2,-6
219,-6,-20,998,-14,2,-6
220,-8,-19,998,-14,1,-6
221,-6,-18,997,-12,1,-6
222,-6,-19,997,-14,2,-7
223,-6,-19,998,-14,1,-5
224,-8,-19,1000,-14,1,-5
225,-7,-18,996,-14,0,-6
226,-5,-20,997,-14,0,-6
227,-8,-18,998,-13,1,-7
228,-7,-19,998,-14,0,-6
229,-7,-18,996,-14,0,-5
230,-6,-20,996,-15,1,-5
231,-7,-19,998,-14,1,-6
232,-6,-18,997,-14,0,-6
233,-8,-19,996,-14,0,-6
234,-7,-18,997,-15,1,-5
235,-8,-19,997,-15,1,-6
236,-7,-18,997,-14,0,-7
237,-7,-19,997,-14,1,-7
238,-9,-19,998,-14,2,-6
239,-6,-19,998,-14,1,-6
240,-6,-20,997,-13,1,-5
241,-8,-20,999,-14,1,-5
242,-9,-20,996,-14,2,-6
243,-8,-18,998,-13,1,-7
244,-8,-19,998,-14,1,-6
245,-8,-19,997,-14,1,-6
246,-7,-21,999,-15,1,-6
247,-7,-20,998,-15,1,-6
248,-7,-21,997,-14,1,-6
249,-6,-21,996,-16,1,-6
250,-6,-18,996,-14,1,-6
251,-8,-18,999,-14,1,-6
252,-6,-19,998,-13,1,-6
253,-8,-20,998,-12,1,-5
254,-9,-21,997,-15,1,-6
255,-7,-19,997,-14,1,-5
