sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-120,-14,994,-22,-9,-5
1,12,-45,1013,-18,-26,-12
2,115,-50,1000,-16,-18,-12
3,145,-29,1011,-9,3,-7
4,45,-7,1006,-13,23,-1
5,-77,2,1005,-19,14,-4
6,-162,10,968,-18,11,-1
7,-128,-7,1001,-21,-10,-7
8,-11,-44,1003,-19,-26,-10
9,107,-45,1001,-14,-22,-11
10,150,-40,1006,-12,-4,-10
11,56,-8,1013,-10,22,-2
12,-56,5,999,-14,27,0
13,-161,12,976,-18,16,0
14,-135,-7,990,-20,-7,-6
15,-33,-39,999,-22,-24,-13
16,99,-46,1009,-16,-23,-11
17,148,-41,1001,-11,-7,-9
18,75,-18,1009,-10,18,-3
19,-44,12,1004,-11,27,-1
20,-154,16,981,-18,19,1
21,-142,-9,992,-19,-4,-5
22,-56,-37,989,-20,-23,-9
23,93,-42,1008,-18,-25,-12
24,150,-50,1010,-13,-9,-10
25,93,-21,998,-9,14,-3
26,-31,2,1001,-12,27,0
27,-143,21,995,-16,19,1
28,-149,-7,993,-21,-1,-3
29,-72,-26,982,-21,-21,-9
30,82,-43,1014,-16,-26,-12
31,138,-52,1011,-14,-10,-10
32,106,-29,1004,-10,14,-4
33,-12,1,996,-10,27,-2
34,-139,17,986,-16,23,3
35,-153,0,998,-19,0,-3
36,-85,-26,990,-21,-19,-8
37,67,-41,1004,-18,-27,-12
38,130,-51,1016,-14,-13,-12
39,121,-25,1002,-11,9,-4
40,5,-1,995,-12,26,-1
41,-126,14,990,-15,25,3
42,-165,0,991,-19,5,-3
43,-94,-18,990,-20,-17,-9
44,47,-43,1012,-17,-28,-12
45,125,-50,1005,-15,-15,-12
46,130,-27,1007,-11,5,-7
47,19,0,1000,-13,27,-2
48,-113,7,998,-14,26,1
49,-165,5,977,-18,8,-3
50,-107,-13,992,-21,-15,-7
51,30,-47,1010,-19,-29,-13
52,118,-50,1010,-14,-17,-12
53,140,-25,1007,-11,4,-6
54,34,-7,1000,-12,25,-3
55,-96,5,1002,-13,25,1
56,-165,8,968,-19,10,-1
57,-118,-12,998,-21,-10,-7
58,11,-47,1008,-19,-26,-11
59,112,-45,1001,-14,-20,-12
60,149,-33,1009,-10,-1,-7
61,44,-7,1005,-11,22,-1
62,-75,4,1002,-13,27,1
63,-164,10,971,-17,14,-1
64,-126,-10,998,-21,-9,-6
65,-9,-42,1002,-19,-27,-11
66,107,-48,999,-15,-23,-12
67,151,-37,1006,-11,-4,-10
68,59,-13,1016,-10,21,-2
69,-63,7,1002,-13,27,1
70,-157,11,974,-18,17,-1
71,-136,-9,993,-19,-7,-4
72,-32,-40,999,-18,-24,-10
73,105,-45,1008,-16,-24,-13
74,149,-43,1006,-12,-6,-10
75,73,-15,1003,-11,18,-3
76,-49,5,1009,-13,27,-1
77,-149,19,981,-17,19,1
78,-144,-9,991,-21,-3,-5
79,-50,-34,995,-21,-24,-10
80,93,-43,1011,-16,-26,-12
81,147,-47,1004,-14,-9,-11
82,85,-22,1005,-10,14,-3
83,-31,7,1001,-11,27,0
84,-145,16,989,-19,22,2
85,-148,-5,996,-20,-1,-4
86,-71,-34,982,-21,-22,-9
87,83,-38,1010,-18,-28,-11
88,143,-51,1011,-15,-11,-10
89,102,-28,1007,-11,12,-5
90,-10,1,989,-12,27,0
91,-142,18,992,-15,22,2
92,-155,-6,998,-21,0,-3
93,-81,-22,986,-22,-20,-8
94,69,-41,1007,-18,-28,-12
95,130,-51,1014,-15,-12,-12
96,121,-28,1004,-10,8,-5
97,3,1,990,-11,26,0
98,-127,15,992,-16,25,2
99,-160,2,992,-21,4,-3
100,-93,-18,988,-22,-19,-8
101,51,-43,1007,-20,-27,-13
102,125,-52,1010,-13,-14,-12
103,131,-30,1002,-10,7,-5
104,19,0,1001,-10,26,-1
105,-112,9,1002,-16,26,2
106,-166,3,974,-19,7,-3
107,-102,-14,994,-20,-15,-8
108,35,-43,1012,-18,-29,-12
109,119,-49,1004,-14,-18,-11
110,143,-30,1011,-11,4,-6
111,31,-6,1002,-12,25,-1
112,-98,9,995,-15,26,2
113,-171,6,974,-22,10,-1
114,-113,-12,991,-22,-13,-8
115,15,-48,1011,-20,-27,-12
116,116,-47,1003,-15,-18,-13
117,148,-31,1011,-11,2,-8
118,38,-6,1006,-12,24,0
119,-86,7,1000,-14,27,1
120,-161,9,971,-21,13,-2
121,-127,-11,998,-23,-11,-5
122,-4,-46,1003,-21,-27,-11
123,111,-51,1003,-15,-21,-12
124,146,-34,1002,-11,-3,-8
125,56,-10,1015,-12,21,-3
126,-62,6,1002,-16,27,-1
127,-167,15,970,-19,16,0
128,-132,-9,996,-21,-7,-6
129,-28,-44,1001,-21,-26,-11
130,103,-44,1001,-16,-23,-13
131,149,-46,1009,-13,-5,-10
132,69,-11,1008,-7,19,-2
133,-47,7,1006,-12,27,1
134,-157,14,976,-21,18,0
135,-140,-9,994,-21,-4,-7
136,-49,-40,993,-21,-22,-10
137,95,-42,1014,-15,-23,-11
138,152,-48,1004,-12,-7,-10
139,83,-21,1002,-10,16,-3
140,-30,5,1001,-14,26,-2
141,-150,18,992,-19,21,1
142,-146,-7,991,-21,-2,-4
143,-69,-34,990,-22,-23,-9
144,88,-43,1007,-17,-26,-11
145,144,-51,1012,-13,-10,-11
146,103,-23,1002,-11,14,-4
147,-20,7,996,-13,28,0
148,-143,18,990,-17,23,3
149,-152,-8,996,-22,-1,-4
150,-82,-27,983,-22,-20,-9
151,75,-43,1008,-19,-27,-12
152,135,-54,1013,-15,-11,-11
153,120,-24,1001,-12,11,-3
154,-1,3,995,-12,26,0
155,-135,14,992,-16,25,2
156,-157,-1,992,-21,3,-4
157,-95,-21,989,-21,-18,-8
158,58,-44,1009,-18,-28,-13
159,127,-55,1008,-13,-14,-12
160,128,-27,1002,-10,7,-5
161,14,-3,998,-13,25,-2
162,-118,8,996,-16,26,1
163,-164,4,981,-19,7,-2
164,-106,-13,990,-21,-15,-7
165,39,-46,1012,-20,-28,-12
166,120,-54,1007,-15,-17,-12
167,142,-25,1006,-10,4,-7
