sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,79,-27,1010,-9,-28,-14
1,136,-20,1010,-8,-12,-11
2,93,-10,1000,-10,11,-4
3,-14,-1,998,-16,26,-1
4,-130,-3,985,-18,26,3
5,-146,-25,991,-23,6,-4
6,-78,-31,981,-20,-14,-9
7,62,-23,1005,-13,-23,-13
8,125,-24,1013,-10,-14,-12
9,107,-7,1007,-13,11,-5
10,4,0,996,-17,26,-2
11,-118,-5,988,-20,23,1
12,-148,-24,985,-14,8,-3
13,-93,-25,989,-19,-12,-7
14,41,-31,1003,-11,-24,-12
15,113,-26,1007,-9,-17,-12
16,122,-5,1003,-12,1,-7
17,19,0,1003,-12,23,-3
18,-102,-9,1001,-19,26,2
19,-151,-18,976,-18,12,-2
20,-108,-23,989,-16,-10,-7
21,22,-31,1006,-14,-25,-12
22,109,-26,1011,-11,-17,-13
23,131,-4,999,-13,0,-9
24,34,-1,1007,-15,21,-3
25,-82,-7,998,-15,25,2
26,-151,-17,973,-19,14,0
27,-112,-24,999,-17,-6,-6
28,-6,-39,1001,-15,-25,-14
29,106,-27,1004,-11,-24,-14
30,135,-10,1005,-9,-5,-10
31,48,-1,1003,-13,17,-5
32,-60,-10,1000,-16,26,0
33,-149,-10,973,-18,19,1
34,-125,-25,1001,-17,-5,-5
35,-28,-37,998,-16,-22,-12
36,89,-26,1003,-12,-22,-13
37,141,-15,1005,-10,-9,-11
38,67,-7,1007,-12,16,-4
39,-41,-4,994,-16,26,0
40,-145,-5,976,-17,20,1
41,-135,-25,996,-18,-1,-5
42,-54,-35,993,-16,-20,-10
43,81,-25,1009,-12,-25,-14
44,137,-16,1008,-11,-10,-11
45,88,-12,1000,-9,12,-5
46,-18,0,997,-14,25,-1
47,-131,-2,986,-20,23,2
48,-140,-23,993,-19,5,-4
49,-77,-36,982,-17,-16,-9
50,65,-23,1007,-11,-26,-12
51,131,-26,1011,-11,-15,-12
52,102,-9,1012,-12,8,-7
53,1,2,993,-14,25,-3
54,-124,-7,989,-18,25,1
55,-147,-24,990,-19,5,-3
56,-89,-29,988,-17,-14,-8
57,47,-26,1006,-14,-26,-13
58,120,-27,1007,-12,-15,-12
59,118,-2,1006,-10,2,-8
60,18,1,999,-14,21,-2
61,-106,-10,1001,-19,25,1
62,-150,-22,976,-19,10,-4
63,-99,-26,989,-16,-10,-7
64,27,-31,1006,-14,-25,-11
65,107,-27,1006,-12,-18,-12
66,129,-5,1003,-11,0,-7
67,31,-1,1004,-17,20,-2
68,-85,-10,998,-18,26,1
69,-150,-17,976,-19,14,0
70,-109,-26,990,-17,-7,-7
71,0,-33,1007,-16,-23,-11
72,105,-27,1006,-13,-20,-12
73,136,-9,1003,-12,-4,-10
74,45,0,1004,-12,19,-2
75,-68,-9,997,-17,25,2
76,-150,-11,975,-21,15,-1
77,-124,-25,1001,-19,-5,-5
78,-22,-33,996,-16,-23,-12
79,96,-26,1007,-14,-23,-12
80,142,-14,1003,-12,-8,-11
81,65,-5,1009,-16,15,-3
82,-45,-4,996,-16,26,0
83,-149,-8,977,-19,19,1
84,-130,-24,991,-18,-3,-4
85,-49,-36,1000,-15,-20,-10
86,89,-22,1004,-14,-25,-14
87,134,-19,1008,-11,-9,-11
88,86,-8,1001,-13,12,-4
89,-30,-6,998,-17,25,0
90,-135,0,983,-19,22,1
91,-140,-29,993,-19,3,-3
92,-68,-31,986,-17,-16,-9
93,70,-26,1008,-12,-26,-13
94,133,-21,1010,-9,-14,-11
95,99,-14,1007,-13,8,-5
96,-7,2,993,-15,26,-2
97,-127,0,987,-19,24,2
98,-143,-26,993,-18,5,-4
99,-88,-30,983,-17,-14,-8
100,59,-27,1009,-14,-26,-14
101,117,-29,1010,-13,-14,-11
102,114,-9,1008,-13,4,-5
103,13,-2,996,-15,22,-2
104,-113,-4,997,-17,25,2
105,-150,-21,982,-18,9,-1
106,-98,-24,991,-16,-11,-7
107,35,-33,1005,-15,-25,-11
108,110,-31,1007,-11,-17,-11
109,128,-6,999,-10,1,-8
110,28,-3,1006,-14,20,-1
111,-95,-8,999,-16,25,2
112,-153,-15,977,-17,12,-2
113,-111,-22,989,-16,-10,-6
114,6,-33,1006,-12,-25,-11
115,111,-28,1007,-12,-20,-12
116,134,-8,1002,-11,-2,-9
117,41,-1,998,-13,20,-3
118,-80,-12,1000,-16,27,2
119,-155,-12,971,-18,16,1
120,-122,-22,1000,-16,-5,-5
121,-12,-33,1002,-13,-22,-10
122,102,-23,1001,-12,-22,-11
123,139,-11,1005,-11,-7,-10
124,57,-4,1006,-14,17,-3
125,-51,-11,993,-16,26,-1
126,-150,-8,975,-18,18,0
127,-128,-24,998,-16,-3,-5
128,-38,-34,996,-15,-20,-10
129,90,-20,1008,-11,-23,-12
130,138,-16,1006,-12,-10,-10
131,74,-9,1004,-12,13,-5
132,-32,-8,995,-14,25,-2
133,-140,-4,984,-18,21,2
134,-129,-27,990,-17,1,-3
135,-65,-32,993,-15,-17,-8
136,77,-21,1006,-12,-25,-12
137,132,-21,1011,-10,-12,-11
138,95,-8,1001,-11,9,-4
139,-15,-1,993,-16,24,-1
140,-126,-8,986,-19,24,2
141,-144,-26,990,-19,5,-3
142,-79,-29,984,-18,-16,-7
143,59,-25,1006,-12,-25,-13
144,123,-22,1012,-11,-13,-12
145,106,-7,1008,-13,6,-5
146,6,1,997,-15,22,-2
147,-113,-10,990,-17,24,3
148,-147,-23,987,-18,8,-2
149,-90,-25,989,-17,-12,-7
150,40,-27,1006,-14,-26,-13
151,112,-27,1005,-10,-17,-12
152,122,-5,1003,-9,2,-7
153,23,-2,1003,-13,21,-1
154,-100,-7,999,-17,24,2
155,-150,-20,977,-18,11,-1
156,-104,-25,989,-17,-10,-6
157,15,-34,1006,-14,-25,-13
158,110,-25,1011,-11,-20,-13
159,132,-6,1000,-12,-1,-8
160,36,-2,1002,-14,20,-2
161,-80,-12,1001,-16,26,1
162,-153,-14,973,-19,14,0
163,-116,-20,997,-17,-7,-6
164,-9,-37,1001,-14,-22,-11
165,105,-25,1005,-11,-22,-12
166,138,-12,1004,-10,-5,-9
167,52,-5,1007,-13,17,-4
168,-58,-9,993,-17,26,-1
169,-153,-6,975,-19,19,1
170,-125,-25,997,-16,-5,-5
171,-33,-33,1000,-15,-22,-10
172,96,-26,1003,-12,-25,-12
173,139,-15,1009,-11,-8,-11
174,70,-9,1005,-11,15,-5
175,-38,-3,997,-14,24,-1
176,-143,-8,976,-19,20,1
177,-135,-22,996,-17,0,-4
178,-56,-34,995,-15,-18,-10
179,80,-21,1006,-12,-24,-13
180,134,-18,1011,-10,-11,-11
181,85,-10,999,-12,10,-4
182,-17,-3,995,-15,24,-2
183,-131,-4,990,-19,23,2
184,-140,-26,991,-19,4,-3
185,-70,-29,985,-16,-17,-10
186,63,-24,1004,-12,-26,-13
187,125,-22,1012,-12,-14,-12
188,103,-11,1009,-12,7,-7
189,0,0,993,-14,24,-2
190,-119,-9,989,-16,24,2
191,-151,-26,993,-17,6,-3
192,-91,-26,987,-17,-14,-8
193,47,-24,1006,-12,-27,-12
194,119,-25,1009,-13,-17,-11
195,119,-4,1001,-10,2,-7
196,15,-4,1001,-15,22,-2
197,-103,-8,999,-17,25,1
198,-152,-21,976,-19,9,-3
199,-101,-23,986,-18,-11,-7
200,23,-31,1012,-12,-24,-12
201,108,-25,1005,-12,-19,-13
202,134,-6,1003,-11,-1,-9
203,35,0,1003,-13,20,-4
204,-84,-9,997,-16,24,0
205,-150,-17,978,-17,12,-2
206,-114,-20,995,-16,-6,-8
207,0,-32,1001,-14,-23,-11
208,107,-23,1006,-12,-21,-13
209,137,-8,1003,-11,-4,-9
210,47,-4,1004,-14,17,-3
211,-65,-12,996,-17,26,-1
212,-149,-11,979,-19,18,0
213,-123,-24,998,-16,-4,-5
214,-27,-34,1003,-15,-21,-11
215,100,-25,1001,-11,-23,-13
216,136,-12,1006,-12,-9,-10
217,68,-6,1006,-14,15,-5
218,-41,-8,995,-18,26,-1
219,-143,-9,973,-19,19,1
220,-133,-26,998,-17,-1,-5
221,-47,-35,993,-15,-20,-10
222,85,-20,1011,-11,-24,-13
223,136,-13,1006,-13,-10,-11
224,82,-11,1000,-12,11,-5
225,-23,-1,996,-15,24,-1
226,-135,-9,985,-18,22,1
227,-139,-26,993,-17,3,-5
228,-71,-32,986,-15,-17,-9
229,71,-20,1007,-11,-26,-13
230,128,-24,1013,-13,-14,-12
231,100,-9,1007,-11,9,-6
232,-6,0,994,-15,25,-2
233,-123,-9,985,-18,24,1
234,-147,-29,994,-19,6,-3
235,-84,-25,984,-16,-14,-8
236,51,-27,1007,-13,-25,-13
237,119,-25,1009,-11,-16,-11
238,111,-5,1005,-11,4,-6
239,16,-2,1002,-15,21,-3
240,-108,-8,995,-18,24,2
241,-148,-22,983,-18,10,-2
242,-95,-24,986,-15,-11,-7
243,28,-30,1010,-14,-24,-11
244,109,-28,1002,-11,-18,-11
245,126,-7,1004,-10,1,-8
246,30,-4,1004,-14,21,-4
247,-91,-8,998,-16,25,0
248,-149,-15,978,-19,12,0
249,-107,-22,989,-17,-8,-6
250,1,-36,1003,-15,-22,-11
251,108,-25,1008,-13,-19,-13
252,135,-10,1002,-10,-3,-10
253,43,-2,1002,-12,18,-4
254,-66,-9,997,-16,26,1
255,-149,-10,979,-19,16,-1
256,-123,-23,998,-18,-5,-5
257,-21,-32,1002,-15,-22,-11
258,100,-24,999,-11,-22,-12
259,138,-12,1009,-9,-5,-11
260,62,-5,1004,-12,16,-4
261,-47,-7,997,-15,25,0
262,-146,-9,973,-19,19,0
263,-132,-23,1000,-16,-2,-5
264,-44,-33,994,-16,-20,-10
265,88,-20,1011,-12,-23,-12
266,141,-16,1003,-10,-10,-11
267,80,-12,1001,-12,13,-4
268,-25,-2,996,-15,25,-2
269,-140,-9,985,-19,22,2
270,-137,-25,992,-17,3,-4
271,-64,-34,991,-16,-16,-10
272,77,-18,1009,-13,-25,-12
273,128,-20,1010,-11,-12,-12
274,95,-9,1007,-12,9,-5
275,-10,-2,994,-15,23,0
276,-123,-10,984,-17,23,2
277,-147,-29,995,-19,5,-3
278,-79,-29,983,-16,-16,-8
