sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,480,-38,1097,7,-25,4
1,201,60,1004,12,39,3
2,-253,70,900,-23,60,18
3,-502,19,826,-24,22,12
4,-257,-97,964,-8,-46,-6
5,262,-125,1130,-4,-75,2
6,488,-53,1093,17,-34,4
7,266,48,1025,7,33,2
8,-197,68,913,-7,63,17
9,-494,7,824,-27,30,17
10,-315,-82,938,-16,-33,-2
11,193,-142,1113,-6,-76,0
12,486,-60,1102,20,-43,6
13,317,49,1027,14,25,2
14,-136,78,918,-7,62,14
15,-470,43,844,-20,37,17
16,-367,-85,916,-31,-26,-1
17,122,-149,1106,-2,-74,-1
18,477,-74,1116,9,-51,7
19,354,17,1025,17,15,2
20,-77,86,933,0,60,10
21,-443,38,852,-22,42,17
22,-407,-66,893,-23,-17,2
23,68,-136,1111,-4,-73,-3
24,447,-90,1121,10,-55,6
25,390,24,1039,22,7,1
26,-16,80,946,0,59,8
27,-413,60,849,-17,47,17
28,-439,-52,880,-25,-8,3
29,-11,-137,1079,-12,-70,-5
30,422,-101,1139,14,-62,3
31,432,-2,1061,15,-3,1
32,42,81,950,8,53,9
33,-373,72,853,-17,52,19
34,-460,-34,858,-28,1,5
35,-91,-119,1050,-9,-61,-5
36,385,-110,1142,6,-67,3
37,464,-17,1071,16,-14,2
38,101,70,980,9,49,6
39,-319,75,863,-20,56,20
40,-477,-16,835,-25,9,8
41,-162,-117,1018,-17,-53,-6
42,351,-116,1146,4,-70,3
43,471,-24,1088,17,-21,3
44,160,66,994,4,43,3
45,-271,75,885,-15,57,19
46,-491,-2,840,-29,17,9
47,-212,-109,983,-21,-47,-5
48,297,-134,1129,1,-73,3
49,474,-39,1096,14,-26,3
50,214,54,1011,11,37,2
51,-232,74,906,-9,58,17
52,-497,12,837,-28,25,12
53,-248,-104,962,-18,-40,-3
54,242,-134,1119,0,-73,2
55,479,-58,1080,17,-32,3
56,270,46,1027,13,31,2
57,-203,73,910,-8,61,15
58,-483,26,853,-20,28,14
59,-307,-85,944,-22,-34,-2
60,189,-149,1093,-3,-75,-2
61,491,-65,1106,22,-41,4
62,315,40,1020,15,26,2
63,-137,77,919,2,59,14
64,-470,46,861,-20,36,16
65,-368,-64,922,-26,-27,0
66,120,-137,1098,-7,-74,-2
67,472,-75,1116,9,-49,3
68,367,22,1026,14,14,2
69,-63,81,937,2,59,13
70,-444,58,852,-24,44,19
71,-413,-59,897,-26,-16,2
72,51,-139,1098,-11,-70,-3
73,444,-88,1131,8,-56,7
74,404,17,1038,16,5,0
75,-6,92,939,-2,56,10
76,-413,61,851,-20,48,21
77,-434,-50,893,-32,-9,4
78,-22,-144,1065,-15,-64,-4
79,418,-110,1137,8,-61,6
80,434,0,1060,15,-3,2
81,33,85,945,3,54,10
82,-377,69,853,-22,51,18
83,-448,-29,872,-28,-3,6
84,-83,-136,1038,-14,-60,-4
85,399,-119,1135,4,-65,3
86,447,-22,1077,16,-10,2
87,91,63,978,6,49,7
88,-333,86,871,-14,53,19
89,-470,-30,841,-26,7,8
90,-135,-132,1004,-15,-54,-4
91,357,-119,1137,8,-67,3
92,460,-37,1094,20,-17,1
93,136,76,991,11,45,4
94,-290,88,887,-12,53,17
95,-481,4,851,-28,13,10
96,-186,-115,980,-20,-48,-6
97,309,-142,1125,3,-71,1
98,468,-47,1090,16,-24,2
99,203,55,998,15,39,4
100,-243,84,914,-8,57,17
101,-489,19,842,-26,19,11
102,-244,-102,966,-19,-42,-6
103,248,-137,1115,-2,-72,0
104,475,-50,1080,19,-32,3
105,264,46,1007,13,31,1
106,-189,90,921,-7,57,16
107,-472,28,864,-24,28,16
108,-302,-83,951,-26,-33,-1
109,184,-151,1084,-5,-70,-1
110,474,-66,1100,16,-39,3
111,301,41,1013,13,23,0
112,-129,92,926,1,57,15
113,-458,55,866,-26,34,17
114,-339,-78,935,-28,-26,0
115,134,-156,1089,-7,-69,0
116,464,-87,1104,10,-43,5
117,338,20,1027,18,18,3
118,-85,88,933,2,56,12
119,-445,64,864,-18,39,18
120,-386,-61,910,-26,-19,3
121,77,-146,1086,-11,-68,-2
122,453,-95,1126,9,-50,3
123,380,7,1044,15,10,2
124,-40,81,937,1,57,9
125,-413,71,862,-15,43,19
126,-422,-42,881,-32,-10,4
127,5,-150,1057,-12,-65,-4
128,432,-110,1141,9,-58,3
129,423,0,1061,17,1,1
130,14,73,952,5,54,8
131,-379,77,858,-14,49,16
132,-441,-30,857,-26,-1,6
133,-69,-152,1033,-12,-58,-2
134,396,-117,1138,9,-62,1
135,453,-30,1075,23,-8,2
136,72,82,986,13,51,7
137,-335,83,869,-12,52,16
138,-465,-5,845,-24,5,10
139,-137,-118,1004,-19,-54,0
140,360,-117,1140,6,-66,2
141,460,-39,1089,18,-15,1
142,143,64,999,13,45,6
143,-292,80,894,-8,56,17
144,-486,1,836,-26,15,12
145,-200,-99,977,-17,-47,0
146,300,-126,1128,5,-71,0
147,479,-52,1096,11,-25,2
148,205,48,1003,15,38,3
149,-232,77,912,-8,55,16
150,-490,17,834,-22,24,16
151,-264,-95,957,-19,-39,-2
152,236,-125,1120,-1,-73,0
153,478,-58,1087,16,-35,3
154,278,43,1013,13,30,3
155,-173,81,920,-6,58,16
156,-478,20,844,-22,32,14
157,-322,-84,944,-25,-32,-1
158,160,-131,1097,1,-72,0
159,484,-75,1103,10,-43,4
160,328,39,1020,16,22,2
161,-108,95,929,0,58,15
162,-454,36,859,-26,38,17
163,-379,-71,921,-22,-21,2
164,96,-134,1096,-8,-71,-1
165,464,-92,1115,9,-50,5
166,374,22,1036,18,13,4
167,-42,88,942,-2,58,13
168,-433,55,854,-23,44,19
169,-425,-55,889,-29,-12,3
170,21,-136,1086,-13,-69,-2
171,439,-98,1140,7,-57,6
172,415,17,1054,12,4,4
173,3,82,937,-5,56,10
174,-390,57,858,-20,49,19
175,-449,-31,864,-33,-2,6
176,-50,-157,1050,-18,-63,-4
177,411,-120,1150,11,-63,4
178,446,-1,1067,15,-6,4
179,51,75,962,6,53,8
180,-352,74,862,-19,51,18
181,-464,-24,840,-29,4,7
182,-116,-144,1033,-16,-57,-4
183,385,-130,1144,4,-68,3
184,456,-13,1080,22,-14,2
185,113,67,985,6,47,4
186,-315,83,881,-12,55,17
187,-485,-8,833,-26,10,8
188,-166,-130,996,-19,-53,-4
189,338,-130,1137,9,-70,0
190,477,-33,1096,21,-23,1
191,174,56,998,12,42,6
192,-266,86,898,-6,57,17
193,-489,17,840,-27,18,10
194,-230,-115,966,-18,-44,-5
195,280,-132,1130,2,-72,-1
196,478,-49,1092,14,-31,2
197,239,46,1006,16,34,3
198,-213,97,920,-5,58,17
199,-490,17,838,-27,26,15
200,-282,-103,954,-22,-37,-4
201,215,-138,1116,2,-73,-1
