sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-7,-22,997,-15,-1,-6
1,-6,-20,998,-14,0,-6
2,-5,-22,997,-9,-1,-6
3,-8,-20,999,-9,3,-6
4,-7,-20,997,-15,-5,-7
5,-7,-21,1000,-14,-1,-6
6,-6,-20,999,-13,1,-7
7,-7,-20,999,-16,0,-6
8,-7,-22,1000,-13,0,-6
9,-5,-21,998,-16,0,-6
10,-4,-20,999,-12,1,-6
11,-6,-20,999,-15,1,-6
12,-7,-20,997,-16,0,-5
13,-8,-22,998,-13,1,-5
14,-6,-21,1000,-14,0,-5
15,-7,-20,998,-13,1,-6
16,-6,-21,997,-14,1,-6
17,-6,-22,998,-16,1,-6
18,-5,-21,998,-13,1,-7
19,-6,-20,998,-14,2,-6
20,-6,-21,998,-15,0,-6
21,-6,-20,997,-14,1,-6
22,-5,-20,997,-15,1,-4
23,-6,-20,997,-15,2,-6
24,-7,-20,998,-15,1,-6
25,-8,-21,997,-13,0,-5
26,-8,-20,998,-13,1,-7
27,-8,-23,997,-15,2,-6
28,-5,-21,997,-13,1,-6
29,-7,-21,998,-15,1,-6
30,-7,-20,998,-15,1,-6
31,-7,-20,997,-14,0,-6
32,-5,-23,997,-15,0,-7
33,-5,-20,997,-15,0,-6
34,-7,-21,998,-14,1,-6
35,-8,-21,998,-13,0,-7
36,-7,-21,998,-14,2,-5
37,-6,-22,998,-13,1,-6
38,-6,-21,999,-14,1,-6
39,-7,-19,999,-13,0,-6
40,-8,-21,998,-15,1,-6
41,-8,-20,997,-15,0,-7
42,-7,-22,997,-14,0,-7
43,-8,-20,998,-13,0,-5
44,-6,-23,998,-13,0,-6
45,-7,-21,997,-14,0,-7
46,-8,-20,998,-13,1,-6
47,-8,-20,998,-13,1,-5
48,-7,-20,997,-14,1,-7
49,-5,-21,997,-14,1,-6
50,-7,-20,998,-13,1,-5
51,-5,-23,998,-13,2,-7
52,-6,-20,997,-14,1,-7
53,-6,-20,997,-13,0,-6
54,-5,-22,998,-13,-1,-6
55,-6,-22,998,-15,0,-6
56,-6,-21,998,-15,2,-5
57,-5,-21,998,-14,2,-6
58,-6,-22,997,-14,2,-7
59,-6,-20,998,-14,1,-6
60,-8,-21,998,-13,1,-6
61,-7,-20,998,-14,1,-5
62,-5,-20,997,-14,0,-6
63,-7,-19,998,-14,1,-7
64,-9,-21,997,-14,2,-5
65,-6,-22,997,-15,2,-6
66,-7,-21,998,-14,0,-7
67,-7,-19,998,-15,1,-6
68,-5,-22,997,-14,1,-6
69,-7,-20,998,-15,0,-6
70,-6,-20,998,-14,1,-6
71,-7,-20,998,-14,0,-6
72,-6,-20,997,-14,0,-4
73,-7,-22,999,-14,1,-5
74,-5,-20,999,-12,0,-7
75,-6,-22,997,-13,1,-7
76,-7,-21,998,-14,1,-7
77,-8,-19,998,-13,0,-7
78,-6,-20,998,-13,-1,-6
79,-6,-22,997,-14,1,-6
80,-7,-20,997,-13,1,-6
81,-7,-22,998,-13,1,-7
82,-6,-22,997,-14,0,-7
83,-6,-21,997,-14,1,-8
84,-6,-19,998,-13,1,-6
85,-5,-22,998,-15,1,-6
86,-6,-20,997,-14,1,-6
87,-9,-20,998,-15,0,-6
88,-9,-20,997,-13,0,-6
89,-8,-20,997,-13,0,-7
90,-7,-20,997,-14,0,-7
91,-7,-21,997,-14,0,-7
92,-6,-21,998,-14,0,-6
93,-8,-20,998,-14,0,-7
94,-7,-21,996,-14,0,-6
95,-7,-22,998,-12,2,-5
96,-7,-21,998,-14,1,-6
97,-7,-19,996,-15,0,-6
98,-7,-22,997,-15,0,-6
99,-6,-22,997,-14,1,-6
100,-6,-19,999,-13,1,-6
101,-9,-20,998,-13,0,-7
102,-6,-21,997,-13,1,-7
103,-6,-19,999,-13,0,-6
