sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-145,-5,985,-20,14,-1
1,-111,-32,988,-27,-4,-4
2,10,-52,998,-15,-22,-11
3,94,-55,1005,-10,-19,-13
4,133,-17,1003,-9,-10,-11
5,45,12,1005,-7,14,-4
6,-69,21,1007,-8,23,0
7,-150,1,979,-20,17,0
8,-119,-19,984,-23,0,-4
9,-12,-53,1002,-19,-19,-11
10,92,-54,1007,-9,-21,-13
11,138,-23,1000,-8,-9,-11
12,56,11,1006,-5,12,-4
13,-51,18,1004,-12,21,0
14,-141,8,979,-20,19,0
15,-129,-16,998,-21,3,-4
16,-38,-52,995,-19,-15,-8
17,87,-49,1001,-12,-22,-13
18,138,-34,1003,-7,-12,-10
19,75,5,1012,-6,9,-5
20,-33,14,1002,-12,23,0
21,-141,16,977,-18,21,1
22,-136,-18,998,-21,4,-2
23,-60,-46,992,-21,-15,-8
24,75,-55,1002,-14,-23,-11
25,138,-35,1005,-8,-13,-12
26,91,-5,1006,-6,7,-6
27,-16,18,999,-10,20,-1
28,-130,21,985,-19,22,2
29,-142,-11,992,-22,6,-2
30,-79,-43,989,-22,-11,-7
31,60,-51,1005,-15,-23,-11
32,128,-38,1007,-9,-16,-11
33,101,-14,1006,-7,3,-6
34,7,16,996,-11,20,-2
35,-118,23,998,-16,26,3
36,-149,-8,991,-22,9,-1
37,-100,-34,982,-23,-10,-7
38,44,-51,1000,-15,-23,-11
39,116,-43,1012,-10,-18,-12
40,118,-17,1009,-5,-1,-8
41,24,16,999,-8,19,-3
42,-101,21,999,-15,24,3
43,-153,-2,983,-21,13,0
44,-109,-31,991,-24,-5,-6
45,22,-51,998,-18,-22,-12
46,108,-52,1007,-10,-20,-13
47,130,-16,1002,-5,-5,-8
48,37,15,1007,-9,15,-2
49,-85,18,1004,-14,24,2
50,-155,0,979,-21,16,1
51,-117,-23,984,-23,-3,-5
52,-3,-52,1003,-19,-21,-11
53,101,-51,1004,-10,-22,-13
54,139,-19,1003,-6,-8,-9
55,52,9,1003,-8,12,-3
56,-65,18,1007,-13,22,1
57,-146,2,974,-22,18,2
58,-127,-21,994,-23,0,-2
59,-21,-49,997,-19,-18,-9
60,91,-55,1005,-11,-20,-12
61,138,-20,1001,-5,-12,-10
62,62,4,1005,-8,10,-4
63,-41,19,1004,-15,22,-1
64,-143,9,973,-22,21,2
65,-131,-13,996,-23,3,-3
66,-49,-55,997,-21,-16,-9
67,78,-50,999,-13,-22,-13
68,134,-32,1006,-8,-13,-10
69,82,-1,1009,-6,8,-6
70,-21,20,999,-12,21,-2
71,-132,21,982,-18,23,1
72,-140,-14,994,-23,6,-3
73,-72,-49,990,-21,-12,-9
74,63,-51,1007,-12,-23,-13
75,167,92,527,8,-23,-7
76,675,498,1175,14,36,8
77,-204,85,1399,-149,73,10
78,-242,-69,587,-176,59,64
79,-351,-604,577,-123,50,8
80,-542,-488,868,31,-33,61
81,212,-408,1105,95,-90,-31
82,61,-164,1172,142,-20,-52
83,240,411,850,122,-36,8
84,374,572,1317,60,7,-18
85,-158,412,915,-51,60,13
86,-236,93,929,-113,29,33
87,-202,-251,1102,-104,1,-22
88,-125,-424,868,-63,-23,-14
89,144,-315,917,9,-46,-16
90,178,-112,1137,54,-23,-21
91,109,125,944,49,5,-2
92,-41,238,1036,21,30,9
93,-196,187,1031,-20,23,4
94,-145,29,952,-49,-3,-4
95,-23,-137,1000,-44,-26,-15
96,67,-193,999,-20,-36,-15
97,167,-141,980,7,-24,-18
98,54,-35,1011,24,5,-6
99,-54,87,1010,19,17,2
100,-116,102,995,-2,19,-4
101,-123,70,993,-20,3,-1
102,-19,-2,1003,-32,-19,-9
103,83,-81,1010,-29,-26,-17
104,109,-88,982,-18,-18,-9
105,52,-50,1003,-6,2,-7
106,-30,-11,1005,-5,15,-5
107,-110,26,977,-9,18,1
108,-101,35,1009,-16,6,-4
109,-39,-3,1004,-22,-13,-10
110,63,-22,996,-19,-20,-12
111,100,-34,998,-20,-14,-13
112,58,-33,1005,-16,3,-10
113,-8,-20,996,-16,13,-4
114,-80,7,982,-19,19,1
115,-20,18,1017,-20,14,-1
116,-48,-16,997,-25,9,-2
117,6,-27,1004,-24,-4,-5
118,15,-48,993,-20,-5,-11
119,25,-42,982,-13,0,-7
120,6,-14,1000,-11,6,-4
121,-60,0,1000,-14,14,0
122,-73,-8,993,-16,7,-1
123,-71,-20,991,-17,-2,-5
124,13,-28,1000,-15,-14,-9
125,71,-25,1008,-11,-12,-11
126,73,-15,1000,-11,0,-9
127,25,8,1000,-14,12,-4
128,-63,4,995,-17,18,0
129,-117,-21,994,-20,11,-1
130,-89,-32,986,-18,-5,-5
131,6,-41,998,-14,-16,-11
132,81,-35,1003,-9,-15,-11
133,103,-4,1007,-6,-3,-8
134,40,18,1002,-11,12,-5
135,-72,14,1002,-17,20,1
136,-128,-11,986,-23,13,-1
137,-108,-36,985,-22,-1,-4
138,-4,-52,996,-17,-19,-10
139,85,-50,1005,-9,-19,-12
140,124,-12,1000,-5,-7,-10
141,53,22,1008,-8,13,-4
142,-59,20,1009,-16,23,1
143,-141,-1,976,-23,17,1
144,-120,-29,988,-22,-1,-4
145,-28,-59,1003,-18,-17,-10
146,88,-58,1002,-9,-20,-13
147,133,-21,1001,-6,-9,-11
148,67,13,1009,-6,12,-4
149,-40,23,1005,-12,23,1
150,-140,15,977,-20,21,2
151,-135,-21,995,-26,3,-2
152,-49,-55,997,-22,-17,-9
153,76,-59,993,-13,-24,-12
154,139,-27,1006,-5,-13,-10
155,83,2,1013,-6,8,-5
156,-23,18,1004,-11,24,0
157,-132,21,977,-20,23,3
158,-143,-12,998,-23,6,-2
159,-71,-47,991,-21,-14,-9
160,63,-56,1007,-14,-23,-12
161,136,-36,1000,-6,-15,-14
162,101,-8,1007,-4,4,-6
163,-1,17,1000,-9,21,-1
164,-124,24,990,-19,25,3
165,-144,-11,992,-25,8,-2
166,-96,-44,988,-22,-11,-7
167,52,-49,1000,-16,-25,-12
168,121,-41,1013,-7,-18,-13
169,110,-11,1004,-7,1,-7
170,15,15,1006,-11,21,-3
171,-106,23,994,-17,26,2
172,-152,-12,991,-21,12,0
173,-104,-36,980,-21,-7,-6
174,32,-49,1000,-16,-23,-11
175,116,-43,1010,-9,-20,-13
176,123,-17,1010,-8,-4,-7
177,34,21,1000,-9,15,-2
178,-91,19,995,-17,25,3
179,-152,-6,987,-23,15,0
180,-115,-29,986,-23,-4,-4
181,10,-52,995,-18,-21,-11
182,101,-47,1008,-9,-21,-13
183,135,-16,999,-5,-6,-10
184,48,16,1006,-9,16,-3
185,-71,18,1009,-17,27,2
186,-153,0,978,-22,20,1
187,-123,-25,984,-22,-1,-3
188,-13,-54,1003,-18,-21,-10
189,93,-53,1006,-11,-24,-13
190,142,-20,1000,-6,-9,-10
191,58,12,1008,-9,13,-5
192,-51,21,1007,-15,24,0
193,-149,6,975,-24,21,2
194,-133,-23,995,-23,1,-3
195,-38,-57,997,-20,-18,-9
196,84,-52,999,-11,-23,-12
