sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,35,85,533,-12,13,-6
1,-174,68,382,4,20,-8
2,20,15,283,-3,8,1
3,9,10,386,-22,-6,-9
4,20,-13,516,-10,-10,-9
5,-76,-51,683,-6,-2,2
6,24,-21,552,-27,-12,-13
7,-45,125,531,12,20,-10
8,-115,106,435,-16,7,3
9,-120,-57,354,0,-1,-7
10,44,68,313,-21,4,-2
11,4,-59,512,-30,-14,-6
12,-27,-25,552,-12,-7,-5
13,-8,-74,706,-11,-11,-11
14,-59,197,566,-1,9,-5
15,-19,-30,264,-21,-4,1
16,-158,-35,479,-5,1,-8
17,-45,61,306,-38,8,0
18,34,-112,447,-11,-3,-6
19,-5,2,651,-11,-12,-9
20,-24,-51,735,-15,-2,-4
21,-9,110,413,-13,-1,-9
22,-14,6,487,-29,0,-3
23,-150,-81,395,-11,28,-5
24,-73,39,360,-29,12,-5
25,26,-74,425,2,6,-6
26,40,-54,557,-11,-7,-8
27,-55,-61,707,-16,-7,-2
28,71,88,586,1,-8,-14
29,-66,134,513,-17,25,-8
30,-11,-161,261,-15,12,1
31,-53,-26,573,-3,2,-10
32,-103,-27,319,-29,2,-2
33,77,-76,548,-17,-10,-7
34,-16,-44,696,-19,-11,-8
35,61,42,665,-12,-7,-7
36,-65,185,504,-13,5,-6
37,41,-164,300,-1,0,-2
38,-2,-39,510,-17,8,-2
39,-45,-16,365,-38,5,1
40,5,-5,449,-3,-5,-6
41,35,-12,647,-25,-8,-7
42,-66,-13,714,-8,3,-4
43,60,35,248,-34,-8,-8
44,-41,-21,602,-6,-2,-6
45,-14,12,566,-22,29,-5
46,96,-89,306,-29,15,-5
47,-64,63,394,11,1,-8
48,28,-19,560,-33,-12,-7
49,-59,14,578,-5,-1,-3
50,80,-46,449,-3,-9,-14
51,-43,-15,492,-1,21,-8
52,-12,61,443,-9,3,4
53,60,55,364,-13,-3,-5
54,56,-24,228,-13,4,1
55,-5,-23,510,-25,-11,-5
56,9,12,606,-11,-7,-8
57,-105,38,546,-6,0,-8
58,1,-25,347,-10,-2,-2
59,10,43,583,-14,3,-4
60,-102,162,351,-29,27,-11
61,-7,-27,182,-12,10,-1
62,14,-2,413,-8,-5,-9
63,13,-9,509,-17,-6,-10
64,-99,12,664,-3,1,-1
65,-2,-49,418,-23,-13,-15
66,-28,66,562,0,21,-8
67,-130,71,437,-11,8,2
68,-101,9,275,-12,-2,-4
69,63,54,274,-14,-2,-5
70,24,-63,485,-35,-12,-6
71,-27,-54,516,-12,-1,-2
72,-34,-67,681,-6,-12,-12
73,-66,192,557,6,11,-4
74,-8,-68,265,-28,-1,3
75,-149,-63,442,-4,-2,-8
76,-67,105,286,-30,7,-1
77,43,-101,431,-20,-3,-6
78,8,-26,626,-4,-9,-9
79,0,-74,744,-14,-5,-6
80,-54,162,417,-5,0,-7
81,0,-35,443,-34,7,-4
82,-120,-117,377,-6,26,-10
83,-57,40,391,-15,8,-2
84,3,-69,442,-12,2,-7
85,41,-27,546,-4,-6,-11
86,-39,-94,730,-16,-7,0
87,71,105,527,-11,-10,-14
88,-58,121,509,-9,24,-8
89,-13,-183,309,-16,9,2
90,-11,-28,551,-4,-3,-8
91,-84,-32,347,-36,-2,-2
92,47,-39,581,-15,-12,-7
93,-30,-29,656,-13,-8,-5
94,90,15,644,-18,-8,-9
95,-82,153,541,-7,11,-5
96,29,-124,341,-33,-4,-2
97,15,4,538,-7,17,-9
98,-2,-54,321,-37,11,-2
99,2,-1,489,-7,1,-7
100,9,6,660,-15,-12,-10
101,-41,0,646,-5,-6,-2
102,99,-59,235,-27,-1,-12
103,-53,-16,651,-5,14,-7
104,-8,130,558,-8,2,1
105,95,-124,190,-22,2,0
106,-51,40,408,-7,-2,-6
107,27,-45,591,-16,-11,-8
108,-84,64,577,-18,-3,-2
109,22,-84,407,-13,-9,-12
110,-11,-11,564,-3,6,-4
111,-35,126,412,-16,14,-1
112,-49,21,275,-9,24,-11
113,34,64,244,-16,7,-3
114,20,-74,456,-12,-7,-5
115,-1,-34,566,-14,-8,-7
116,-76,-73,603,-7,-6,-8
117,-43,92,548,-17,7,-7
118,53,-36,407,4,3,-2
119,-221,-8,352,-31,7,-1
120,-16,85,260,-39,5,1
121,-1,-41,353,-9,-4,-8
122,38,-36,585,-20,-11,-8
123,-37,-166,702,3,1,-4
124,16,67,377,-33,-6,-13
125,-34,75,504,-9,12,-6
126,-74,-198,331,-24,10,-2
127,-66,-3,407,-12,7,-3
128,12,-42,410,7,-3,-7
129,28,-32,521,-36,-14,-8
130,-12,-76,627,-10,-1,-5
131,96,76,549,-11,-9,-12
132,-88,118,525,7,6,-1
133,57,-207,258,-24,11,-1
134,43,39,484,-18,22,-13
135,-51,-90,251,6,10,-3
136,25,14,524,-33,-8,-6
137,1,-11,675,-10,-2,-7
138,-33,30,519,-11,-8,-8
139,70,-84,287,-24,3,-10
140,-43,-43,598,-2,7,-5
141,83,138,426,-26,0,0
142,3,-82,115,-33,-4,1
143,0,7,488,-12,-4,-8
144,12,-32,551,-25,-11,-8
145,-86,47,633,-1,0,-2
146,-3,-112,268,-20,-11,-13
147,14,-2,600,-12,17,-2
148,-110,115,436,-29,10,-4
149,-40,21,215,-2,1,-9
150,37,35,273,0,-1,-5
151,29,-51,494,-32,-10,-8
152,-32,-78,498,-3,1,-3
153,-16,-65,625,-7,-13,-13
154,-61,177,566,-2,7,-2
155,9,-138,249,-32,6,-1
156,-134,-85,334,-2,21,-14
157,-58,112,258,-29,10,-1
158,37,-102,416,-20,-1,-8
159,16,-33,590,-7,-6,-9
160,45,-111,717,-15,-7,-4
161,-38,156,343,-8,3,-12
162,5,-85,340,-5,17,-6
163,9,-173,383,-14,1,3
164,-70,11,368,-42,-4,0
165,14,-52,431,-18,1,-8
166,32,2,545,-19,-14,-8
167,-44,-53,662,-10,-7,1
168,76,41,364,-15,-13,-14
169,-73,5,461,-17,17,-3
170,10,-114,488,-26,8,-3
171,118,30,412,33,12,-12
172,-63,-1,248,-32,4,-1
173,34,-8,580,-10,-8,-8
174,-43,-17,535,-12,-8,-5
175,20,21,464,-15,-10,-10
176,-15,-99,396,0,11,-5
177,38,72,464,-20,1,1
178,70,81,360,-3,17,-9
179,-12,20,148,-40,11,-3
180,25,-41,465,-3,1,-5
181,1,0,572,-9,-12,-11
182,-80,-44,617,-7,-8,-3
183,-3,-36,351,-15,0,-11
184,28,48,603,-19,15,-5
185,-201,54,354,2,0,-1
186,23,0,224,-28,0,-1
187,11,20,320,-19,-1,-5
188,30,-37,522,-13,-12,-8
189,-63,-101,562,-25,-5,-2
190,47,-36,594,-22,-8,-11
191,-91,151,530,11,9,-3
192,-58,-59,253,-3,19,1
193,-129,-131,344,-27,18,-11
194,-24,98,281,-6,5,-6
195,46,-108,474,-15,-10,-6
196,-10,-66,615,-19,-11,-8
197,62,-62,673,6,-3,-8
198,-77,232,496,-28,12,-9
199,48,-172,240,-9,4,0
200,-57,-95,425,0,0,-2
201,-34,-31,430,-54,1,4
202,4,-40,428,-4,-8,-8
203,33,-8,629,-25,-12,-9
204,-47,-25,726,-18,2,-3
205,94,81,262,-21,-2,-7
206,-47,-22,555,-1,3,-5
207,10,-65,523,-17,29,-7
208,79,-81,293,-21,15,-5
209,-44,61,395,13,1,-7
210,32,-25,571,-32,-12,-7
211,-70,0,589,-6,-1,-3
212,75,-38,423,-15,-13,-13
213,-30,-49,489,-8,16,-6
214,-1,66,431,-18,5,4
215,79,56,334,-30,2,-4
216,52,-7,230,-14,5,-2
217,-10,-29,514,-34,-9,-5
218,13,-13,612,-8,-4,-8
219,-117,-17,555,1,-2,-8
220,-18,-27,427,-20,4,-6
221,57,23,560,-17,4,-6
222,-155,106,307,0,8,-8
223,8,10,220,-13,2,0
224,16,-20,418,-12,-8,-9
225,16,-24,557,-31,-10,-9
226,-77,-125,658,-9,1,-2
227,46,16,401,-23,-13,-9
228,-29,71,529,20,6,-4
229,-132,-84,346,-28,21,-5
230,-106,-24,299,-13,11,-8
231,34,14,317,-1,4,-9
232,33,-66,509,-29,-9,-6
233,-19,-104,585,-4,-4,-2
234,63,-8,636,-13,-15,-12
235,-51,196,505,-15,15,-8
236,77,-265,183,-28,6,3
237,-33,5,510,-18,-10,-5
238,-86,-71,335,-22,6,2
239,44,-50,501,-21,-5,-7
240,16,-15,665,-9,-7,-8
241,-8,27,655,-6,-4,-6
242,39,21,312,-16,-1,-9
243,-43,-118,487,-28,12,-3
244,83,33,593,-6,12,-10
245,8,-64,196,-4,6,0
246,-21,39,473,-26,-6,-9
247,32,-30,548,-15,-8,-10
248,-74,40,620,-15,-1,0
249,46,-118,258,-25,-15,-12
250,5,-1,573,9,8,-6
251,-28,114,450,-24,18,-1
252,69,16,253,-12,9,-11
253,38,19,258,-24,7,-5
254,1,-32,548,-13,-4,-6
255,-21,-34,505,-10,-8,-4
256,-50,-40,618,-2,-13,-11
257,-59,30,629,-9,17,-9
258,28,-23,360,-29,6,3
259,-132,4,371,-8,-10,-7
260,-51,119,244,-37,6,3
261,41,-87,424,-18,-4,-6
262,-2,-6,622,-9,-11,-11
263,13,-172,691,-16,-1,-4
264,-30,64,371,-16,-2,-9
265,-15,28,468,-32,0,-5
266,-113,-178,346,-3,15,-6
267,-37,47,347,-12,7,-2
268,12,-78,408,-17,0,-6
269,31,-41,562,-16,-8,-8
270,-40,-99,668,-28,-4,-1
271,127,97,495,-28,-14,-11
272,-68,72,478,1,8,-4
273,40,-233,324,-5,21,-1
274,71,31,518,-8,19,-12
275,-92,-32,215,-15,8,-5
276,62,-23,583,-13,-8,-6
277,-20,-30,642,-22,-11,-6
278,24,45,485,-10,-8,-7
279,-12,-105,381,-9,12,-8
280,47,-20,501,0,7,0
281,111,81,408,-26,5,-3
282,-38,-8,157,-45,5,1
283,4,-3,479,-8,-4,-7
284,30,-37,579,-18,-12,-9
285,-70,-42,625,1,-2,-5
286,-12,-76,318,-31,-4,-14
287,13,39,634,4,14,-9
288,-147,-2,376,-22,0,3
289,20,-6,236,-29,0,0
290,-2,45,313,-9,-2,-5
291,16,-31,515,-23,-13,-8
292,-28,-142,520,-15,-4,-3
293,68,-53,588,-11,-11,-12
294,-114,171,561,-8,7,-1
295,-44,-140,210,-30,0,-3
296,-57,-115,351,-1,13,-13
297,-57,44,311,-6,3,-2
298,42,-97,478,-20,-9,-6
299,-20,-43,629,-16,-5,-7
300,114,-14,628,-11,-4,-8
301,-39,147,421,-7,1,-3
302,29,-190,322,4,4,-5
303,24,-69,476,-23,29,-10
304,-23,-22,299,-12,13,-2
305,19,-20,420,-7,-5,-8
306,26,-3,618,-24,-7,-10
307,-87,-18,653,-3,1,-3
308,95,-39,150,-23,-11,-14
309,-4,-63,603,17,16,-10
310,-18,64,545,-39,9,6
311,134,-38,244,-35,-5,-1
312,-67,64,290,0,2,-7
313,43,-62,568,-29,-10,-6
314,-56,-24,514,-9,-2,-3
315,-34,-3,490,-9,-14,-14
316,-52,-16,567,-8,16,-1
317,10,32,369,-34,5,-1
318,-47,4,295,18,7,-16
319,-42,125,251,-3,6,1
320,17,-69,399,-33,-9,-7
321,19,-24,579,-9,-6,-8
322,-34,-141,643,-16,-5,-5
323,-70,136,489,-2,-1,-6
324,38,15,491,-4,3,-5
325,-213,-81,295,-25,20,-5
326,22,42,282,-25,3,-2
327,-18,-27,385,-11,2,-9
328,18,0,540,-17,-8,-9
329,-42,-180,663,-8,-2,-1
330,87,43,492,-14,-11,-14
331,-59,111,501,-7,21,-6
332,-81,-179,312,-25,6,3
333,-30,-25,446,4,-3,-4
334,-21,-51,390,-20,1,-2
335,41,-37,558,-29,-11,-6
336,-40,-35,636,-11,-5,-3
337,110,43,591,-15,-12,-12
338,-71,107,504,-12,8,-2
339,54,-180,315,-33,2,-3
340,1,43,503,29,26,-15
341,7,-68,265,-28,10,0
342,21,-15,501,-11,-1,-6
343,18,0,664,-5,-9,-8
344,-97,26,608,-19,-7,-3
345,108,-79,201,-14,5,-9
346,-13,-33,622,-4,14,-6
347,0,168,518,-15,4,5
348,66,-107,141,-35,-1,-1
349,-32,47,444,-14,2,-7
350,47,-61,560,-15,-12,-9
351,-85,63,590,-12,-3,-1
352,-42,-100,403,-5,-8,-14
353,-5,29,553,-19,17,-5
354,-47,108,394,-18,6,-2
355,-79,2,284,11,6,-12
356,27,76,281,-34,2,-2
357,12,-51,489,-10,-6,-8
358,0,-54,541,-19,-9,-7
359,-44,-101,634,-13,-10,-9
360,-81,151,587,-5,7,-6
361,30,-50,325,-3,3,-4
362,-157,-64,357,-18,17,-9
363,-19,71,293,-37,8,-2
364,-5,-60,400,-3,-1,-7
365,16,-13,620,-16,-10,-11
366,4,-137,694,-6,-4,-3
367,23,75,376,-19,-1,-13
368,-17,44,492,4,11,-8
369,-56,-201,373,-18,-1,3
370,-54,4,404,-42,-8,-1
371,27,-70,449,-11,-5,-5
372,22,-17,571,-25,-15,-7
373,-47,-47,660,-17,-4,-3
374,115,61,483,-17,-8,-14
375,-59,20,490,-11,7,-3
376,23,-137,385,-18,11,-4
377,79,71,509,-2,18,-14
378,-34,-57,226,-3,5,-4
379,40,-18,567,-19,-9,-6
380,-24,-13,677,-18,-6,-7
381,-44,64,491,-13,-5,-8
382,60,-119,314,-18,6,-6
383,26,-1,568,-2,3,-3
384,67,141,401,-37,17,-4
385,-26,-21,136,-29,7,0
386,30,-6,458,-10,-5,-8
387,38,-57,595,-21,-10,-9
388,-87,1,662,4,-1,-3
389,-20,-64,345,-27,-9,-13
390,16,44,622,5,15,-7
391,-127,16,405,-29,2,3
392,-42,9,263,-32,-7,-2
393,14,56,309,-2,-2,-7
394,32,-59,506,-34,-12,-8
395,-15,-138,540,-16,0,-3
396,25,-54,635,-11,-11,-14
397,-110,195,566,-6,10,-1
398,-9,-150,202,-21,10,-3
399,-60,-96,359,9,18,-16
400,-75,49,339,6,7,-2
401,23,-85,465,-29,-10,-7
402,-2,-38,644,-14,-6,-8
403,91,-35,692,-16,-7,-6
404,-18,172,403,-12,-2,-7
405,-4,-148,344,-3,6,-4
406,42,-109,430,-27,19,-4
407,-33,-17,323,-23,4,0
408,13,-38,463,-13,-1,-8
409,15,16,600,-16,-7,-9
410,-64,-37,689,-3,-3,-1
411,77,-15,252,-19,-14,-13
412,-50,-55,551,-9,22,-6
413,-29,8,569,-32,5,3
414,138,20,331,-13,-10,-5
415,-50,12,275,-17,0,-4
416,40,-40,611,-31,-10,-7
417,-65,0,545,-13,-4,-4
418,-1,17,511,-14,-14,-12
419,-27,-62,505,-6,9,-3
420,20,47,418,-36,4,-1
421,-26,55,330,24,18,-15
422,-55,97,227,-22,8,0
423,32,-84,438,-28,-6,-7
424,16,-13,615,-4,-8,-9
425,-46,-135,662,-29,-7,-4
426,-40,93,427,-9,-3,-9
427,59,7,514,-7,7,-6
428,-197,-110,312,-11,26,-4
429,0,66,291,-32,6,-4
430,-15,-19,369,-6,3,-7
431,40,-34,543,-13,-8,-7
432,-32,-188,642,-12,-4,0
433,100,55,538,-11,-12,-16
434,-80,131,457,-11,20,-9
435,6,-256,274,-23,8,8
436,15,-31,502,-34,-8,-6
437,-80,-38,345,-21,6,-4
438,48,-35,575,-19,-11,-7
439,-27,-39,623,-7,-8,-6
440,115,11,551,8,-6,-10
441,-94,-4,468,-8,15,-6
442,25,-105,423,-36,-5,1
443,87,62,494,15,-3,-9
444,2,-42,244,-39,2,2
445,-4,0,508,-19,-9,-6
446,12,-1,628,-6,-11,-10
447,-88,15,580,-17,-1,-4
448,74,-123,236,-16,-1,-7
449,26,11,677,-12,-5,-4
450,-117,164,369,12,26,-7
451,77,-67,164,-19,9,-4
452,-12,57,390,-7,-2,-5
453,25,-52,551,-16,-10,-8
454,-67,-75,546,-22,-6,-2
455,48,-56,568,-22,-11,-10
456,-37,109,604,1,9,-7
457,-43,-69,291,-4,17,3
458,-138,-91,305,-32,11,-12
459,1,118,276,-9,8,-5
460,40,-104,483,-15,-8,-5
461,-9,-78,618,-17,-8,-6
462,82,-97,642,3,-8,-8
463,-66,212,501,-12,12,-7
464,66,-198,243,-3,7,0
465,-11,-99,440,-36,6,-2
466,-31,-39,405,-42,5,0
467,2,-40,454,-7,-4,-9
468,35,-2,635,-18,-11,-9
469,-51,-38,679,-3,1,-1
470,92,-22,224,-24,-5,-11
471,-65,-54,572,-1,14,-8
472,33,30,553,-29,-1,3
473,118,-79,240,-25,-3,0
474,-68,77,391,-1,-1,-7
475,16,-42,603,-26,-11,-7
476,-73,-7,555,-10,-2,-5
477,36,-54,426,-13,-10,-15
478,-34,-45,598,-3,7,-3
479,-20,72,371,-10,7,-3
480,-40,8,254,2,14,-13
481,10,76,278,7,6,-2
482,1,-60,456,-23,-11,-7
483,2,-33,600,-19,-7,-8
484,-21,-142,595,-12,-6,-6
485,-43,110,506,-14,0,-4
486,35,-36,465,2,3,-5
487,-181,-82,281,-21,26,-11
488,21,52,295,-12,11,-3
489,-3,-61,393,-5,-5,-10
490,23,-15,600,-22,-8,-9
491,-31,-157,690,0,-1,-3
492,112,73,374,-31,-16,-12
493,5,39,495,17,17,-7
494,-3,-228,414,-34,16,4
495,-26,-3,423,-32,0,-2
496,-23,-31,385,-5,4,-8
497,60,-39,585,-26,-9,-8
498,-53,-46,634,-6,-2,-2
499,80,28,491,-1,-14,-15
500,-75,-78,502,-17,16,-8
501,54,-102,431,-29,5,4
502,94,112,435,-9,-10,-7
503,-3,-33,238,-21,2,0
504,-7,-19,529,-21,-6,-6
505,38,-33,633,-14,-8,-7
506,-117,-36,569,1,-5,-7
507,9,-65,387,-16,0,-6
508,88,-3,642,-27,1,-4
509,-142,78,289,-8,-3,-5
510,24,-27,196,-18,2,2
511,-21,23,449,-15,-4,-9
512,27,-29,535,-19,-10,-10
513,-43,-185,611,-16,-1,-2
514,75,-15,466,-20,-11,-13
515,-57,109,501,-2,11,-3
516,-74,-149,302,-22,8,-4
517,-55,-60,311,22,9,-9
518,8,-20,349,-18,1,-4
519,13,-56,549,-29,-9,-8
520,-13,-83,592,-13,-5,-6
521,135,8,582,-20,-10,-11
522,-76,137,518,2,13,-4
523,71,-234,289,-25,4,-3
524,29,29,497,19,22,-16
525,-7,-86,270,-36,9,-1
526,32,-26,516,-20,-4,-7
527,19,12,667,2,-8,-9
528,-76,32,587,-24,-9,-2
