sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-131,10,987,-16,13,-1
1,-107,-23,984,-15,-9,-9
2,5,-60,993,-14,-26,-11
3,104,-47,1005,-11,-19,-10
4,112,-26,997,-12,0,-5
5,24,11,1018,-6,20,-2
6,-91,10,993,-22,27,1
7,-144,5,984,-19,12,-1
8,-80,-36,974,-25,-13,-8
9,29,-44,1013,-13,-23,-13
10,119,-47,1008,-11,-17,-11
11,100,-11,1002,-9,5,-6
12,-7,12,1003,-11,25,1
13,-116,19,997,-18,22,1
14,-142,-15,972,-23,5,-4
15,-62,-39,1010,-17,-17,-9
16,68,-59,992,-15,-25,-12
17,128,-33,1011,-6,-10,-11
18,83,-2,999,-8,12,-3
19,-49,28,1003,-14,26,0
20,-127,10,996,-19,20,-2
21,-129,-21,985,-24,-1,-4
22,-27,-50,1000,-20,-21,-11
23,91,-61,994,-11,-24,-13
24,118,-25,1006,-7,-7,-8
25,59,1,1000,-10,15,-5
26,-76,31,1015,-14,26,0
27,-137,8,988,-21,14,-2
28,-101,-27,981,-23,-7,-7
29,0,-62,996,-19,-24,-11
30,102,-48,1001,-11,-22,-13
31,112,-21,1005,-7,-2,-8
32,30,15,1014,-11,19,-2
33,-91,22,995,-16,26,2
34,-140,-6,976,-21,12,-2
35,-85,-35,989,-22,-12,-7
36,27,-58,998,-15,-24,-12
37,122,-43,1010,-10,-17,-13
38,98,-14,1005,-7,5,-6
39,1,28,997,-12,24,0
40,-116,4,1002,-18,23,1
41,-145,-6,970,-23,6,-3
42,-59,-39,1010,-20,-17,-9
43,67,-58,992,-15,-25,-12
44,118,-36,1012,-9,-11,-9
45,93,-2,999,-8,7,-7
46,-49,17,997,-14,27,2
47,-126,26,996,-19,20,0
48,-133,-27,995,-24,-1,-5
49,-23,-47,991,-19,-20,-11
50,90,-59,1003,-12,-25,-11
51,121,-31,1001,-6,-6,-9
52,58,2,1007,-9,15,-1
53,-76,26,1002,-14,27,1
54,-140,7,997,-21,16,-1
55,-97,-30,980,-22,-6,-7
56,-6,-56,993,-16,-23,-11
57,115,-45,998,-9,-22,-13
58,110,-21,1016,-6,-1,-9
59,24,15,997,-8,20,-1
60,-89,20,1012,-16,25,1
61,-140,-3,978,-21,11,-2
62,-88,-31,981,-20,-12,-7
63,31,-51,1005,-14,-24,-14
64,112,-45,1010,-8,-16,-11
65,104,-12,1001,-7,3,-7
66,-2,10,1006,-11,23,-2
67,-111,20,995,-16,24,1
68,-138,-13,978,-22,6,-3
69,-60,-32,1001,-20,-16,-9
70,60,-60,1000,-17,-25,-12
71,128,-33,1014,-7,-12,-12
72,82,-9,995,-8,11,-4
73,-42,30,1000,-12,26,0
74,-124,4,1007,-21,20,-1
75,-128,-17,973,-23,1,-6
76,-31,-52,1008,-19,-20,-10
77,89,-58,991,-10,-25,-13
78,117,-23,1006,-5,-6,-9
79,62,4,1002,-8,14,-4
80,-71,30,1011,-15,27,0
81,-132,0,988,-23,16,-2
82,-109,-29,985,-24,-7,-7
83,0,-61,993,-18,-23,-12
84,104,-46,999,-9,-22,-11
85,112,-13,1009,-6,-3,-8
86,34,18,1006,-11,18,-2
87,-95,18,1009,-19,26,1
88,-134,1,967,-23,11,-2
89,-91,-34,994,-23,-11,-5
90,30,-57,992,-18,-26,-12
91,114,-45,1016,-9,-17,-11
92,109,-13,1006,-9,4,-6
93,-3,13,996,-11,24,0
94,-117,21,999,-16,25,1
95,-141,-6,981,-24,7,-3
96,-62,-35,995,-19,-15,-9
97,60,-53,1005,-16,-26,-13
98,127,-45,1008,-9,-13,-12
99,86,-14,998,-7,10,-5
100,-40,25,995,-13,27,2
101,-125,7,997,-20,20,-2
102,-137,-12,993,-21,0,-5
103,-22,-48,990,-20,-21,-12
104,87,-56,1008,-11,-23,-13
105,121,-24,991,-6,-7,-8
106,65,6,1011,-10,15,-4
107,-79,21,999,-17,28,0
108,-133,5,1000,-21,16,-1
109,-109,-31,974,-23,-6,-6
110,-1,-53,997,-16,-23,-11
111,105,-55,1000,-11,-22,-12
112,121,-14,1006,-6,-2,-10
113,22,9,1011,-10,20,-1
114,-83,23,997,-17,26,-2
115,-146,0,987,-23,12,-2
116,-86,-28,977,-21,-13,-7
117,31,-58,1009,-15,-25,-13
118,114,-47,1006,-9,-17,-11
119,99,-12,1001,-7,4,-5
120,2,15,1004,-11,23,-2
121,-110,10,995,-18,23,1
122,-144,4,976,-22,6,-4
123,-60,-44,998,-21,-15,-10
124,58,-45,1004,-15,-26,-12
125,127,-45,1000,-11,-12,-9
126,84,-8,1002,-7,11,-4
127,-41,21,1001,-13,26,1
128,-120,8,988,-20,21,-2
129,-141,-17,997,-21,1,-3
130,-22,-43,990,-18,-21,-11
131,87,-58,1008,-12,-23,-13
132,120,-21,990,-8,-8,-9
133,57,0,1018,-8,15,-4
134,-72,24,995,-13,26,0
135,-135,11,998,-22,18,-1
136,-109,-30,985,-23,-5,-7
137,0,-54,990,-16,-23,-12
138,107,-50,1007,-10,-22,-12
139,112,-14,1004,-6,-3,-7
140,30,9,1016,-10,20,-1
141,-86,20,990,-19,26,0
142,-144,-4,990,-21,13,-3
143,-83,-42,973,-22,-11,-9
144,22,-50,1002,-15,-23,-11
145,114,-36,1019,-8,-18,-11
146,109,-15,994,-10,4,-8
147,-8,19,1010,-10,24,-1
148,-106,12,994,-18,23,0
149,-151,-13,975,-23,6,-3
150,-49,-41,988,-18,-16,-10
151,52,-51,1021,-13,-23,-11
152,129,-37,992,-9,-13,-10
153,84,-5,1007,-6,10,-5
154,-42,23,1004,-13,26,1
155,-119,17,988,-20,19,-3
156,-139,-20,1001,-21,1,-4
157,-28,-48,986,-21,-20,-11
158,82,-58,1013,-13,-23,-12
159,122,-26,988,-7,-9,-9
160,59,3,1016,-8,15,-4
161,-68,30,999,-13,26,0
162,-136,8,997,-23,17,0
163,-113,-21,982,-22,-5,-6
164,-2,-63,995,-19,-23,-12
165,103,-51,1004,-10,-23,-12
166,110,-21,1000,-6,-3,-8
167,32,20,1021,-8,20,-1
168,-85,17,998,-18,26,0
169,-144,0,976,-22,13,-1
170,-84,-33,990,-23,-11,-7
171,21,-59,992,-17,-26,-12
172,119,-41,1013,-8,-18,-12
173,99,-17,1003,-10,3,-6
174,-2,25,1005,-11,22,-2
175,-99,3,998,-19,23,1
176,-153,0,973,-23,6,-2
177,-56,-40,995,-22,-17,-10
178,60,-58,1007,-15,-26,-13
179,113,-47,1002,-9,-13,-9
180,98,1,1002,-6,8,-7
181,-43,22,1007,-13,26,2
182,-120,17,981,-22,20,1
183,-133,-19,1004,-23,1,-5
184,-32,-50,989,-20,-20,-9
185,86,-54,1001,-12,-25,-12
186,124,-34,1000,-7,-8,-9
187,59,3,1012,-8,16,-3
188,-65,25,994,-13,27,0
189,-136,15,1005,-21,17,0
190,-112,-31,981,-26,-5,-5
191,0,-53,990,-17,-23,-12
192,100,-61,1010,-10,-23,-11
193,109,-10,993,-5,-2,-8
194,30,9,1026,-8,20,-2
195,-84,26,992,-17,24,0
196,-150,3,988,-22,11,0
197,-79,-34,975,-24,-13,-9
198,16,-58,1010,-17,-24,-11
199,122,-47,998,-9,-20,-11
200,101,-14,1013,-7,4,-7
201,11,16,1000,-10,22,-1
202,-113,23,1000,-17,25,2
203,-141,-8,974,-24,6,-4
204,-70,-32,1000,-19,-16,-9
205,57,-61,997,-14,-26,-13
206,132,-41,1014,-7,-14,-11
207,86,-11,992,-7,9,-3
208,-30,25,1004,-10,25,-1
209,-125,9,991,-19,20,-1
210,-135,-1,990,-21,2,-5
211,-37,-44,999,-22,-19,-10
212,90,-54,1002,-14,-26,-13
213,115,-40,1000,-8,-8,-8
214,64,3,1004,-8,13,-4
215,-68,18,1008,-13,28,1
216,-140,7,990,-22,18,-1
217,-119,-22,992,-22,-6,-6
218,3,-56,990,-17,-23,-12
219,89,-48,1004,-11,-21,-11
220,126,-17,1000,-8,-4,-9
221,27,6,1019,-9,20,-2
222,-78,22,990,-16,26,1
223,-154,1,991,-22,12,-2
224,-81,-29,978,-23,-13,-10
225,17,-66,999,-18,-24,-12
226,116,-38,1005,-8,-20,-12
227,108,-18,1010,-8,3,-6
228,1,18,999,-11,23,-1
229,-104,16,1001,-18,23,1
230,-145,-8,977,-22,7,-3
231,-66,-36,990,-19,-17,-8
232,57,-54,1005,-13,-27,-13
233,128,-44,1015,-9,-13,-10
234,90,-8,991,-7,8,-4
235,-33,30,1006,-13,25,0
236,-118,14,993,-19,22,0
237,-140,-8,986,-24,3,-4
238,-34,-55,1002,-22,-19,-11
239,82,-63,999,-13,-25,-12
240,122,-32,999,-7,-8,-8
241,72,-1,1006,-7,13,-5
242,-68,39,1004,-14,28,2
243,-133,8,995,-23,18,-2
244,-118,-26,988,-23,-4,-7
245,-9,-52,986,-18,-23,-10
246,103,-58,1007,-10,-23,-14
247,118,-25,999,-7,-4,-8
248,32,16,1016,-7,19,-1
249,-81,24,1005,-18,25,0
250,-148,0,975,-23,15,-1
251,-91,-25,992,-22,-11,-6
252,20,-63,989,-17,-24,-12
253,116,-45,1013,-9,-18,-12
254,108,-19,1004,-7,3,-5
255,4,16,1007,-8,23,-1
256,-107,20,998,-16,24,2
257,-150,1,970,-22,9,-3
258,-62,-34,995,-21,-16,-9
259,51,-57,1006,-17,-25,-11
260,121,-40,1009,-9,-14,-11
261,93,-20,997,-8,7,-8
262,-40,18,1002,-11,26,-1
263,-120,5,994,-19,20,0
264,-143,-9,985,-20,2,-6
265,-32,-45,1002,-20,-20,-11
266,88,-45,1005,-12,-25,-14
267,126,-34,994,-9,-8,-9
268,63,3,1008,-8,14,-4
269,-66,27,1002,-15,27,0
270,-142,0,993,-22,18,0
271,-121,-24,980,-22,-5,-5
272,0,-63,1004,-16,-25,-13
273,102,-56,995,-9,-24,-12
274,117,-19,1009,-5,-5,-8
275,38,20,1007,-6,20,-3
276,-87,30,1009,-17,27,1
277,-139,9,978,-23,13,-3
278,-102,-38,990,-23,-10,-7
279,21,-56,995,-19,-26,-13
280,121,-59,1005,-10,-20,-13
281,102,-16,1008,-7,3,-6
282,17,16,1005,-11,22,-2
283,-105,27,1002,-14,25,2
284,-148,-6,963,-25,8,0
285,-74,-32,1001,-22,-14,-10
286,47,-59,998,-16,-25,-11
287,135,-42,1018,-9,-16,-11
288,91,-14,993,-7,8,-5
289,-21,17,1004,-13,25,1
290,-116,8,995,-18,23,0
291,-151,-10,979,-23,5,-2
292,-38,-39,1007,-21,-19,-12
293,82,-52,998,-14,-24,-13
294,122,-33,997,-7,-11,-8
295,82,1,1010,-7,12,-6
296,-62,20,1004,-16,28,2
297,-142,10,989,-19,20,-1
298,-116,-27,996,-25,-4,-6
299,-17,-56,987,-16,-22,-11
300,104,-48,1001,-8,-23,-13
301,114,-27,1007,-6,-4,-9
302,40,21,1010,-6,18,-2
303,-73,17,1001,-17,27,0
304,-154,5,988,-22,15,-1
305,-94,-36,979,-23,-10,-7
306,15,-62,995,-15,-25,-14
307,106,-42,1010,-10,-20,-11
308,114,-13,1004,-7,0,-8
309,10,17,1011,-9,23,-1
310,-98,14,992,-16,25,0
311,-152,-2,980,-22,10,-4
312,-68,-41,990,-20,-16,-9
313,40,-49,1001,-14,-28,-12
314,125,-48,1014,-9,-17,-10
315,103,-8,1004,-6,6,-6
316,-28,18,990,-11,25,1
317,-115,22,1003,-18,22,-2
318,-144,-16,986,-24,2,-4
319,-47,-36,992,-20,-19,-9
320,77,-57,1008,-15,-26,-13
321,129,-41,997,-9,-10,-9
322,69,-3,1001,-8,12,-3
323,-54,29,1007,-12,25,-1
324,-133,12,999,-22,18,0
325,-125,-18,983,-24,-3,-4
326,-12,-51,996,-19,-23,-11
327,99,-61,1008,-12,-24,-13
328,113,-27,992,-7,-4,-8
329,48,10,1012,-8,18,-3
330,-80,15,1005,-17,27,1
331,-144,10,984,-22,15,-1
332,-96,-37,979,-21,-9,-8
333,4,-50,1001,-16,-23,-11
334,120,-53,1004,-11,-21,-13
335,109,-19,1003,-6,2,-7
336,8,24,1015,-12,21,1
337,-84,12,995,-19,23,-2
338,-158,-2,972,-23,11,0
339,-69,-34,988,-23,-16,-9
340,38,-56,1013,-14,-26,-13
341,126,-46,998,-10,-15,-10
342,101,-10,1011,-8,6,-7
343,-13,19,994,-15,26,1
344,-119,15,998,-25,25,3
345,-143,-11,972,-22,5,-6
346,-49,-42,1018,-20,-18,-9
347,75,-53,986,-16,-25,-13
348,123,-42,1009,-9,-10,-10
349,75,4,1003,-7,11,-4
350,-48,18,998,-15,27,1
351,-137,17,994,-18,20,-1
352,-121,-26,991,-24,-4,-5
353,-17,-53,990,-17,-22,-12
354,91,-51,1001,-10,-25,-11
355,126,-17,998,-5,-5,-8
356,46,7,1014,-8,18,-3
357,-79,29,999,-16,26,1
358,-140,-2,995,-24,15,-2
359,-104,-35,978,-20,-7,-9
360,14,-58,995,-16,-25,-12
361,107,-50,1003,-10,-21,-11
362,110,-8,1006,-6,0,-7
363,24,14,1013,-11,21,0
364,-109,16,991,-16,28,1
365,-136,-4,982,-22,9,-4
366,-87,-34,987,-22,-14,-8
367,38,-56,996,-16,-25,-11
368,126,-38,1027,-9,-17,-14
369,95,-13,991,-9,6,-5
370,-15,24,1002,-10,25,-1
371,-116,6,998,-20,22,0
372,-145,-3,978,-22,4,-4
373,-55,-46,997,-21,-18,-10
374,82,-50,1012,-13,-27,-14
375,117,-42,996,-8,-11,-9
376,88,1,1004,-6,10,-6
377,-59,21,1001,-15,25,1
378,-130,12,993,-19,19,0
379,-129,-26,995,-23,-2,-6
380,-17,-50,988,-18,-22,-11
381,91,-56,1008,-10,-26,-13
382,126,-25,995,-8,-7,-10
383,48,9,1013,-9,16,-1
384,-75,26,996,-17,28,1
385,-143,6,997,-23,15,-1
386,-105,-31,975,-23,-8,-6
387,4,-53,997,-19,-24,-12
388,115,-53,1007,-10,-21,-13
389,112,-18,1004,-7,-1,-6
390,26,20,1010,-8,21,-2
391,-98,23,1003,-17,26,1
392,-142,-2,976,-24,10,-3
393,-81,-41,981,-24,-12,-8
394,34,-56,1013,-15,-26,-12
395,128,-50,1003,-10,-16,-11
396,97,-2,1004,-7,7,-6
397,-9,15,1001,-14,23,0
398,-117,22,997,-19,23,0
399,-148,-7,976,-25,5,-3
400,-50,-42,1003,-20,-17,-10
401,67,-61,1001,-15,-24,-12
402,129,-37,999,-9,-12,-9
403,81,-4,1009,-7,11,-5
404,-52,24,999,-14,28,1
405,-133,11,996,-22,20,0
406,-125,-24,989,-23,-1,-7
407,-21,-47,999,-19,-20,-11
408,98,-51,999,-12,-24,-13
409,124,-28,1001,-9,-5,-8
410,50,8,1011,-9,16,-2
411,-80,23,1000,-15,28,0
412,-143,0,995,-23,15,-2
413,-108,-33,981,-21,-8,-7
414,9,-57,991,-16,-25,-13
415,111,-41,1014,-10,-22,-10
416,115,-14,995,-7,-1,-7
417,22,19,1026,-12,21,-1
418,-99,7,985,-20,25,1
419,-152,-1,983,-22,10,-4
420,-74,-41,982,-22,-14,-10
421,40,-51,1002,-13,-26,-14
422,121,-44,1014,-8,-16,-10
423,109,-6,1003,-6,6,-6
424,-20,23,998,-12,25,2
425,-117,22,1002,-19,23,-1
426,-142,-20,978,-24,3,-4
427,-64,-41,992,-19,-17,-9
428,86,-61,1016,-14,-27,-13
429,123,-49,992,-7,-11,-10
430,81,10,999,-5,11,-3
431,-47,28,1012,-14,26,0
432,-138,24,985,-20,20,1
433,-128,-19,992,-26,-3,-5
434,-23,-51,1002,-23,-20,-13
435,96,-72,993,-13,-23,-12
436,125,-25,999,-7,-5,-11
437,56,-6,1015,-10,18,-1
438,-80,30,999,-12,28,1
439,-144,7,992,-22,16,-1
440,-102,-19,984,-21,-7,-8
441,4,-56,992,-20,-24,-11
442,112,-47,1006,-11,-22,-12
443,111,-23,1004,-9,0,-7
444,20,9,1011,-8,21,-3
445,-98,22,1001,-16,27,1
446,-140,-4,974,-20,10,-2
447,-84,-32,989,-20,-13,-9
448,39,-48,1001,-15,-25,-13
449,126,-41,1015,-10,-17,-12
450,99,-14,990,-10,6,-5
451,-15,20,1014,-12,25,0
452,-112,7,988,-20,23,0
453,-154,-8,983,-24,6,-2
454,-53,-45,993,-18,-18,-10
455,69,-50,1012,-13,-25,-13
456,131,-39,993,-7,-13,-9
457,79,2,1008,-5,12,-5
458,-50,27,999,-16,26,1
459,-133,12,992,-20,20,-1
460,-131,-24,990,-23,-3,-5
461,-20,-54,1000,-19,-23,-10
462,100,-63,998,-9,-25,-11
463,124,-20,1000,-5,-6,-8
464,50,8,1008,-10,17,-2
465,-75,30,1002,-16,29,0
466,-147,5,995,-23,17,-1
467,-100,-27,978,-24,-7,-7
468,9,-70,998,-20,-25,-12
469,110,-54,997,-9,-22,-12
470,118,-17,1012,-6,-1,-9
471,18,19,1008,-7,21,-2
472,-99,20,1002,-19,27,1
473,-143,-3,979,-23,11,-2
474,-90,-42,983,-22,-13,-8
475,47,-54,1002,-14,-27,-13
476,119,-52,1013,-8,-15,-11
477,103,-5,1000,-6,6,-5
478,-13,20,1004,-13,25,0
479,-118,23,996,-17,23,0
480,-144,-10,978,-23,5,-4
481,-54,-38,999,-20,-17,-10
482,73,-69,1006,-15,-25,-12
483,126,-32,1003,-7,-11,-11
484,81,-13,998,-6,10,-5
485,-52,32,1002,-12,27,1
486,-132,14,994,-21,20,0
487,-131,-17,987,-23,0,-6
488,-17,-50,1002,-20,-21,-12
489,96,-57,999,-11,-23,-13
490,118,-27,1001,-6,-5,-9
491,55,3,1009,-8,17,-4
492,-83,25,999,-14,27,1
493,-140,6,995,-21,14,-2
494,-108,-29,983,-20,-7,-8
495,10,-59,988,-17,-24,-12
496,110,-40,1012,-11,-22,-13
497,115,-21,996,-8,0,-8
498,22,22,1019,-10,23,-2
499,-95,12,988,-20,26,0
500,-151,0,986,-21,10,-3
501,-77,-47,974,-23,-13,-9
502,26,-54,1011,-14,-24,-12
503,125,-46,1006,-7,-17,-12
504,106,-11,1005,-7,5,-6
505,-10,22,1003,-11,24,1
506,-112,15,993,-18,24,-1
507,-151,-8,982,-23,5,-5
508,-56,-44,993,-20,-19,-10
509,66,-55,1006,-14,-26,-13
510,140,-48,1011,-9,-12,-10
511,74,-2,996,-6,12,-4
512,-41,28,998,-12,26,-1
513,-130,10,1003,-19,21,-2
514,-140,-16,975,-23,-1,-3
515,-19,-40,1009,-20,-22,-13
516,95,-58,998,-12,-26,-13
517,119,-22,996,-8,-7,-8
518,63,-4,1011,-11,16,-5
519,-81,24,1005,-14,27,1
520,-144,3,986,-22,14,-1
521,-108,-21,990,-21,-7,-9
522,5,-62,993,-15,-25,-12
523,115,-40,996,-9,-23,-12
524,112,-28,1011,-8,0,-7
525,23,25,1007,-9,20,-2
526,-99,14,1001,-22,26,1
527,-143,0,975,-21,11,-3
528,-87,-41,990,-23,-13,-7
529,36,-58,997,-16,-26,-13
530,118,-45,1011,-8,-18,-11
531,107,-10,1003,-8,4,-6
532,-9,16,1009,-11,24,0
533,-114,21,982,-18,23,2
534,-150,-9,990,-26,5,-2
535,-57,-39,988,-20,-19,-10
536,59,-63,1008,-16,-25,-12
537,134,-42,1009,-7,-13,-11
538,87,-11,998,-6,11,-5
539,-45,27,997,-11,27,2
540,-134,20,996,-19,20,0
541,-139,-17,988,-22,0,-5
542,-22,-50,1000,-22,-23,-10
543,94,-57,999,-12,-25,-13
544,127,-38,998,-7,-7,-8
545,58,1,1011,-8,16,-1
546,-78,26,998,-13,28,1
547,-145,12,998,-21,17,-1
548,-107,-27,983,-23,-7,-7
549,-2,-53,992,-17,-23,-12
550,115,-45,1004,-10,-23,-11
551,112,-22,1001,-8,-1,-7
552,26,19,1016,-11,20,0
553,-90,7,996,-20,26,2
554,-151,3,980,-21,12,-2
555,-84,-38,985,-22,-13,-7
556,35,-55,1000,-14,-26,-12
557,118,-43,1004,-7,-18,-9
558,107,-5,1013,-6,4,-6
559,-7,12,999,-13,24,0
560,-113,20,997,-18,25,1
561,-151,-7,977,-26,5,-3
562,-48,-35,993,-20,-18,-10
563,61,-67,1010,-16,-27,-12
564,134,-35,1005,-7,-13,-9
565,80,-11,1006,-7,11,-4
566,-41,35,989,-12,27,2
567,-137,8,1006,-21,22,2
568,-131,-10,980,-23,-1,-5
569,-30,-56,1001,-22,-20,-9
570,103,-57,1003,-12,-25,-14
571,120,-39,990,-8,-5,-7
572,63,9,1011,-9,16,-3
573,-79,25,999,-16,26,3
574,-144,18,996,-21,17,-1
575,-102,-34,985,-25,-7,-6
576,-4,-53,992,-17,-24,-10
577,117,-54,1001,-9,-23,-13
578,111,-29,1003,-7,1,-7
579,24,20,1008,-8,21,0
580,-80,22,1004,-18,25,-1
581,-156,5,982,-24,13,0
582,-81,-34,972,-23,-13,-7
583,25,-60,1017,-15,-24,-14
584,123,-55,992,-8,-19,-11
585,98,-8,1007,-5,4,-5
586,5,14,1005,-9,22,-1
587,-113,21,997,-16,25,0
588,-146,0,972,-25,6,-3
589,-64,-37,999,-21,-18,-9
590,64,-58,1006,-16,-26,-12
591,131,-49,1005,-8,-13,-8
592,82,-8,998,-6,10,-5
593,-33,24,1008,-11,25,-1
594,-127,12,986,-19,21,2
595,-146,-6,989,-23,1,-4
596,-23,-47,1004,-19,-22,-11
597,85,-58,1003,-13,-24,-13
598,132,-33,986,-8,-9,-8
599,60,3,1026,-8,15,-5
600,-64,23,986,-15,28,2
601,-150,7,1004,-20,20,0
602,-114,-29,983,-23,-7,-7
603,0,-60,991,-16,-23,-12
604,113,-54,1006,-8,-23,-12
605,111,-15,998,-4,-1,-8
606,39,15,1019,-7,20,-5
607,-94,29,998,-19,28,2
608,-153,3,981,-24,12,-2
609,-85,-50,991,-22,-12,-9
610,18,-65,991,-17,-24,-13
611,129,-47,1007,-6,-20,-13
612,103,-11,1010,-3,4,-7
613,0,21,1002,-10,23,0
614,-114,30,1001,-16,25,0
615,-147,-8,976,-26,6,-3
616,-65,-36,993,-20,-18,-10
617,64,-72,1002,-16,-27,-13
618,129,-43,1016,-6,-13,-11
619,87,-9,992,-7,9,-5
620,-33,28,1006,-10,27,0
621,-134,25,993,-20,22,1
622,-139,-12,985,-22,2,-5
623,-28,-48,1001,-21,-21,-11
624,87,-69,1000,-12,-25,-13
625,129,-30,995,-6,-8,-9
626,61,-5,1016,-8,15,-3
627,-71,32,991,-13,28,0
628,-141,14,1003,-21,18,-1
629,-111,-19,986,-23,-8,-7
630,0,-61,988,-19,-24,-11
631,112,-53,1004,-10,-23,-14
632,112,-27,1003,-7,-2,-9
633,39,13,1008,-8,20,-2
634,-93,20,1003,-17,28,0
635,-142,9,978,-22,14,-2
636,-89,-37,992,-23,-11,-8
637,15,-58,985,-18,-25,-12
638,117,-46,1016,-11,-20,-11
639,116,-18,1002,-9,2,-7
640,1,14,1013,-11,24,0
641,-98,24,986,-18,24,0
642,-154,-7,992,-25,9,-3
643,-55,-41,976,-21,-16,-10
