sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,163,40,1007,-19,12,-1
1,22,11,1010,-19,29,4
2,-143,-5,979,-18,27,4
3,-196,-11,979,-13,7,0
4,-128,0,983,-10,-17,-6
5,48,33,1004,-5,-30,-9
6,184,52,1009,-14,-21,-8
7,180,41,1006,-16,7,-3
8,67,23,1013,-22,28,3
9,-111,3,993,-19,29,5
10,-196,-14,976,-21,8,0
11,-163,-4,976,1,-6,-1
12,12,29,1012,-8,-29,-8
13,155,45,1012,-9,-24,-10
14,200,40,1005,-13,-2,-5
15,104,32,995,-18,23,3
16,-74,4,1003,-17,31,6
17,-188,-14,986,-18,17,2
18,-187,-4,967,-11,-7,-3
19,-25,25,1003,-6,-26,-7
20,117,40,1016,-11,-26,-9
21,208,47,1009,-11,-7,-5
22,138,34,1005,-20,18,2
23,-38,6,1002,-21,31,6
24,-171,-12,973,-17,22,3
25,-194,-7,971,-11,0,0
26,-76,15,998,-6,-24,-6
27,89,30,1019,-9,-28,-10
28,203,52,1012,-13,-13,-8
29,158,40,1005,-18,14,1
30,11,9,1011,-19,30,3
31,-151,-3,981,-16,25,4
32,-200,-7,973,-13,4,1
33,-117,0,982,-8,-18,-5
34,58,32,1005,-9,-29,-8
35,190,52,1012,-12,-18,-9
36,178,41,1012,-18,9,-1
37,53,20,1012,-21,28,4
38,-120,3,985,-17,29,5
39,-201,-14,974,-16,11,2
40,-161,5,978,-11,-14,-4
41,6,40,1024,28,-19,5
42,170,36,1015,-44,-34,-8
43,207,45,902,-60,10,-10
44,97,6,775,-12,31,-5
45,-96,13,751,-53,34,4
46,-182,-19,876,-4,28,-1
47,-187,-2,948,10,-8,-7
48,-17,37,959,-42,-33,-8
49,135,46,1011,20,-22,-12
50,205,47,1011,-25,-5,-5
51,142,39,995,-36,18,4
52,-49,0,1014,6,33,6
53,-178,-22,968,-47,17,1
54,-193,-12,964,3,0,0
55,-70,19,1010,-6,-24,-8
56,93,38,1016,-23,-29,-11
57,219,59,1011,4,-14,-5
58,157,52,1003,-32,14,1
59,10,-6,1007,-20,32,4
60,-157,-2,996,-12,24,8
61,-187,-22,948,-24,5,2
62,-99,-46,996,1,-17,-9
63,45,-3,1016,5,-22,-13
64,71,208,543,-38,-33,-24
65,159,-114,159,236,-70,-18
66,48,52,226,-258,62,35
67,-2,-63,163,308,0,-29
68,-85,-86,315,-344,45,50
69,-224,-23,633,271,-98,-10
70,8,18,823,-109,10,0
71,124,79,597,-98,-35,-1
72,265,38,811,271,10,-12
73,134,-8,713,-397,0,12
74,-139,97,640,294,67,-8
75,-155,10,290,-170,9,-9
76,-136,-73,680,-95,-2,-29
77,212,46,683,277,-27,-24
78,131,-79,426,-278,-52,-15
79,181,53,548,59,56,-19
80,150,14,323,50,19,1
81,-62,7,538,-180,13,2
82,-176,-34,611,208,9,-11
83,-221,-30,356,-101,48,-10
84,-66,51,390,0,-10,-22
85,20,181,553,131,-30,-27
86,15,-13,346,-337,-13,-129
87,323,72,73,-88,53,-8
88,77,78,389,-250,88,-34
89,-59,-362,147,-159,121,-110
90,-175,-20,161,64,37,-19
91,-163,52,106,-84,-27,2
92,-5,48,-28,260,-11,-7
93,170,220,228,-63,-71,40
94,234,65,905,-7,-46,16
95,65,-3,688,17,24,12
96,-63,-56,742,-145,29,20
97,-156,-197,681,59,19,10
98,-241,137,713,20,-36,-9
99,-42,-140,363,91,-21,-130
100,-34,119,270,69,49,8
101,266,101,222,45,-31,-60
102,80,-24,282,130,33,-11
103,-45,66,159,-17,-21,35
104,-150,-199,219,-10,40,22
105,-199,-151,69,35,-2,-2
106,-256,179,401,101,-3,-91
107,121,-115,387,41,-19,-35
108,200,241,574,333,-24,-11
109,138,86,364,68,-19,-43
110,-100,-39,424,60,11,30
111,-62,-32,433,243,6,20
112,-172,-223,202,-154,-28,22
113,-224,201,318,211,-29,-15
114,-222,-287,403,-103,34,-44
115,57,-46,793,-32,-78,46
116,99,291,306,85,36,-34
117,-101,-50,554,-147,45,13
118,-63,107,278,-29,25,26
119,-227,-168,542,-12,19,16
120,-183,-50,471,-33,-31,-7
121,-99,161,794,118,-31,-27
122,304,-257,358,-228,66,-60
123,254,69,512,240,-14,37
124,61,196,319,-1,-79,-25
125,216,-128,533,-190,78,-27
126,-17,-5,448,231,161,29
127,-28,-36,483,-239,-4,0
128,10,-137,869,134,-148,-25
129,199,144,624,27,-43,1
130,183,27,684,-172,103,-3
131,102,62,811,161,53,-11
132,-52,54,974,-143,-70,16
133,-193,9,836,36,-5,-2
134,-192,-36,721,-6,70,-4
135,-68,18,686,-93,3,-5
136,112,8,651,85,-72,-12
137,225,16,760,-59,-58,-6
138,152,39,878,-11,49,2
139,-21,23,989,4,84,4
140,-187,13,1006,-62,10,7
141,-221,12,950,31,-35,2
142,-64,12,983,-24,-31,-8
143,98,31,1013,-26,-4,-9
144,199,32,1008,6,1,-6
145,169,27,981,-39,-5,0
146,-4,9,1003,-5,19,7
147,-158,-7,990,-12,36,4
148,-199,0,968,-23,15,-1
149,-105,21,979,3,-26,-6
150,59,36,1000,-16,-42,-9
151,197,48,1012,-12,-15,-9
152,172,40,1012,-18,21,-2
153,30,8,1019,-31,32,4
154,-136,-10,988,-14,20,5
155,-205,-11,964,-11,1,1
156,-127,5,977,-6,-16,-6
157,42,34,1007,-3,-22,-9
158,186,61,1013,-16,-19,-8
159,181,50,1019,-19,4,-2
160,55,18,1023,-23,27,5
161,-116,0,983,-24,29,6
162,-193,-20,974,-13,9,2
163,-157,-10,975,-10,-15,-3
164,20,24,1006,-6,-28,-8
165,167,51,1014,-9,-19,-10
166,189,48,1004,-19,4,-2
167,90,35,1013,-20,22,3
168,-86,9,1002,-19,29,8
169,-193,-14,979,-16,13,3
170,-176,-9,962,-9,-8,-3
171,-7,16,1008,-7,-26,-9
172,139,41,1024,-10,-25,-10
173,202,40,1013,-15,-3,-5
174,123,41,997,-18,21,2
175,-53,12,996,-18,29,6
176,-187,-11,981,-15,18,3
177,-196,-2,969,-11,-2,-1
178,-47,17,1005,-10,-24,-8
179,103,29,1020,-13,-25,-10
180,207,48,1010,-13,-10,-7
181,151,33,1005,-17,14,0
182,-13,7,1010,-18,30,7
183,-164,-7,971,-17,26,4
184,-197,-3,962,-11,2,1
185,-94,12,999,-9,-22,-7
186,73,37,1018,-10,-28,-9
187,200,50,1014,-15,-16,-8
188,170,37,1009,-16,10,-1
189,26,5,1003,-20,27,5
190,-136,-5,980,-17,27,5
191,-199,-13,982,-13,9,1
192,-138,8,978,-11,-15,-4
193,42,36,1012,-9,-30,-10
194,176,55,1014,-12,-20,-9
195,184,39,1004,-19,4,-2
196,70,16,1006,-20,24,3
197,-103,0,995,-19,30,5
198,-188,-18,980,-15,14,2
199,-169,-1,976,-7,-9,-3
200,7,32,1015,-8,-28,-8
201,146,52,1014,-11,-23,-8
202,196,42,1001,-16,-3,-5
203,109,33,995,-21,20,3
204,-70,5,1000,-21,30,6
205,-182,-22,985,-17,17,2
206,-184,-6,969,-12,-6,-3
207,-32,21,1010,-7,-27,-8
208,115,40,1015,-9,-25,-10
209,204,50,1007,-12,-8,-6
210,140,42,1001,-18,17,1
211,-31,7,1007,-23,30,5
212,-166,-11,976,-18,22,4
213,-194,-9,968,-15,0,1
214,-76,14,1003,-8,-24,-6
215,84,31,1016,-8,-28,-9
216,197,53,1010,-12,-13,-6
217,162,41,1005,-18,13,-1
218,11,12,1014,-18,29,5
219,-145,-1,976,-19,25,4
220,-197,-10,982,-15,6,0
221,-121,5,982,-11,-18,-6
222,51,25,1002,-9,-30,-9
223,187,51,1014,-9,-20,-9
224,173,36,1008,-17,7,-2
225,63,19,1014,-20,27,3
226,-116,2,989,-18,30,6
227,-193,-5,979,-15,9,0
228,-157,-4,980,-10,-15,-4
229,13,32,1009,-9,-29,-9
230,162,47,1008,-12,-22,-9
231,194,34,1004,-14,1,-2
232,98,31,997,-21,22,4
233,-78,4,1006,-18,32,7
234,-188,-13,989,-16,16,2
235,-182,-3,966,-13,-7,-2
236,-13,27,1005,-6,-28,-8
237,121,41,1020,-12,-26,-8
238,206,46,1010,-15,-6,-6
239,132,32,999,-19,20,0
240,-43,10,1005,-20,29,6
241,-171,-15,974,-17,20,3
242,-195,-1,974,-10,-1,0
243,-67,13,997,-10,-24,-6
244,88,37,1017,-6,-27,-10
245,213,50,1011,-13,-13,-8
246,154,41,1003,-19,15,1
247,3,12,1012,-20,31,5
248,-153,-12,978,-21,25,4
249,-200,-4,970,-11,3,1
250,-108,1,983,-9,-20,-4
251,61,36,1016,-8,-28,-9
252,192,53,1007,-10,-17,-9
253,173,38,1012,-18,9,-2
254,49,16,1016,-19,28,5
255,-125,0,981,-17,29,5
256,-195,-13,977,-14,10,1
257,-152,-1,978,-9,-14,-4
258,32,36,1012,-7,-30,-9
259,170,46,1007,-14,-21,-10
260,191,42,1005,-16,3,-4
261,86,21,1003,-20,23,2
262,-96,3,999,-18,30,6
263,-190,-19,984,-15,15,2
264,-180,-4,968,-11,-8,-2
265,0,32,1004,-7,-29,-8
266,137,44,1025,-11,-25,-9
267,198,44,1006,-16,-5,-6
268,122,32,997,-19,21,2
269,-56,4,997,-18,30,6
270,-188,-8,981,-16,20,2
271,-211,25,972,-33,-5,-2
272,-17,-13,870,-22,-23,-11
273,125,20,807,-12,-23,-11
274,202,28,781,-6,-1,-9
275,128,60,783,-23,27,1
276,-36,36,881,-17,30,2
277,-212,45,883,34,6,3
278,-150,-50,532,-106,24,11
279,-84,47,500,2,-39,-14
280,79,-55,784,31,-28,-11
281,217,43,959,-100,-6,1
282,178,23,933,99,18,-9
283,-61,144,917,-82,24,15
284,-136,-103,457,44,-42,90
285,-175,50,515,1,-28,72
286,-146,13,622,-315,-36,-8
287,34,-37,830,44,28,-31
288,164,43,490,-159,11,-20
289,160,-7,337,44,15,-28
290,94,3,828,-47,43,-8
291,-117,-13,956,-29,30,3
292,-200,-53,927,44,32,-4
293,-171,164,826,-33,-11,-6
294,-93,2,392,27,-45,-10
295,152,67,544,-128,-31,-74
296,207,10,158,23,15,-25
297,153,5,155,-66,22,-41
298,-8,-138,351,-77,48,3
299,-225,15,336,182,38,-10
300,-151,-2,594,-157,-22,-3
301,-108,62,771,95,-14,-7
302,86,141,915,15,-33,-5
303,247,22,980,-137,-23,-5
304,167,8,879,95,27,6
305,-7,-102,821,-129,29,17
306,-224,41,985,35,35,-7
307,-85,-98,694,-94,-26,-81
308,-14,-141,170,41,-39,32
309,107,286,422,-157,6,-12
310,219,-189,385,115,-22,-63
311,29,104,370,-40,-23,30
312,-100,42,235,-77,54,25
313,-237,-144,399,110,86,-17
314,-283,190,156,-77,-8,-37
315,-126,-198,411,168,-116,78
316,-2,150,752,175,-85,21
317,-10,27,224,-166,-5,-10
318,95,-82,409,210,4,23
319,36,15,579,-136,-2,35
320,-82,41,765,29,17,-21
321,184,-232,174,-111,127,-34
322,60,88,739,-447,-21,56
323,101,268,387,-84,42,-83
324,113,-44,228,9,-6,-65
325,149,51,785,-375,11,5
326,16,-8,398,120,113,-11
327,-79,-159,529,41,38,-11
328,-171,0,576,-219,-16,24
329,-215,-2,423,313,24,-22
330,-59,79,789,-205,-22,-6
331,87,132,556,38,-27,-8
332,167,109,443,109,-8,-12
333,176,12,363,-242,-14,5
