sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,5,30,999,-16,1,-4
1,2,31,1000,-14,1,-2
2,6,32,998,-14,1,-3
3,6,33,999,-12,1,-2
4,5,31,999,-17,1,-2
5,6,32,998,-18,2,-3
6,7,30,998,-16,1,-2
7,5,29,995,-11,1,-3
8,5,32,997,-16,1,-2
9,7,30,998,-12,1,-3
10,5,31,1000,-14,1,-4
11,6,27,998,-15,0,-3
12,6,30,997,-13,0,-4
13,4,30,998,-14,0,-4
14,4,29,997,-16,1,-2
15,3,30,997,-14,1,-3
16,4,29,997,-14,1,-4
17,3,31,997,-12,0,-4
18,5,30,997,-14,0,-3
19,5,30,997,-14,1,-3
20,6,30,998,-14,1,-2
21,5,31,998,-15,1,-3
22,4,30,998,-14,2,-3
23,4,33,998,-14,1,-4
24,4,34,998,-13,1,-4
25,3,30,998,-13,2,-3
26,4,30,1000,-14,1,-3
27,4,30,1000,-15,0,-3
28,5,28,999,-14,1,-2
29,4,30,1000,-15,1,-2
30,4,33,999,-15,0,-3
31,4,31,999,-13,1,-3
32,5,31,1000,-13,0,-3
33,5,31,1001,-11,0,-4
34,5,31,1001,-13,0,-3
35,6,30,999,-15,0,-2
36,3,29,1001,-15,0,-3
37,4,30,1000,-15,-1,-4
38,5,29,998,-16,1,-2
39,5,30,998,-15,1,-3
40,5,30,999,-15,1,-2
41,6,29,998,-15,1,-4
42,5,31,998,-12,1,-4
43,4,30,999,-14,0,-3
44,6,31,999,-13,2,-2
45,5,31,997,-14,1,-3
46,4,29,997,-14,0,-3
47,5,30,999,-14,0,-4
48,6,30,998,-15,-1,-4
49,4,31,997,-13,1,-2
50,5,29,998,-13,1,-3
51,6,30,998,-13,1,-3
52,4,29,999,-13,1,-3
53,4,30,998,-13,1,-2
54,5,30,999,-15,2,-4
55,5,29,999,-14,1,-3
56,4,30,998,-13,0,-3
57,3,32,999,-12,0,-4
58,5,31,999,-14,1,-4
59,7,30,998,-14,1,-3
60,6,32,998,-15,0,-2
61,5,31,998,-14,2,-1
62,4,31,997,-14,2,-3
63,5,30,998,-15,2,-3
64,6,33,999,-15,1,-3
65,4,31,998,-14,1,-3
66,6,30,998,-15,1,-4
67,4,29,998,-12,1,-3
68,4,30,997,-13,0,-3
69,5,28,996,-14,1,-3
70,7,29,999,-16,2,-3
71,7,30,998,-15,2,-2
72,5,31,997,-13,1,-3
73,3,32,997,-15,0,-4
74,6,32,997,-13,-1,-4
75,6,30,997,-14,1,-4
76,5,29,996,-14,1,-5
77,4,31,999,-14,0,-4
78,4,31,998,-13,1,-4
79,6,30,997,-14,1,-4
80,5,31,998,-13,1,-3
