sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-159,-17,969,-16,18,-2
1,-148,-25,985,-21,-3,-6
2,-42,-36,1002,-13,-25,-11
3,97,-23,1001,-8,-29,-12
4,156,-16,1009,-13,-9,-9
5,91,-10,1008,-12,13,-4
6,-27,-7,1005,-11,28,-2
7,-148,-9,975,-22,21,0
8,-151,-32,988,-16,1,-5
9,-73,-34,987,-14,-22,-10
10,78,-25,1013,-11,-28,-13
11,155,-22,1006,-8,-14,-11
12,111,-12,1002,-12,11,-5
13,-2,-2,1001,-13,27,-2
14,-138,-9,991,-18,28,1
15,-164,-27,985,-19,6,-4
16,-98,-32,980,-15,-20,-9
17,58,-27,1005,-11,-29,-13
18,138,-28,1016,-11,-17,-11
19,136,-13,1007,-12,6,-5
20,20,0,995,-14,26,-1
21,-115,-7,991,-18,28,2
22,-169,-24,987,-19,10,-1
23,-115,-30,983,-18,-14,-8
24,33,-33,1008,-12,-29,-14
25,122,-28,1008,-11,-20,-13
26,153,-11,1004,-10,1,-8
27,44,-5,1000,-13,24,-1
28,-97,-10,998,-18,29,4
29,-169,-20,972,-19,14,-1
30,-128,-25,984,-18,-10,-4
31,5,-35,1010,-14,-28,-11
32,114,-30,1009,-9,-22,-14
33,157,-12,1009,-10,-3,-8
34,59,-2,1005,-14,21,-2
35,-70,-9,997,-14,28,1
36,-163,-15,970,-20,16,1
37,-140,-24,988,-17,-7,-7
38,-24,-38,1006,-13,-25,-12
39,105,-26,1003,-11,-27,-12
40,155,-19,1010,-10,-8,-9
41,80,-5,1013,-13,17,-4
42,-44,-11,1003,-17,29,0
43,-155,-10,966,-19,22,0
44,-152,-25,990,-19,-2,-5
45,-56,-35,993,-16,-25,-11
46,91,-29,1009,-13,-28,-13
47,158,-22,1004,-11,-11,-12
48,98,-8,1007,-11,14,-3
49,-19,-5,1003,-17,26,1
50,-150,-7,987,-19,24,2
51,-154,-26,979,-19,1,-4
52,-79,-35,992,-16,-21,-9
53,76,-24,1005,-13,-29,-13
54,150,-25,1011,-13,-14,-12
55,123,-14,1002,-13,10,-5
56,-4,-4,995,-15,28,1
57,-129,-3,991,-18,28,2
58,-168,-27,992,-20,6,-3
59,-101,-27,974,-17,-20,-8
60,56,-28,1011,-12,-31,-13
61,137,-28,1014,-12,-18,-13
62,140,-17,1004,-11,5,-7
63,25,-4,997,-15,25,-1
64,-114,-5,992,-18,28,3
65,-168,-22,982,-20,10,-2
66,-115,-26,986,-19,-12,-7
67,25,-30,1008,-14,-28,-11
68,123,-29,1008,-11,-21,-13
69,148,-12,1004,-12,0,-8
70,49,-5,1002,-16,24,-2
71,-90,-13,1001,-17,29,2
72,-169,-18,966,-19,12,0
73,-131,-22,985,-18,-10,-6
74,-1,-36,1011,-14,-27,-10
75,109,-28,1004,-12,-22,-12
76,160,-14,1009,-11,-5,-10
77,64,-4,1007,-13,21,-2
78,-65,-9,999,-17,29,0
79,-165,-15,969,-19,18,0
80,-144,-25,991,-18,-5,-5
81,-32,-40,997,-17,-25,-11
82,104,-29,1008,-11,-26,-12
83,160,-17,1007,-9,-10,-9
84,84,-2,1011,-13,17,-2
85,-38,-9,1009,-17,30,1
86,-157,-7,969,-21,22,1
87,-156,-32,985,-20,-2,-4
88,-57,-40,998,-17,-24,-9
89,89,-26,1010,-11,-27,-12
90,159,-19,1003,-11,-11,-11
91,104,-7,1006,-13,13,-3
92,-13,-6,1003,-16,26,-1
93,-145,-6,983,-20,24,2
94,-158,-30,988,-19,2,-5
95,-81,-36,986,-16,-20,-9
96,67,-30,1006,-13,-29,-11
97,150,-23,1010,-9,-18,-12
98,124,-17,1010,-12,8,-5
99,6,-1,988,-14,28,-1
100,-128,-8,996,-19,28,2
101,-166,-20,988,-22,6,-2
102,-105,-30,979,-17,-17,-7
103,50,-28,1011,-12,-29,-12
104,132,-30,1012,-11,-18,-12
105,141,-15,1003,-12,4,-7
106,31,-6,998,-14,24,-1
107,-110,-10,991,-17,27,2
108,-170,-20,979,-19,10,-2
109,-118,-27,987,-17,-13,-7
110,19,-30,1009,-14,-29,-12
111,123,-33,1005,-12,-22,-13
112,152,-15,1007,-11,-1,-9
113,51,-6,1000,-14,21,-3
114,-86,-12,999,-16,29,2
115,-165,-14,971,-19,14,-1
116,-134,-20,983,-18,-9,-6
117,-3,-38,1011,-15,-27,-12
118,111,-32,1009,-11,-23,-13
119,156,-17,1003,-13,-6,-9
120,68,-6,1010,-13,19,-1
121,-64,-13,1002,-16,30,2
122,-157,-12,963,-17,19,1
123,-147,-21,995,-17,-4,-4
124,-34,-36,995,-14,-27,-12
125,101,-26,1005,-11,-28,-13
126,158,-22,1004,-11,-9,-10
127,85,-7,1014,-15,19,-2
128,-33,-9,1004,-17,30,0
129,-156,-6,968,-18,22,2
130,-151,-25,990,-18,-2,-4
131,-64,-38,991,-16,-23,-10
132,85,-27,1014,-11,-27,-12
133,160,-21,1002,-11,-12,-13
134,105,-13,1006,-9,13,-4
135,-13,-7,999,-14,27,-1
136,-141,-4,991,-19,25,2
137,-156,-27,986,-18,3,-4
138,-84,-37,981,-15,-19,-10
139,70,-27,1013,-11,-29,-13
140,144,-26,1012,-11,-16,-11
141,124,-16,1002,-11,8,-5
142,9,-2,995,-12,27,-1
143,-131,-4,990,-16,27,3
144,-166,-22,989,-18,6,-3
145,-108,-28,980,-18,-15,-7
146,43,-28,1007,-13,-29,-13
147,129,-31,1011,-12,-18,-13
148,142,-17,1007,-9,5,-6
149,35,-3,991,-14,25,-2
150,-112,-8,998,-16,28,2
151,-170,-20,974,-18,12,-2
152,-118,-22,987,-18,-13,-6
153,20,-32,1011,-13,-29,-11
154,117,-31,1006,-11,-21,-13
155,156,-17,1008,-10,-1,-9
156,50,-5,1000,-14,23,-2
157,-81,-9,1001,-16,29,1
158,-166,-17,969,-18,15,0
159,-136,-22,983,-17,-9,-5
160,-8,-35,1011,-13,-27,-12
161,109,-31,1010,-12,-24,-13
162,159,-17,1003,-12,-4,-10
163,71,-6,1008,-13,20,-3
164,-58,-11,1000,-16,29,1
165,-156,-16,968,-17,20,0
166,-147,-26,990,-17,-4,-4
167,-38,-37,999,-15,-26,-11
168,100,-28,1007,-9,-27,-12
169,157,-15,1003,-11,-10,-9
170,91,-7,1017,-13,17,-3
171,-34,-9,1002,-17,30,0
172,-153,-11,968,-18,23,2
173,-156,-27,989,-18,-1,-4
174,-69,-39,990,-15,-22,-10
175,86,-26,1013,-10,-27,-15
176,152,-21,1006,-9,-13,-12
177,106,-6,1000,-11,13,-4
178,-12,-6,1006,-15,27,-1
179,-142,-1,990,-18,25,3
180,-158,-26,986,-19,3,-4
181,-88,-36,982,-16,-20,-9
182,62,-25,1009,-11,-28,-13
183,147,-25,1011,-11,-17,-13
184,126,-19,1009,-11,8,-5
185,15,0,989,-15,26,0
186,-120,-8,990,-16,27,1
187,-166,-23,990,-19,7,-3
188,-105,-31,981,-17,-16,-7
189,43,-32,1008,-11,-28,-13
190,127,-33,1013,-12,-19,-12
191,144,-14,1001,-11,3,-7
192,36,-2,1000,-14,24,-1
193,-104,-8,995,-17,28,2
194,-166,-20,979,-17,13,-2
195,-123,-26,986,-17,-11,-6
196,16,-32,1010,-13,-29,-12
197,120,-33,1006,-10,-22,-13
198,153,-13,1007,-10,0,-7
199,58,0,1002,-13,22,-1
200,-83,-12,1001,-18,29,2
201,-162,-16,965,-20,15,-1
202,-141,-23,990,-18,-7,-7
203,-10,-39,1004,-15,-27,-12
204,110,-30,1008,-11,-24,-12
205,156,-13,1008,-10,-6,-8
206,69,-1,1007,-12,20,-3
207,-54,-13,1005,-16,30,0
208,-159,-10,964,-19,20,2
209,-147,-25,990,-18,-3,-5
210,-42,-40,999,-15,-25,-11
211,99,-30,999,-11,-27,-12
212,161,-15,1010,-9,-11,-10
213,92,-7,1015,-11,15,-4
214,-30,-5,1000,-15,29,1
215,-152,-9,974,-19,23,2
216,-156,-26,984,-17,1,-5
217,-66,-39,995,-15,-22,-10
218,85,-26,1008,-12,-29,-12
219,155,-21,1007,-9,-13,-10
220,111,-15,1002,-11,11,-4
221,-11,-2,1005,-15,28,0
222,-137,-4,985,-20,27,2
223,-163,-25,990,-19,4,-3
224,-87,-37,977,-17,-19,-8
225,61,-24,1010,-10,-29,-12
226,146,-27,1012,-11,-17,-12
227,127,-17,1006,-11,9,-6
228,17,-2,994,-13,26,-1
229,-124,-4,989,-16,28,2
230,-167,-24,993,-18,8,-4
231,-112,-32,980,-17,-16,-8
232,41,-31,1010,-11,-29,-14
233,130,-33,1010,-10,-19,-13
234,143,-12,1002,-9,2,-7
235,38,-6,1003,-12,24,-2
236,-107,-6,995,-17,29,1
237,-169,-22,975,-18,13,-1
238,-121,-24,988,-17,-11,-7
239,16,-32,1008,-12,-29,-12
240,116,-29,1009,-10,-22,-13
241,154,-12,1008,-10,-1,-8
242,55,-5,1001,-14,23,-2
243,-78,-11,999,-17,29,2
244,-162,-20,966,-19,15,-1
245,-137,-23,985,-16,-8,-6
