sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-147,13,977,-7,4,-1
1,-55,23,993,-5,-14,-7
2,50,41,1006,-17,-20,-7
3,144,43,1012,-3,-11,-8
4,122,38,1005,-22,4,-3
5,4,16,1001,-45,16,4
6,-99,-3,986,-27,20,3
7,-145,-9,978,-14,5,0
8,-74,-3,995,-4,-13,-6
9,42,18,1006,-9,-20,-10
10,146,48,1005,-11,-12,-8
11,128,55,1001,-15,5,-3
12,24,40,1016,-21,20,2
13,-100,17,987,-21,21,4
14,-152,-2,979,-19,7,2
15,-99,-22,985,-15,-11,-4
16,25,-2,1006,-10,-21,-9
17,143,26,1005,-10,-17,-8
18,139,43,1004,-13,4,-4
19,54,42,1007,-15,20,1
20,-88,34,989,-16,24,4
21,-155,11,997,-16,10,1
22,-132,-10,986,-15,-9,-4
23,6,1,993,-13,-22,-9
24,129,19,1004,-11,-19,-9
25,153,29,1011,-16,-2,-7
26,83,36,1011,-16,16,-1
27,-63,38,988,-15,25,3
28,-150,8,984,-15,16,2
29,-153,-1,986,-13,-5,-1
30,-17,8,1009,-13,-23,-6
31,110,18,1000,-16,-24,-9
32,160,27,1003,-13,-6,-7
33,107,38,1002,-16,13,-1
34,-39,33,999,-17,24,4
35,-139,5,996,-15,16,2
36,-158,1,973,-13,-1,0
37,-39,5,991,-11,-20,-8
38,82,16,1017,-12,-23,-9
39,162,31,1015,-15,-10,-6
40,127,39,994,-17,9,-2
41,-11,26,997,-17,23,4
42,-134,8,998,-14,19,3
43,-164,0,978,-15,3,0
44,-62,0,993,-12,-18,-5
45,55,10,1008,-12,-22,-8
46,166,35,1009,-11,-13,-8
47,130,42,1007,-15,9,-3
48,8,94,806,-14,22,7
49,-134,665,193,-181,13,15
50,-231,-23,729,-173,-23,2
51,-379,52,444,-174,-71,40
52,334,-246,415,-146,-106,-5
53,-141,-573,816,-166,2,9
54,349,-312,1064,79,-8,-138
